,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2025",,
Market,"Prices April, 2025 (Rs./Quintal)","Prices March, 2025 (Rs./Quintal)","Prices April, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Kurdwadi(Modnimb) APMC,2780.86,2794.35,2993.29,-0.5%,-7.1%
Lasalgaon APMC,2793.48,2652.21,-,5.3%,-
Lasalgaon(Niphad) APMC,2439.29,2636.19,2471.92,-7.5%,-1.3%
Lasalgaon(Vinchur) APMC,2650.54,2649.53,2599.13,-,2.0%
Lasur Station APMC,2550.0,2661.27,2637.34,-4.2%,-3.3%
Latur(Murud) APMC,2800.0,-,-,-,-
Loha APMC,2861.92,2825.28,2866.96,1.3%,-0.2%
Lonar APMC,2401.91,2534.76,2298.73,-5.2%,4.5%
Mahagaon APMC,-,3000.0,-,-,-
"Mahesh Krushi Utpanna Bazar, Digras APMC",2523.52,2535.36,2148.47,-0.5%,17.5%
Majalgaon APMC,2472.72,2330.45,2782.83,6.1%,-11.1%
Malegaon APMC,2431.21,2532.83,-,-4.0%,-
Malkapur APMC,2583.85,2606.03,2436.2,-0.8%,6.1%
Mangal Wedha APMC,2905.15,-,3107.53,-,-6.5%
Mangrulpeer APMC,2726.11,2624.25,2487.84,3.9%,9.6%
Manmad APMC,2442.73,2633.77,-,-7.2%,-
Manora APMC,2589.18,2591.29,2338.4,-0.1%,10.7%
Mantha APMC,2624.31,2500.0,2800.0,5.0%,-6.3%
Manwat APMC,2696.88,2662.85,-,1.3%,-
Mauda APMC,-,2185.0,2265.0,-,-
Mehekar APMC,2929.97,2863.99,2400.0,2.3%,22.1%
Morshi APMC,2545.81,2495.48,2471.21,2.0%,3.0%
Motala APMC,2000.0,-,-,-,-
Mudkhed APMC,2500.0,-,-,-,-
Mumbai APMC,4500.0,4500.0,4531.54,-,-0.7%
Murtizapur APMC,2656.4,2604.66,2531.92,2.0%,4.9%
Murum APMC,2825.27,2715.27,3725.0,4.0%,-24.1%
Nagpur APMC,2939.09,2983.03,2876.6,-1.5%,2.2%
Nanded APMC,2905.08,2731.69,2724.18,6.3%,6.6%
Nandgaon APMC,2496.14,2631.37,-,-5.1%,-
Nandgaon Khandeshwar APMC,2510.0,2490.97,-,0.8%,-
Nandura APMC,2828.03,2898.77,2760.4,-2.4%,2.5%
Nandurbar APMC,2479.62,2505.84,2650.0,-1.1%,-6.4%
Navapur APMC,2447.0,-,-,-,-
Ner Parasopant APMC,-,2200.0,2233.82,-,-
Newasa APMC,2642.11,2475.0,2440.91,6.8%,8.2%
Nilanga APMC,2863.64,-,3200.0,-,-10.5%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2650.54,2791.99,2601.72,-5.1%,1.9%
Pachora APMC,2399.83,2515.07,2739.49,-4.6%,-12.4%
Paithan APMC,2705.05,2598.64,2754.58,4.1%,-1.8%
Palam APMC,3189.19,3200.0,3051.0,-0.3%,4.5%
Palghar APMC,3189.7,3218.6,3151.29,-0.9%,1.2%
Parali Vaijyanath APMC,2485.56,2732.26,-,-9.0%,-
Paranda APMC,2517.81,2740.42,2543.75,-8.1%,-1.0%
Parbhani APMC,2591.86,2799.02,2300.0,-7.4%,12.7%
Parola APMC,-,2085.71,2340.0,-,-
Partur APMC,2521.71,2572.24,2634.12,-2.0%,-4.3%
Pathardi APMC,2805.74,2700.0,3025.19,3.9%,-7.2%
Pathari APMC,2348.75,2561.78,2534.69,-8.3%,-7.3%
Patoda APMC,2500.0,-,-,-,-
Patur APMC,2365.14,2380.0,2068.26,-0.6%,14.3%
Pavani APMC,2400.0,-,-,-,-
Phaltan APMC,-,-,2642.52,-,-
Pulgaon APMC,-,-,2131.25,-,-
Pune APMC,4714.16,-,4719.18,-,-0.1%
Purna APMC,2410.0,2819.23,-,-14.5%,-
Pusad APMC,2974.47,2814.05,-,5.7%,-
Rahata APMC,2542.4,2613.99,2447.23,-2.7%,3.9%
Rahuri APMC,2598.14,2722.3,2397.22,-4.6%,8.4%
Rahuri(Vambori) APMC,2498.94,2449.74,2469.97,2.0%,1.2%
Ramtek APMC,-,-,2280.0,-,-
Raver APMC,2581.34,2617.19,2406.22,-1.4%,7.3%
Sakri APMC,2600.0,-,2486.76,-,4.5%
