,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - July, 2021",,
Market,"Prices July, 2021 (Rs./Quintal)","Prices June, 2021 (Rs./Quintal)","Prices July, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,-,-,1600.0,-,-
Achalpur APMC,1737.25,1775.61,1855.74,-2.2%,-6.4%
Ahmednagar APMC,1747.91,1753.41,1880.36,-0.3%,-7.0%
Ahmedpur APMC,1625.0,1603.57,1678.26,1.3%,-3.2%
Akhadabalapur APMC,1766.67,1746.67,1928.57,1.1%,-8.4%
Akluj APMC,-,-,1703.85,-,-
Akola APMC,1611.0,1701.78,1730.34,-5.3%,-6.9%
Akot APMC,-,1696.15,1700.0,-,-
Amalner APMC,1739.66,1746.62,1770.0,-0.4%,-1.7%
Amarawati APMC,1806.16,1810.12,1750.0,-0.2%,3.2%
Ambad (Vadigodri) APMC,1695.05,1753.67,2028.84,-3.3%,-16.4%
Anajngaon APMC,1633.72,1610.17,1700.0,1.5%,-3.9%
Ashti(Karanja) APMC,1600.0,1553.21,-,3.0%,-
Aurad Shahajani APMC,1637.71,1700.5,-,-3.7%,-
Ausa APMC,1618.67,1658.57,-,-2.4%,-
Babhulgaon APMC,1610.0,1618.54,-,-0.5%,-
Balapur APMC,1553.41,1904.65,1694.44,-18.4%,-8.3%
Baramati APMC,1766.21,1767.5,1818.25,-0.1%,-2.9%
Barshi APMC,1774.39,2018.33,2493.94,-12.1%,-28.9%
Barshi Takli APMC,-,-,1650.0,-,-
Barshi(Vairag) APMC,1597.71,1225.0,-,30.4%,-
Beed APMC,1766.97,1867.92,1766.71,-5.4%,-
Bhandara APMC,1511.67,1527.5,1605.56,-1.0%,-5.8%
Bhiwapur APMC,1600.0,1647.5,1601.67,-2.9%,-0.1%
Bhokar APMC,1564.44,1565.61,1710.76,-0.1%,-8.6%
Bhokardan APMC,1774.49,1714.29,1775.76,3.5%,-0.1%
Bhokardan(Pimpalgaon Renu) APMC,1850.0,1715.62,-,7.8%,-
Bori APMC,1727.14,1520.42,2200.0,13.6%,-21.5%
Chakur APMC,1400.0,-,-,-,-
Chalisgaon APMC,1612.19,1623.87,1724.64,-0.7%,-6.5%
Chandur Bazar APMC,1634.88,1612.48,1646.64,1.4%,-0.7%
Chandur Railway APMC,1530.0,1595.22,-,-4.1%,-
Chattrapati Sambhajinagar APMC,1769.57,1752.9,1736.11,0.9%,1.9%
Chikali APMC,1604.69,1616.2,1698.34,-0.7%,-5.5%
Chopada APMC,1675.09,1692.85,1751.39,-1.1%,-4.4%
Daryapur APMC,-,-,1580.88,-,-
Deoulgaon Raja APMC,1597.92,1607.71,1654.25,-0.6%,-3.4%
Devala APMC,1722.67,1724.72,1691.0,-0.1%,1.9%
Dhamngaon-Railway APMC,1612.5,-,-,-,-
Dharangaon APMC,1713.56,1657.08,-,3.4%,-
Dharmabad APMC,-,1460.0,-,-,-
Dhule APMC,1736.26,1719.0,1752.49,1.0%,-0.9%
Digras APMC,-,1785.0,-,-,-
Dondaicha APMC,1777.17,1729.16,1766.78,2.8%,0.6%
Dondaicha(Sindhkheda) APMC,1629.55,1567.5,-,4.0%,-
Dound APMC,1688.41,1706.4,1774.52,-1.1%,-4.8%
Dudhani APMC,1701.45,2000.0,-,-14.9%,-
Gangakhed APMC,2105.88,2121.43,1900.0,-0.7%,10.8%
