,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - June, 2025",,
Market,"Prices June, 2025 (Rs./Quintal)","Prices May, 2025 (Rs./Quintal)","Prices June, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
"Mahesh Krushi Utpanna Bazar, Digras APMC",2586.26,2560.76,2474.32,1.0%,4.5%
Majalgaon APMC,2584.44,2583.23,2679.33,0.1%,-3.5%
Malegaon APMC,2376.42,2367.35,2560.07,0.4%,-7.2%
Malkapur APMC,2433.33,2468.44,2508.48,-1.4%,-3.0%
Mangal Wedha APMC,2745.48,2736.29,3049.21,0.3%,-10.0%
Mangrulpeer APMC,2597.75,2553.46,2423.88,1.7%,7.2%
Manmad APMC,2472.94,2516.1,2341.0,-1.7%,5.6%
Manora APMC,2564.3,2540.55,2438.43,0.9%,5.2%
Mantha APMC,2678.49,2758.87,2000.0,-2.9%,33.9%
Manwat APMC,-,2766.09,-,-,-
Mauda APMC,-,2375.0,-,-,-
Mehekar APMC,2800.0,2857.74,2508.63,-2.0%,11.6%
Morshi APMC,2422.1,2544.0,2451.28,-4.8%,-1.2%
Mudkhed APMC,-,2300.0,2350.0,-,-
Mumbai APMC,4200.0,4453.99,-,-5.7%,-
Murtizapur APMC,2543.19,2609.02,2441.72,-2.5%,4.2%
Murum APMC,2359.62,2480.51,4223.48,-4.9%,-44.1%
Nagpur APMC,3048.06,3111.64,2964.34,-2.0%,2.8%
Nanded APMC,2566.51,2676.93,2945.0,-4.1%,-12.8%
Nandgaon APMC,2551.55,2636.06,3029.64,-3.2%,-15.8%
Nandgaon Khandeshwar APMC,2487.52,2514.12,2354.1,-1.1%,5.7%
Nandura APMC,-,2701.62,2768.73,-,-
Nandurbar APMC,2582.05,2594.74,2622.27,-0.5%,-1.5%
Navapur APMC,-,-,2269.14,-,-
Ner Parasopant APMC,-,-,2200.0,-,-
Newasa APMC,-,2644.44,2400.0,-,-
Nilanga APMC,2598.58,-,-,-,-
Nira(Saswad) APMC,-,-,3007.0,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2830.63,2658.16,2712.99,6.5%,4.3%
Pachora APMC,2421.7,2415.3,2550.36,0.3%,-5.0%
Pachora(Bhadgaon) APMC,-,2466.0,-,-,-
Paithan APMC,2532.33,2612.9,2741.38,-3.1%,-7.6%
Palam APMC,3011.11,2800.0,3200.0,7.5%,-5.9%
Palghar APMC,3143.37,3175.75,3099.95,-1.0%,1.4%
Palus APMC,-,3400.0,-,-,-
Parali Vaijyanath APMC,2510.0,2293.32,-,9.4%,-
Paranda APMC,2511.27,2481.37,2363.33,1.2%,6.3%
Parbhani APMC,2676.52,2703.15,2550.0,-1.0%,5.0%
Parola APMC,-,-,2656.0,-,-
Partur APMC,2519.01,2580.2,2356.94,-2.4%,6.9%
Pathardi APMC,2812.36,2885.45,2735.61,-2.5%,2.8%
Pathari APMC,-,2509.51,2235.79,-,-
Patur APMC,2455.76,2368.68,2162.25,3.7%,13.6%
Phaltan APMC,2525.92,-,2600.0,-,-2.9%
