Market,"Arrivals August, 2021 (Metric Tonnes)","Arrivals July, 2021 (Metric Tonnes)","Arrivals August, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,415.0,251.0,5.0,65.3%,8200.0%
Ahmednagar APMC,551.0,518.0,4.0,6.4%,13675.0%
Ahmedpur APMC,4.0,5.0,5.0,-20.0%,-20.0%
Akhadabalapur APMC,10.0,6.0,2.0,66.7%,400.0%
Akluj APMC,112.63730630299219,101.11712356032528,7.0,-,-
Akola APMC,372.0,240.0,398.0,55.0%,-6.5%
Akot APMC,375.2135905740191,343.0219217851025,201.0,-,-
Amalner APMC,264.0,252.0,375.0,4.8%,-29.6%
Amarawati APMC,260.0,69.0,86.0,276.8%,202.3%
Ambad (Vadigodri) APMC,158.0,150.0,23.0,5.3%,587.0%
Anajngaon APMC,42.0,43.0,25.0,-2.3%,68.0%
Ashti(Karanja) APMC,13.591429108974639,10.0,5.241762208316838,-,-
Aurad Shahajani APMC,6.0,7.0,1.0,-14.3%,500.0%
Ausa APMC,12.505611420565277,9.0,4.620594294941674,-,-
Babhulgaon APMC,12.505611420565277,9.0,4.620594294941674,-,-
Balapur APMC,73.0,44.0,68.0,65.9%,7.3%
Baramati APMC,665.0,690.0,199.0,-3.6%,234.2%
Barshi APMC,11.0,41.0,11.0,-73.2%,-
Barshi(Vairag) APMC,5.0,17.0,9.086912891183086,-70.6%,-
Beed APMC,131.0,101.0,19.0,29.7%,589.5%
Bhandara APMC,16.0,6.0,9.0,166.7%,77.8%
Bhiwapur APMC,1.0,1.0,-0.4363261140092265,-,-
Bhokar APMC,27.0,9.0,16.0,200.0%,68.8%
Bhokardan APMC,45.0,49.0,26.0,-8.2%,73.1%
Bhokardan(Pimpalgaon Renu) APMC,19.0,11.0,31.0,72.7%,-38.7%
Bhusaval APMC,108.57684829880097,97.37632771148843,4.0,-,-
Bori APMC,58.0,35.0,21.307255639097775,65.7%,-
Chakur APMC,3.0,1.0,-0.3741942019649651,200.0%,-
Chalisgaon APMC,116.0,59.0,37.20754386003704,96.6%,-
Chandur Bazar APMC,284.0,263.0,286.0,8.0%,-0.7%
Chandur Railway APMC,3.8190699132903805,1.0,-0.3487490120596357,-,-
Chattrapati Sambhajinagar APMC,231.0,149.0,120.0,55.0%,92.5%
Chikali APMC,110.0,112.0,117.0,-1.8%,-6.0%
Chopada APMC,20.0,32.0,68.0,-37.5%,-70.6%
Daryapur APMC,109.93033430019798,98.62325966110068,5.0,-,-
Deoulgaon Raja APMC,37.0,51.0,27.0,-27.4%,37.0%
Devala APMC,18.0,15.0,4.0,20.0%,350.0%
Dhamngaon-Railway APMC,78.74049041353636,70.0,42.51183701082666,-,-
Dharangaon APMC,4.0,9.0,4.356359344609061,-55.6%,-
Dhule APMC,275.0,336.0,638.0,-18.1%,-56.9%
Digras APMC,3.0,4.161458851045667,16.0,-,-81.2%
Dondaicha APMC,534.0,682.0,35.0,-21.7%,1425.7%
Dondaicha(Sindhkheda) APMC,1.0,11.0,5.438033374180642,-90.9%,-
Dound APMC,103.0,104.0,113.0,-1.0%,-8.8%
Dudhani APMC,2.0,31.0,17.21781830658251,-93.5%,-
Gangakhed APMC,37.0,34.0,13.0,8.8%,184.6%
Gangapur APMC,75.0,103.0,94.0,-27.2%,-20.2%
Gevrai APMC,363.0,267.0,139.0,36.0%,161.2%
Ghansawangi APMC,15.0,10.298950627891827,3.0,-,400.0%
Himalyatnagar APMC,61.0,102.0,31.0,-40.2%,96.8%
