,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - August, 2021",,
Market,"Prices August, 2021 (Rs./Quintal)","Prices July, 2021 (Rs./Quintal)","Prices August, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Manora APMC,1748.18,1701.57,1689.2,2.7%,3.5%
Mantha APMC,1638.24,1636.25,1922.73,0.1%,-14.8%
Manwat APMC,1596.54,1601.32,1838.43,-0.3%,-13.2%
Mehekar APMC,1484.15,1528.87,1573.25,-2.9%,-5.7%
Morshi APMC,1690.43,1675.82,1674.38,0.9%,1.0%
Mudkhed APMC,-,-,1890.0,-,-
Mumbai APMC,3374.26,3474.51,3362.4,-2.9%,0.3%
Murtizapur APMC,1751.09,1714.16,1703.75,2.1%,2.8%
Murum APMC,1597.67,1607.83,1933.33,-0.6%,-17.4%
Nagpur APMC,2173.87,2164.95,2230.02,0.4%,-2.5%
Nampur APMC,1677.0,1465.5,1558.75,14.4%,7.6%
Nanded APMC,1607.35,-,1664.2,-,-3.4%
Nandgaon APMC,1761.37,1831.42,1726.23,-3.8%,2.0%
Nandgaon Khandeshwar APMC,1617.82,1493.13,1553.04,8.3%,4.2%
Nandura APMC,1738.87,1752.75,1761.17,-0.8%,-1.3%
Nandurbar APMC,1826.07,1702.47,1698.03,7.3%,7.5%
Navapur APMC,-,-,1588.78,-,-
Newasa APMC,-,2000.0,2000.0,-,-
Nilanga APMC,-,-,2200.0,-,-
Pachora APMC,1636.94,1632.93,1702.89,0.2%,-3.9%
Paithan APMC,1723.66,1694.79,1736.92,1.7%,-0.8%
Palghar APMC,2671.68,2571.13,2541.5,3.9%,5.1%
Pandharpur APMC,1874.0,-,-,-,-
Parali Vaijyanath APMC,1400.0,1550.0,1355.5,-9.7%,3.3%
Paranda APMC,1450.0,1626.67,-,-10.9%,-
Parbhani APMC,1635.98,1693.84,1921.67,-3.4%,-14.9%
Parola APMC,1704.68,1562.19,-,9.1%,-
Partur APMC,1710.59,1627.78,1645.6,5.1%,4.0%
Pathardi APMC,1975.71,1937.5,2241.67,2.0%,-11.9%
Pathari APMC,1553.29,1552.75,1652.46,-,-6.0%
Patur APMC,1608.04,1543.56,1653.38,4.2%,-2.7%
Phaltan APMC,-,-,1812.12,-,-
Pune APMC,4133.82,4382.91,4229.32,-5.7%,-2.3%
Rahata APMC,1724.79,1726.95,1641.05,-0.1%,5.1%
Rahuri APMC,1705.77,-,1661.61,-,2.7%
Rahuri(Vambori) APMC,1633.45,1697.03,1837.9,-3.8%,-11.1%
Ramtek APMC,1614.44,1561.49,1586.71,3.4%,1.8%
Raver APMC,1745.49,1691.28,1559.61,3.2%,11.9%
Sakri APMC,1650.0,1556.5,1701.88,6.0%,-3.0%
Sangamner APMC,1844.36,1732.42,1628.53,6.5%,13.2%
Sangli APMC,2649.85,2539.53,2491.69,4.3%,6.3%
Sangrampur(Varvatbakal) APMC,1587.5,1607.69,1713.33,-1.3%,-7.3%
Satana APMC,1810.38,1790.29,1720.1,1.1%,5.2%
Savner APMC,1676.65,1594.2,1583.12,5.2%,5.9%
Selu APMC,1663.29,1685.71,-,-1.3%,-
Shahada APMC,1808.26,1779.21,1742.39,1.6%,3.8%
Shegaon APMC,1617.14,1722.22,1621.45,-6.1%,-0.3%
Shevgaon APMC,1755.76,1719.86,1575.79,2.1%,11.4%
Shevgaon(Bodhegaon) APMC,1642.86,1624.14,1834.62,1.1%,-10.4%
Shirpur APMC,1771.46,1687.71,1662.54,5.0%,6.5%
Shirur APMC,1572.26,1522.5,1545.45,3.3%,1.7%
Shrigonda APMC,1991.84,1996.37,1917.81,-0.2%,3.9%
Shrigonda(Gogargaon) APMC,1990.25,1997.5,-,-0.4%,-
Shrirampur APMC,1634.09,1610.79,1690.43,1.4%,-3.3%
Shrirampur(Belapur) APMC,1700.0,1564.58,1666.67,8.7%,2.0%
Sillod APMC,1749.61,1697.06,1696.42,3.1%,3.1%
Sillod(Bharadi) APMC,1718.67,1671.43,1646.25,2.8%,4.4%
Sindi APMC,-,1516.67,-,-,-
Sindi(Selu) APMC,1683.21,1653.24,1484.41,1.8%,13.4%
Sinner APMC,1737.82,1741.45,1724.24,-0.2%,0.8%
Solapur APMC,2557.06,2546.3,2684.07,0.4%,-4.7%
Sonpeth APMC,1713.67,-,1600.0,-,7.1%
Tadkalas APMC,1565.14,-,-,-,-
Tasgaon APMC,2093.57,2132.56,2410.71,-1.8%,-13.2%
Telhara APMC,1619.74,1613.64,1570.06,0.4%,3.2%
Tuljapur APMC,2133.33,1950.0,-,9.4%,-
Tumsar APMC,1697.23,1601.94,1668.38,6.0%,1.7%
Ulhasnagar APMC,2695.3,2812.5,3200.0,-4.2%,-15.8%
Umared APMC,2100.0,2100.0,2200.0,-,-4.5%
Umarga APMC,1553.33,1716.67,-,-9.5%,-
Umarked(Danki) APMC,1909.56,1918.52,1950.0,-0.5%,-2.1%
Umarkhed APMC,1900.0,1950.0,-,-2.6%,-
Vaduj APMC,1975.0,2050.0,1916.67,-3.7%,3.0%
Vaijpur APMC,1778.19,1763.37,1744.55,0.8%,1.9%
Varud(Rajura Bazar) APMC,1665.0,1629.6,-,2.2%,-
Vasai APMC,2999.94,2983.15,-,0.6%,-
Wardha APMC,-,1631.0,1722.95,-,-
Washim APMC,1628.41,1598.61,1656.61,1.9%,-1.7%
Washim(Ansing) APMC,1550.0,1540.91,2060.0,0.6%,-24.8%
Yawal APMC,1832.78,1865.0,1758.18,-1.7%,4.2%
Yeola APMC,1731.35,1737.3,1615.18,-0.3%,7.2%
Yeotmal APMC,1739.71,1714.53,1640.52,1.5%,6.0%
Average,1782.08,1754.74,1781.34,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

