Market,"Prices April, 2022 (Rs./Quintal)","Prices March, 2022 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar APMC,2234.24,2149.69,1735.0,3.9%,28.8%
Akhadabalapur APMC,1963.16,1800.0,1742.86,9.1%,12.6%
Akkalkot APMC,2465.397004016676,2388.1733880707816,2300.0,-,-
Akkalkuwa APMC,2214.186193691217,2147.0126662462776,1859.87,-,-
Akluj APMC,2222.821868515074,2155.302857147159,1875.0,-,-
Akola APMC,2486.75,2182.73,1937.19,13.9%,28.4%
Amalner APMC,2262.62,2271.32,1838.19,-0.4%,23.1%
Amarawati APMC,2216.07,2138.05,1791.85,3.6%,23.7%
Ambad (Vadigodri) APMC,2229.79,2174.61,1740.9,2.5%,28.1%
Ambejaogai APMC,2450.0,2380.0,2042.8196285515496,2.9%,-
Anajngaon APMC,2019.19,2016.67,1751.23,0.1%,15.3%
Ashti APMC,2150.0,2092.1483486223083,1801.374258583628,-,-
Ashti(Jalna) APMC,2500.0,2433.33,2085.8317560415558,2.7%,-
Ashti(Karanja) APMC,2101.51,2047.37,1657.75,2.6%,26.8%
Aurad Shahajani APMC,2117.14,1976.91,1731.6059968886075,7.1%,-
Ausa APMC,2264.1,2425.33,1953.05,-6.7%,15.9%
Babhulgaon APMC,2114.81,2133.33,1658.2,-0.9%,27.5%
Balapur APMC,2218.52,2057.69,2073.68,7.8%,7.0%
Baramati APMC,2209.47,2192.56,1798.47,0.8%,22.9%
Barshi APMC,2778.07,2286.83,2389.71,21.5%,16.2%
Barshi(Vairag) APMC,2114.08,2198.4,1845.2905616491732,-3.8%,-
Beed APMC,2281.02,2187.2,1892.74,4.3%,20.5%
Bhandara APMC,1870.88,1845.67,1618.44,1.4%,15.6%
Bhiwapur APMC,1992.5,1985.0,1555.0,0.4%,28.1%
Bhokar APMC,1978.47,1949.0,1529.4,1.5%,29.4%
Bhokardan APMC,2100.0,1976.0,1653.6,6.3%,27.0%
Bhokardan(Pimpalgaon Renu) APMC,2107.95,2038.54,1675.0,3.4%,25.9%
Bhusaval APMC,2190.0,2128.5459557529293,1855.45,-,18.0%
Bori APMC,1775.0,1700.0,1800.46,4.4%,-1.4%
Buldhana(Dhad) APMC,2237.0909941328155,2169.001123672078,1900.0,-,-
Chakur APMC,2071.0,2017.0,1738.1313776666448,2.7%,-
Chalisgaon APMC,2054.75,2033.19,1645.17,1.1%,24.9%
Chandur Bazar APMC,2082.47,1998.17,1733.6,4.2%,20.1%
Chandur Railway APMC,1997.5,1800.0,1603.171310156998,11.0%,-
Chattrapati Sambhajinagar APMC,2187.65,2235.53,1757.26,-2.1%,24.5%
Chikali APMC,2001.34,1886.16,1780.76,6.1%,12.4%
Chopada APMC,2126.68,2162.57,1798.47,-1.7%,18.2%
Daryapur APMC,2077.322448416089,2015.6243730458648,1620.08,-,-
Deoulgaon Raja APMC,2149.49,2053.26,1698.79,4.7%,26.5%
Devala APMC,2080.34,2073.89,1727.5,0.3%,20.4%
Dhamngaon-Railway APMC,2074.2403172826575,2012.6655474764827,1614.68,-,-
Dharangaon APMC,2129.15,2183.9,1664.42,-2.5%,27.9%
Dharmabad APMC,2094.399737955402,2032.0184584228878,1650.0,-,-
Dhule APMC,2087.58,2154.15,1811.53,-3.1%,15.2%
Digras APMC,2251.0,2176.303223734025,1876.059673474646,-,-
Dondaicha APMC,2213.87,2184.15,1746.52,1.4%,26.8%
Dondaicha(Sindhkheda) APMC,2139.7470191685843,2075.5515494390806,1729.45,-,-
Dound APMC,2201.77,2074.55,1771.96,6.1%,24.3%
Dudhani APMC,2351.2439990747457,2278.5872558714295,2100.0,-,-
Gangakhed APMC,2125.98,2104.48,2000.0,1.0%,6.3%
Gangapur APMC,2221.79,2219.77,1738.65,0.1%,27.8%
Gevrai APMC,2277.52,2119.7,1753.81,7.5%,29.9%
Ghansawangi APMC,2322.06,2131.58,1874.8179167039405,8.9%,-
Hinganghat APMC,2084.73,2088.07,1740.49,-0.2%,19.8%
Hingoli APMC,2308.72,1996.87,1978.48,15.6%,16.7%
Hingoli(Kanegoan Naka) APMC,1889.15,1904.13,1655.56,-0.8%,14.1%
Indapur APMC,2256.73,2042.77,1808.7184217934005,10.5%,-
Indapur(Bhigwan) APMC,2151.0,2092.981565207573,1802.1137181370045,-,-
