Market,"Arrivals April, 2022 (Metric Tonnes)","Arrivals March, 2022 (Metric Tonnes)","Arrivals April, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar APMC,433.0,384.0,37.0,12.8%,1070.3%
Akhadabalapur APMC,19.0,8.0,7.0,137.5%,171.4%
Akkalkot APMC,80.02185207505246,70.18362035378023,6.0,-,-
Akkalkuwa APMC,210.53929086854006,205.92186689944893,149.0,-,-
Akluj APMC,78.19643335066803,68.28518333915551,4.0,-,-
Akola APMC,936.0,263.0,1105.0,255.9%,-15.3%
Amalner APMC,3125.0,6716.0,3875.0,-53.5%,-19.4%
Amarawati APMC,2335.0,960.0,2073.0,143.2%,12.6%
Ambad (Vadigodri) APMC,19.0,145.0,82.0,-86.9%,-76.8%
Ambejaogai APMC,1.0,2.0,-30.072258940923017,-50.0%,-
Anajngaon APMC,99.0,24.0,204.0,312.5%,-51.5%
Ashti APMC,75.0,69.15647472382538,45.11808600308892,-,-
Ashti(Jalna) APMC,4.0,3.0,-27.27591500117035,33.3%,-
Ashti(Karanja) APMC,620.0,904.0,502.0,-31.4%,23.5%
Aurad Shahajani APMC,7.0,11.0,-23.455866091535427,-36.4%,-
Ausa APMC,30.0,6.0,22.0,400.0%,36.4%
Babhulgaon APMC,54.0,18.0,150.0,200.0%,-64.0%
Balapur APMC,54.0,39.0,76.0,38.5%,-28.9%
Baramati APMC,759.0,602.0,511.0,26.1%,48.5%
Barshi APMC,123.0,12.0,17.0,925.0%,623.5%
Barshi(Vairag) APMC,36.0,15.0,2.74674511235947,140.0%,-
Beed APMC,128.0,186.0,145.0,-31.2%,-11.7%
Bhandara APMC,85.0,30.0,32.0,183.3%,165.6%
Bhiwapur APMC,24.0,5.0,5.0,380.0%,380.0%
Bhokar APMC,53.0,66.0,83.0,-19.7%,-36.1%
Bhokardan APMC,59.0,75.0,111.0,-21.3%,-46.9%
Bhokardan(Pimpalgaon Renu) APMC,44.0,48.0,20.0,-8.3%,120.0%
Bhusaval APMC,5.0,1.082551381585068,11.0,-,-54.5%
Bori APMC,1.0,13.0,13.0,-92.3%,-92.3%
Buldhana(Dhad) APMC,81.84727079943693,72.08205736840499,8.0,-,-
Chakur APMC,3.0,3.0,-28.159281792045892,-,-
Chalisgaon APMC,138.0,304.0,510.0,-54.6%,-72.9%
Chandur Bazar APMC,611.0,145.0,243.0,321.4%,151.4%
Chandur Railway APMC,12.0,1.0,-20.50146780841808,1100.0%,-
Chattrapati Sambhajinagar APMC,557.0,939.0,437.0,-40.7%,27.5%
Chikali APMC,307.0,237.0,172.0,29.5%,78.5%
Chopada APMC,220.0,387.0,49.0,-43.1%,349.0%
Daryapur APMC,134.78441380658572,127.13673079252234,66.0,-,-
Deoulgaon Raja APMC,99.0,92.0,124.0,7.6%,-20.2%
Devala APMC,29.0,27.0,32.0,7.4%,-9.4%
Dhamngaon-Railway APMC,941.6194899845091,966.2458912566561,950.0,-,-
Dharangaon APMC,172.0,333.0,38.0,-48.4%,352.6%
Dharmabad APMC,77.2837239884758,67.33596483184313,3.0,-,-
Dhule APMC,304.0,2580.0,917.0,-88.2%,-66.8%
Digras APMC,25.0,17.468618594617112,-6.609269998121036,-,-
Dondaicha APMC,3776.0,4000.0,4730.0,-5.6%,-20.2%
Dondaicha(Sindhkheda) APMC,163.07840403454458,156.56250451920576,97.0,-,-
Dound APMC,113.0,122.0,225.0,-7.4%,-49.8%
Dudhani APMC,80.02185207505246,70.18362035378023,6.0,-,-
Gangakhed APMC,127.0,134.0,27.0,-5.2%,370.4%
Gangapur APMC,28.0,124.0,139.0,-77.4%,-79.9%
Gevrai APMC,218.0,216.0,462.0,0.9%,-52.8%
Ghansawangi APMC,34.0,19.0,1.5649857991125273,79.0%,-
Hinganghat APMC,1409.0,1249.0,1360.0,12.8%,3.6%
Hingoli APMC,47.0,52.0,56.0,-9.6%,-16.1%
Hingoli(Kanegoan Naka) APMC,295.0,281.0,45.0,5.0%,555.6%
Indapur APMC,75.0,83.0,47.142612521076146,-9.6%,-
Indapur(Bhigwan) APMC,24.0,16.43486147203295,-7.643817118145233,-,-
Indapur(Nimgaon Ketki) APMC,2.0,-6.307795224818689,-30.403853758677613,-,-
Jafrabad APMC,72.0,73.0,68.0,-1.4%,5.9%
Jalana APMC,2218.0,2286.0,2744.0,-3.0%,-19.2%
Jalgaon APMC,12.0,18.0,29.0,-33.3%,-58.6%
Jalgaon Jamod(Aasalgaon) APMC,114.70480783835684,106.25392363165022,44.0,-,-
Jalgaon(Masawat) APMC,39.0,82.0,16.0,-52.4%,143.8%
Jamkhed APMC,161.0,93.0,42.0,73.1%,283.3%
Jawala-Bajar APMC,41.0,33.0,9.795963275005846,24.2%,-
Jintur APMC,2.0,-2.008094660671952,8.0,-,-75.0%
Kada APMC,29.0,50.0,1.6817024256419586,-42.0%,-
Kaij APMC,48.0,25.0,28.0,92.0%,71.4%
Kalamb (Dharashiv) APMC,108.0,74.0,99.0,46.0%,9.1%
Kalamb APMC,7.0,-1.139009611897861,-25.23111815855662,-,-
Kalmeshwar APMC,60.0,11.0,10.0,445.4%,500.0%
Kalvan APMC,7.0,7.0,14.0,-,-50.0%
Kandhar APMC,48.15197643675719,40.0,17.1374867182438,-,-
Kannad APMC,105.0,175.0,112.0,-40.0%,-6.2%
Karanja APMC,4980.0,3309.0,5388.0,50.5%,-7.6%
Karjat(Raigad) APMC,183.0,125.0,117.0,46.4%,56.4%
Karmala APMC,43.0,34.0,31.0,26.5%,38.7%
Katol APMC,468.0,367.0,560.0,27.5%,-16.4%
Khamgaon APMC,455.0,466.0,1108.0,-2.4%,-58.9%
Kille Dharur APMC,34.0,26.0,23.0,30.8%,47.8%
Kopargaon APMC,577.0,269.0,727.0,114.5%,-20.6%
Kurdwadi APMC,21.328900195835963,3.0,2.0,-,-
Kurdwadi(Modnimb) APMC,32.0,27.0,12.0,18.5%,166.7%
Lakhandur APMC,41.0,27.0,6.0,51.9%,583.3%
