Market,"Prices February, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1864.0,1855.18,1673.9376174084757,0.5%,-
Ahmednagar APMC,2005.76,1947.39,2294.05,3.0%,-12.6%
Akhadabalapur APMC,1900.0,1850.0,1800.0,2.7%,5.6%
Akluj APMC,821.1590756199007,710.9960024655146,60.15,-,-
Akola APMC,2062.63,2093.9,1848.05,-1.5%,11.6%
Akot APMC,1764.2220333438006,1773.1129169693909,1500.0,-,-
Amalner APMC,2061.09,2027.76,1741.24,1.6%,18.4%
Amarawati APMC,1999.16,1987.03,1734.11,0.6%,15.3%
Ambad (Vadigodri) APMC,2060.17,1993.33,1878.4949420190226,3.4%,-
Ambejaogai APMC,2300.0,2374.0040017343044,2128.3747805421463,-,-
Anajngaon APMC,1850.0,1854.76,1561.11,-0.3%,18.5%
Ashti(Jalna) APMC,1733.0,1789.73,1537.310815976726,-3.2%,-
Ashti(Karanja) APMC,1882.1171838041278,1905.8913623704382,1680.0,-,-
Aurad Shahajani APMC,1708.0,1625.0,1511.3837893578052,5.1%,-
Ausa APMC,1779.2001280533998,1650.0,1585.6523483727542,-,-
Balapur APMC,1725.71,1747.38,1538.0,-1.2%,12.2%
Baramati APMC,1997.35,2081.11,1768.22,-4.0%,13.0%
Barshi APMC,1875.0,1708.93,1550.0,9.7%,21.0%
Barshi(Vairag) APMC,1627.43,1555.1,1427.3816763585207,4.7%,-
Beed APMC,1934.78,1951.08,1654.64,-0.8%,16.9%
Bhandara APMC,1735.56,1721.82,2053.33,0.8%,-15.5%
Bhokar APMC,1719.71,1751.43,1452.73,-1.8%,18.4%
Bhokardan APMC,1823.68,1831.58,1600.0,-0.4%,14.0%
Bhokardan(Pimpalgaon Renu) APMC,1818.1,1806.67,1623.48,0.6%,12.0%
Bori APMC,1553.08,1556.82,1613.12,-0.2%,-3.7%
Chakur APMC,1651.0,1647.8986740254707,1500.0,-,10.1%
Chalisgaon APMC,1835.46,1847.29,1560.24,-0.6%,17.6%
Chandur Bazar APMC,1735.88,1746.36,1533.38,-0.6%,13.2%
Chattrapati Sambhajinagar APMC,2031.4,2052.97,1663.6,-1.1%,22.1%
Chikali APMC,1663.46,1696.64,1553.27,-2.0%,7.1%
Chopada APMC,1991.67,1881.23,1724.25,5.9%,15.5%
Deoulgaon Raja APMC,1801.22,1759.12,1502.68,2.4%,19.9%
Devala APMC,1880.38,1862.22,1626.59,1.0%,15.6%
Dhamngaon-Railway APMC,1580.0,1781.6,1377.6731889928121,-11.3%,-
Dharangaon APMC,1959.71,1880.29,1645.82,4.2%,19.1%
Dhule APMC,1944.92,2082.37,1671.34,-6.6%,16.4%
Digras APMC,1877.5,1900.0,1650.0,-1.2%,13.8%
Dondaicha APMC,1986.44,1947.64,1708.81,2.0%,16.2%
Dondaicha(Sindhkheda) APMC,1809.4479230064983,1824.0482039412925,1569.05,-,-
Dound APMC,1910.89,1894.14,1700.35,0.9%,12.4%
Gangakhed APMC,2100.0,2100.0,1914.53,-,9.7%
Gangapur APMC,2034.73,1947.36,1671.53,4.5%,21.7%
Gevrai APMC,1946.82,2017.02,1542.0,-3.5%,26.2%
Ghansawangi APMC,1830.77,1750.0,2050.0,4.6%,-10.7%
Hinganghat APMC,1846.5,1859.58,1597.24,-0.7%,15.6%
Hingoli APMC,1852.45,1788.27,1849.23,3.6%,0.2%
Hingoli(Kanegoan Naka) APMC,1607.93,1632.44,1500.79,-1.5%,7.1%
Jafrabad APMC,1900.0,1880.95,1500.0,1.0%,26.7%
Jalana APMC,2024.57,1971.25,1649.02,2.7%,22.8%
Jalgaon APMC,1800.0,1733.33,1562.5,3.9%,15.2%
Jalgaon Jamod(Aasalgaon) APMC,1829.7193391550934,1846.8787199699725,1600.0,-,-
Jalgaon(Masawat) APMC,1843.729212868129,1862.6572252317972,1621.39,-,-
Jamkhed APMC,1698.63,1737.74,2060.29,-2.2%,-17.6%
Jamner APMC,2045.86044833236,2090.3058698718924,1930.0,-,-
Jawala-Bajar APMC,1860.5408057756545,1657.55,1750.0,-,-
Jintur APMC,1960.713950777679,1994.4103259711358,1800.0,-,-
Kada APMC,1600.0,1700.0,1398.6205566570713,-5.9%,-
Kaij APMC,1994.31,1883.53,1809.8802211752889,5.9%,-
Kalamb (Dharashiv) APMC,1687.69,1732.28,1565.69,-2.6%,7.8%
Kalvan APMC,1826.6933636266117,1843.4707398713458,1595.38,-,-
Kandhar APMC,1527.27,1509.5991900254432,1390.0,-,9.9%
Kannad APMC,2009.83,1951.79,1566.14,3.0%,28.3%
Karanja APMC,1916.41,1840.49,1630.64,4.1%,17.5%
Karjat(Raigad) APMC,1690.59,1651.74,1625.0,2.4%,4.0%
Karmala APMC,1624.93,1822.32,1611.11,-10.8%,0.9%
Katol APMC,1837.0,1862.0,1664.05,-1.3%,10.4%
Khamgaon APMC,1963.68,1868.85,1610.07,5.1%,22.0%
Kille Dharur APMC,1877.82,1671.81,2202.62,12.3%,-14.8%
