Market,"Prices December, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Manora APMC,2541.362215847779,2535.67,2544.5886887575866,-,-
Mantha APMC,2862.5,2760.0,3014.94,3.7%,-5.1%
Manwat APMC,2950.0,2975.0,2875.9108760678027,-0.8%,-
Mehekar APMC,2601.92,2513.95,2309.43,3.5%,12.7%
Morshi APMC,2613.38,2573.69,2551.95,1.5%,2.4%
Mudkhed APMC,2614.515799993327,2650.0,2610.2103068992533,-,-
Mumbai APMC,4400.0,4400.0,3849.35,-,14.3%
Murtizapur APMC,2496.0,2445.0,2491.67,2.1%,0.2%
Murum APMC,2850.0,2280.67,2690.693449722514,25.0%,-
Nagpur APMC,3018.09,2963.33,2938.99,1.9%,2.7%
Nanded APMC,2692.39,2823.18,2689.208127645185,-4.6%,-
Nandgaon APMC,2945.69,2794.67,2911.87,5.4%,1.2%
Nandgaon Khandeshwar APMC,2322.5,2335.0,2245.0,-0.5%,3.5%
Nandura APMC,2794.59,2696.96,2730.1943879823116,3.6%,-
Nandurbar APMC,2680.8,2757.29,2667.27,-2.8%,0.5%
Navapur APMC,2203.42,2181.71,2341.17,1.0%,-5.9%
Newasa APMC,2450.0,2497.8068383352684,2481.149830741257,-,-
Nira(Saswad) APMC,3025.0,3075.0,3026.56,-1.6%,-0.1%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2657.5646335568053,2717.28,2648.826789612201,-,-
Pachora APMC,2681.95,2624.31,2614.28,2.2%,2.6%
Paithan APMC,2885.7,2858.93,2722.63,0.9%,6.0%
Palghar APMC,3042.14,3082.23,3123.5,-1.3%,-2.6%
Paranda APMC,2675.0,2550.0,2900.0,4.9%,-7.8%
Parbhani APMC,2660.0,2718.6,2477.78,-2.2%,7.3%
Parola APMC,2712.3,2802.336554339073,2769.69,-,-2.1%
Partur APMC,2964.29,2862.5,2592.07,3.6%,14.4%
Pathardi APMC,2636.11,2342.86,2307.14,12.5%,14.3%
Pathari APMC,2583.67,2762.6,2700.0,-6.5%,-4.3%
Patur APMC,2209.0,2353.5039129543675,2468.0,-,-10.5%
Phaltan APMC,2657.5,2626.1124414491687,2500.0,-,6.3%
Pulgaon APMC,2425.761253304473,2355.0,2440.8901166447995,-,-
Pune APMC,5000.0,5001.31,4716.75,-0.0%,6.0%
Purna APMC,2749.0,2796.269735115061,2719.5416005790753,-,-
Pusad APMC,2927.0,2913.0,2850.6456913191723,0.5%,-
Rahata APMC,2650.83,2748.65,2768.4,-3.6%,-4.2%
Rahuri APMC,2466.07,2570.98,2412.5,-4.1%,2.2%
Rahuri(Vambori) APMC,2572.45,2643.3,2657.15,-2.7%,-3.2%
Ramtek APMC,2640.0,2641.74,2371.15,-0.1%,11.3%
Raver APMC,2644.5,2790.29,2611.13,-5.2%,1.3%
Sakri APMC,2528.75,2865.0,2595.142420212362,-11.7%,-
Sangamner APMC,2728.19,2671.67,2776.71,2.1%,-1.8%
Sangli APMC,3538.67,3580.13,3504.96,-1.2%,1.0%
Sangrampur(Varvatbakal) APMC,2449.4285727186243,2550.0,2414.71,-,-
"Sant Namdev Krushi Bazar,  APMC",918.9241093985371,0.0,1089.1984283422994,-,-
Satana APMC,2599.19,2627.57,2429.33,-1.1%,7.0%
Savner APMC,2602.21,2464.39,2380.0,5.6%,9.3%
Selu APMC,2450.0,2501.5,2481.8051326005602,-2.1%,-
Shahada APMC,2676.52,2667.24,2622.0,0.3%,2.1%
Shegaon APMC,2445.36633912643,2469.4494677848425,2433.33,-,-
Shevgaon APMC,2643.81,2724.17,2332.22,-3.0%,13.4%
Shevgaon(Bodhegaon) APMC,2609.52,2596.15,2662.5,0.5%,-2.0%
Shirpur APMC,2620.88,2654.05,2678.39,-1.2%,-2.1%
Shrigonda APMC,2452.27,2344.44,2510.87,4.6%,-2.3%
Shrigonda(Gogargaon) APMC,2361.9,2429.3140205141917,2447.06,-,-3.5%
Shrirampur APMC,2552.94,2494.12,2350.5,2.4%,8.6%
Shrirampur(Belapur) APMC,2341.67,2368.18,2254.55,-1.1%,3.9%
Sillod APMC,2706.08,2740.5,2670.72,-1.3%,1.3%
Sillod(Bharadi) APMC,2458.33,2633.33,2591.67,-6.7%,-5.1%
Sindi(Selu) APMC,2425.45,2388.0,2658.93,1.6%,-8.8%
