Market,"Arrivals March, 2022 (Metric Tonnes)","Arrivals February, 2022 (Metric Tonnes)","Arrivals March, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,407.21289717903045,100.0,505.49784482658913,-,-
Ahmednagar APMC,384.0,289.0,51.0,32.9%,652.9%
Akhadabalapur APMC,8.0,3.0,10.0,166.7%,-20.0%
Akola APMC,263.0,123.0,830.0,113.8%,-68.3%
Akot APMC,100.8066052232045,29.63263078389923,100.0,-,-
Amalner APMC,6716.0,282.0,6180.0,2281.6%,8.7%
Amarawati APMC,960.0,358.0,1127.0,168.2%,-14.8%
Ambad (Vadigodri) APMC,145.0,47.0,77.0,208.5%,88.3%
Ambejaogai APMC,2.0,2.0,-10.14656791236574,-,-
Anajngaon APMC,24.0,24.0,51.0,-,-52.9%
Ashti(Jalna) APMC,3.0,4.0,-9.748288997002902,-25.0%,-
Ashti(Karanja) APMC,904.0,454.97427127699456,362.0,-,149.7%
Aurad Shahajani APMC,11.0,1.0,1.0,1000.0%,1000.0%
Ausa APMC,6.0,-8.487866165542547,-0.05714731294062503,-,-
Babhulgaon APMC,18.0,-3.8289838423090963,13.5578976003289,-,-
Balapur APMC,39.0,35.0,70.0,11.4%,-44.3%
Baramati APMC,602.0,493.0,497.0,22.1%,21.1%
Barshi APMC,12.0,16.0,15.0,-25.0%,-20.0%
Barshi(Vairag) APMC,15.0,7.0,4.624599265060127,114.3%,-
Beed APMC,186.0,100.0,97.0,86.0%,91.8%
Bhandara APMC,30.0,9.0,27.0,233.3%,11.1%
Bhiwapur APMC,5.0,-8.876106359145336,-1.1917343890464167,-,-
Bhokar APMC,66.0,7.0,169.0,842.9%,-61.0%
Bhokardan APMC,75.0,57.0,133.0,31.6%,-43.6%
Bhokardan(Pimpalgaon Renu) APMC,48.0,29.0,13.0,65.5%,269.2%
Bhusaval APMC,18.649745660746966,-2.1265748056102893,6.0,-,-
Bori APMC,13.0,13.0,11.0,-,18.2%
Chakur APMC,3.0,1.0,-8.377783100187331,200.0%,-
Chalisgaon APMC,304.0,98.0,368.0,210.2%,-17.4%
Chandur Bazar APMC,145.0,113.0,106.0,28.3%,36.8%
Chandur Railway APMC,1.0,-10.429067133556485,-5.730082693469591,-,-
Chattrapati Sambhajinagar APMC,939.0,144.0,839.0,552.1%,11.9%
Chikali APMC,237.0,246.0,429.0,-3.7%,-44.8%
Chopada APMC,387.0,51.0,690.0,658.8%,-43.9%
Daryapur APMC,38.75195597922062,5.64429464714204,29.0,-,-
Deoulgaon Raja APMC,92.0,41.0,90.0,124.4%,2.2%
Devala APMC,27.0,26.0,550.0,3.9%,-95.1%
Dhamngaon-Railway APMC,1347.482860263423,1.0,2110.0,-,-
Dharangaon APMC,333.0,34.0,783.0,879.4%,-57.5%
Dhule APMC,2580.0,298.0,3418.0,765.8%,-24.5%
Digras APMC,22.866368010150772,2.0,8.0,-,-
Dondaicha APMC,4000.0,593.0,6789.0,574.5%,-41.1%
Dound APMC,122.0,73.0,167.0,67.1%,-26.9%
Dudhani APMC,16.901727372184038,-2.8023025841104925,4.0,-,-
Gangakhed APMC,134.0,95.0,40.0,41.0%,235.0%
Gangapur APMC,124.0,98.0,313.0,26.5%,-60.4%
Gevrai APMC,216.0,227.0,264.0,-4.8%,-18.2%
Ghansawangi APMC,19.0,26.0,1.1925266381877062,-26.9%,-
Hinganghat APMC,1249.0,113.0,796.0,1005.3%,56.9%
Hingoli APMC,52.0,53.0,104.0,-1.9%,-50.0%
Hingoli(Kanegoan Naka) APMC,281.0,145.0,141.0,93.8%,99.3%
Indapur APMC,83.0,21.406628741872098,87.30605754720548,-,-
Jafrabad APMC,73.0,65.0,80.0,12.3%,-8.8%
Jalana APMC,2286.0,976.0,2462.0,134.2%,-7.2%
Jalgaon APMC,18.0,1.0,37.0,1700.0%,-51.4%
Jalgaon Jamod(Aasalgaon) APMC,37.87794683493916,5.306430757891942,28.0,-,-
Jalgaon(Masawat) APMC,82.0,17.551955665568894,106.0,-,-22.6%
Jamkhed APMC,93.0,73.0,36.0,27.4%,158.3%
Jawala-Bajar APMC,33.0,3.668822925941214,21.0,-,57.1%
Jintur APMC,16.901727372184038,-2.8023025841104925,4.0,-,-
Kada APMC,50.0,25.0,42.31979684756262,100.0%,-
Kaij APMC,25.0,29.0,78.0,-13.8%,-68.0%
Kalamb (Dharashiv) APMC,74.0,49.0,127.0,51.0%,-41.7%
Kalamnuri APMC,24.767809670717206,0.23847241914041817,13.0,-,-
Kalmeshwar APMC,11.0,-6.0893718940364,3.0,-,266.7%
