,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2023",,
Market,"Prices March, 2023 (Rs./Quintal)","Prices February, 2023 (Rs./Quintal)","Prices March, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2169.9,2502.74,-,-13.3%,-
Ahmednagar APMC,2192.05,2411.39,2149.69,-9.1%,2.0%
Ahmedpur APMC,2502.88,2434.98,-,2.8%,-
Akhadabalapur APMC,2390.91,2078.95,1800.0,15.0%,32.8%
Akkalkuwa APMC,2188.69,-,-,-,-
Akola APMC,2328.62,2609.24,2182.73,-10.8%,6.7%
Amalner APMC,2396.15,2457.95,2271.32,-2.5%,5.5%
Amarawati APMC,2311.46,2325.93,2138.05,-0.6%,8.1%
Ambad (Vadigodri) APMC,2384.39,2404.14,2174.61,-0.8%,9.7%
Ambejaogai APMC,-,-,2380.0,-,-
Anajngaon APMC,2300.0,2914.29,2016.67,-21.1%,14.1%
Ashti APMC,2100.0,-,-,-,-
Ashti(Jalna) APMC,-,2440.0,2433.33,-,-
Ashti(Karanja) APMC,2066.41,2010.54,2047.37,2.8%,0.9%
Aurad Shahajani APMC,2103.0,2457.5,1976.91,-14.4%,6.4%
Ausa APMC,-,2902.82,2425.33,-,-
Babhulgaon APMC,-,-,2133.33,-,-
Balapur APMC,2220.59,2762.5,2057.69,-19.6%,7.9%
Baramati APMC,2423.5,2508.56,2192.56,-3.4%,10.5%
Barshi APMC,2586.15,2626.32,2286.83,-1.5%,13.1%
Barshi(Vairag) APMC,2462.22,2450.5,2198.4,0.5%,12.0%
Basmat APMC,2194.8,2240.0,-,-2.0%,-
Beed APMC,2390.49,2574.29,2187.2,-7.1%,9.3%
Bhandara APMC,2277.27,-,1845.67,-,23.4%
Bhiwapur APMC,-,-,1985.0,-,-
Bhokar APMC,2087.4,2101.88,1949.0,-0.7%,7.1%
Bhokardan APMC,2032.5,2361.05,1976.0,-13.9%,2.9%
Bhokardan(Pimpalgaon Renu) APMC,2135.0,2365.52,2038.54,-9.8%,4.7%
Bori APMC,-,-,1700.0,-,-
Buldhana APMC,-,3000.0,-,-,-
Buldhana(Dhad) APMC,2421.73,2792.31,-,-13.3%,-
Chakur APMC,2012.87,2327.38,2017.0,-13.5%,-0.2%
Chalisgaon APMC,2183.78,2270.36,2033.19,-3.8%,7.4%
Chandur Bazar APMC,2154.86,2217.87,1998.17,-2.8%,7.8%
Chandur Railway APMC,-,2050.0,1800.0,-,-
Chattrapati Sambhajinagar APMC,2230.29,2468.7,2235.53,-9.7%,-0.2%
Chikali APMC,2120.96,2314.22,1886.16,-8.3%,12.4%
Chopada APMC,2279.3,2270.48,2162.57,0.4%,5.4%
Daryapur APMC,-,2150.0,-,-,-
Deoulgaon Raja APMC,2440.15,2750.0,2053.26,-11.3%,18.8%
Devala APMC,2168.33,2483.75,2073.89,-12.7%,4.5%
Dhamngaon-Railway APMC,2006.0,-,-,-,-
Dharangaon APMC,2191.4,2281.03,2183.9,-3.9%,0.3%
Dhule APMC,2242.5,2363.1,2154.15,-5.1%,4.1%
Digras APMC,2411.51,3205.0,-,-24.8%,-
Dondaicha APMC,2243.89,2193.43,2184.15,2.3%,2.7%
Dondaicha(Sindhkheda) APMC,2153.01,2185.6,-,-1.5%,-
Dound APMC,2254.66,2552.63,2074.55,-11.7%,8.7%
Gangakhed APMC,2314.29,2292.86,2104.48,0.9%,10.0%
Gangapur APMC,2230.14,2375.62,2219.77,-6.1%,0.5%
Gevrai APMC,2311.82,2435.78,2119.7,-5.1%,9.1%
Ghansawangi APMC,2180.0,-,2131.58,-,2.3%
Himalyatnagar APMC,-,2300.0,-,-,-
Hinganghat APMC,2024.01,2249.36,2088.07,-10.0%,-3.1%
Hingoli APMC,2410.68,2415.66,1996.87,-0.2%,20.7%
Hingoli(Kanegoan Naka) APMC,1980.07,2075.76,1904.13,-4.6%,4.0%
Indapur APMC,2547.72,2450.78,2042.77,4.0%,24.7%
Indapur(Bhigwan) APMC,2248.68,2286.96,-,-1.7%,-
Indapur(Nimgaon Ketki) APMC,2331.8,-,-,-,-
Jafrabad APMC,2142.31,2200.0,1976.71,-2.6%,8.4%
Jalana APMC,2310.22,2535.35,2236.48,-8.9%,3.3%
Jalgaon APMC,2231.43,-,2090.28,-,6.8%
Jalgaon Jamod(Aasalgaon) APMC,-,1916.81,-,-,-
Jalgaon(Masawat) APMC,2232.17,2298.26,2118.9,-2.9%,5.3%
Jamkhed APMC,2217.76,2245.0,1914.52,-1.2%,15.8%
Jawala-Bajar APMC,-,-,1771.21,-,-
Jintur APMC,2200.67,-,-,-,-
Kada APMC,2263.74,-,1936.0,-,16.9%
Kaij APMC,2561.09,2511.44,2179.68,2.0%,17.5%
Kalamb (Dharashiv) APMC,2749.25,2625.08,2093.53,4.7%,31.3%
Kalmeshwar APMC,-,-,1969.55,-,-
