,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2025",,
Market,"Prices January, 2025 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Nanded APMC,3127.78,2932.51,2577.5,6.7%,21.4%
Nandgaon APMC,3088.65,3232.62,2889.96,-4.5%,6.9%
Nandgaon Khandeshwar APMC,2403.89,2427.9,2350.0,-1.0%,2.3%
Nandura APMC,2802.17,2767.28,2690.33,1.3%,4.2%
Nandurbar APMC,2923.44,2787.08,2639.68,4.9%,10.8%
Navapur APMC,2610.3,2506.3,2141.83,4.2%,21.9%
Newasa APMC,2700.0,2800.0,2500.0,-3.6%,8.0%
Nira(Saswad) APMC,3403.88,-,-,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2948.05,2865.73,-,2.9%,-
Pachora APMC,2654.76,2660.67,2562.33,-0.2%,3.6%
Paithan APMC,3249.66,3072.2,2834.21,5.8%,14.7%
Palam APMC,2851.0,3275.5,-,-13.0%,-
Palghar APMC,3195.18,3406.9,3105.44,-6.2%,2.9%
Paranda APMC,3150.0,2668.64,2600.0,18.0%,21.1%
Parbhani APMC,2522.22,2500.0,2500.0,0.9%,0.9%
Parola APMC,-,-,2500.0,-,-
Partur APMC,2745.26,2255.0,2425.0,21.7%,13.2%
Pathardi APMC,2753.65,2798.27,2547.06,-1.6%,8.1%
Pathari APMC,2276.59,2525.0,2298.0,-9.8%,-0.9%
Patur APMC,2612.5,2554.67,2547.75,2.3%,2.5%
Phaltan APMC,2650.0,2785.74,-,-4.9%,-
Pune APMC,4441.16,4466.73,-,-0.6%,-
Purna APMC,2500.0,-,2400.0,-,4.2%
Rahata APMC,3163.58,2965.71,2733.2,6.7%,15.8%
Rahuri APMC,2884.17,2849.34,2492.05,1.2%,15.7%
Rahuri(Vambori) APMC,2794.55,2864.46,2549.47,-2.4%,9.6%
Ramtek APMC,-,-,2477.35,-,-
Raver APMC,2984.48,2897.22,2595.45,3.0%,15.0%
Raver(Sauda) APMC,3000.0,-,-,-,-
Sakri APMC,-,2500.0,2483.67,-,-
Sangamner APMC,2911.21,2920.35,2615.56,-0.3%,11.3%
Sangli APMC,3983.17,3984.78,3588.96,-0.0%,11.0%
Sangrampur(Varvatbakal) APMC,2100.0,2450.0,2350.0,-14.3%,-10.6%
Satana APMC,2891.45,2804.43,2610.5,3.1%,10.8%
Savner APMC,2885.78,2767.35,2513.37,4.3%,14.8%
Selu APMC,-,-,2450.0,-,-
Shahada APMC,2982.5,2818.75,2667.0,5.8%,11.8%
Shegaon APMC,2652.5,2666.0,-,-0.5%,-
Shevgaon APMC,2789.67,3033.22,2515.38,-8.0%,10.9%
Shevgaon(Bodhegaon) APMC,2778.05,2844.27,2592.31,-2.3%,7.2%
Shirpur APMC,2793.19,2756.15,2539.98,1.3%,10.0%
Shirur APMC,2790.63,2805.26,-,-0.5%,-
Shrigonda APMC,-,2703.85,2629.41,-,-
Shrigonda(Gogargaon) APMC,2800.0,2800.0,2750.0,-,1.8%
Shrirampur APMC,2697.01,2617.31,2469.23,3.0%,9.2%
Shrirampur(Belapur) APMC,2400.0,2400.0,2388.89,-,0.5%
Sillod APMC,2749.82,2704.69,2593.15,1.7%,6.0%
Sillod(Bharadi) APMC,2777.38,2664.29,2493.75,4.2%,11.4%
Sindi(Selu) APMC,2753.65,2688.3,2360.53,2.4%,16.6%
Sinner APMC,3043.66,3032.33,2728.95,0.4%,11.5%
Solapur APMC,3669.63,3621.55,2925.15,1.3%,25.4%
Sonpeth APMC,3275.0,-,-,-,-
Tadkalas APMC,2400.0,2557.69,2157.14,-6.2%,11.3%
Taloda APMC,3000.0,-,-,-,-
Tasgaon APMC,2724.0,2542.14,3093.75,7.2%,-11.9%
Telhara APMC,2939.62,2936.38,2558.33,0.1%,14.9%
Tumsar APMC,2730.06,2603.39,2550.0,4.9%,7.1%
Ulhasnagar APMC,3248.13,3260.98,3408.68,-0.4%,-4.7%
Umared APMC,2885.57,2730.69,2916.0,5.7%,-1.0%
Umarga APMC,2727.69,2225.0,-,22.6%,-
Umarked(Danki) APMC,-,2500.0,-,-,-
Umarkhed APMC,2650.0,2583.33,-,2.6%,-
Vaduj APMC,2617.86,2609.8,2300.0,0.3%,13.8%
Vadvani APMC,2660.58,2588.88,-,2.8%,-
Vaijpur APMC,2860.0,3360.0,-,-14.9%,-
Varud APMC,-,-,2480.5,-,-
Varud(Rajura Bazar) APMC,2647.6,2718.0,2623.0,-2.6%,0.9%
Vasai APMC,3492.43,3707.45,3342.92,-5.8%,4.5%
Wardha APMC,2865.72,2799.14,2500.0,2.4%,14.6%
Washim APMC,2748.73,2632.91,2654.21,4.4%,3.6%
Washim(Ansing) APMC,2714.0,2512.21,2300.0,8.0%,18.0%
Yawal APMC,-,2550.0,2824.0,-,-
Yeola APMC,2912.72,2884.38,2680.6,1.0%,8.7%
Yeotmal APMC,2745.67,2533.52,2518.33,8.4%,9.0%
Average,2857.77,2806.47,2620.79,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

