,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2021",,
Market,"Prices December, 2021 (Rs./Quintal)","Prices November, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1838.45,1833.48,-,0.3%,-
Ahmednagar APMC,1927.17,2134.64,1662.14,-9.7%,15.9%
Ahmedpur APMC,-,-,1335.19,-,-
Akhadabalapur APMC,2000.0,1900.0,1902.78,5.3%,5.1%
Akluj APMC,-,-,1650.0,-,-
Akola APMC,2094.47,2114.62,1569.3,-0.9%,33.5%
Amalner APMC,2007.0,1956.05,1618.57,2.6%,24.0%
Amarawati APMC,1924.36,1912.1,1737.62,0.6%,10.8%
Ambad (Vadigodri) APMC,1979.16,1954.66,1507.62,1.2%,31.3%
Anajngaon APMC,1848.08,1883.33,1447.83,-1.9%,27.6%
Ashti(Jalna) APMC,1873.14,1751.17,-,7.0%,-
Aurad Shahajani APMC,1627.43,1641.67,-,-0.9%,-
Ausa APMC,1846.85,1660.33,-,11.2%,-
Balapur APMC,1732.55,1719.5,1416.43,0.8%,22.3%
Baramati APMC,1998.41,1899.2,1632.25,5.2%,22.4%
Barshi APMC,1900.0,1703.85,2500.0,11.5%,-24.0%
Barshi(Vairag) APMC,1558.88,1467.7,1800.0,6.2%,-13.4%
Beed APMC,1927.83,1926.69,1549.82,0.1%,24.4%
Bhandara APMC,1699.17,1755.62,1372.14,-3.2%,23.8%
Bhivandi APMC,-,1845.0,-,-,-
Bhiwapur APMC,-,-,1425.0,-,-
Bhokar APMC,1880.43,1804.0,1396.33,4.2%,34.7%
Bhokardan APMC,1812.07,1778.85,1527.4,1.9%,18.6%
Bhokardan(Pimpalgaon Renu) APMC,1783.33,1802.78,1500.0,-1.1%,18.9%
Bori APMC,1563.33,1553.79,1601.41,0.6%,-2.4%
Buldhana(Dhad) APMC,-,-,1442.31,-,-
Chakur APMC,-,1600.0,1326.0,-,-
Chalisgaon APMC,1838.63,1849.54,1442.27,-0.6%,27.5%
Chandur Bazar APMC,1718.6,1736.84,1483.92,-1.1%,15.8%
Chattrapati Sambhajinagar APMC,2029.33,1992.0,1635.47,1.9%,24.1%
Chikali APMC,1659.66,1487.34,1480.55,11.6%,12.1%
Chopada APMC,1841.48,1853.86,1475.65,-0.7%,24.8%
Deoulgaon Raja APMC,1785.42,1771.77,1407.98,0.8%,26.8%
Devala APMC,1880.87,1848.16,1487.03,1.8%,26.5%
Dharangaon APMC,1944.75,1935.5,1534.61,0.5%,26.7%
Dhule APMC,2010.7,2046.79,1568.54,-1.8%,28.2%
Digras APMC,-,-,1790.0,-,-
Dondaicha APMC,1979.7,2030.05,1692.7,-2.5%,17.0%
Dound APMC,1843.6,1826.11,1566.79,1.0%,17.7%
