Market,"Prices February, 2021 (Rs./Quintal)","Prices January, 2021 (Rs./Quintal)","Prices February, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1737.74199377113,1724.6018676223246,2121.86,-,-
Ahmednagar APMC,2294.05,1747.38,2170.04,31.3%,5.7%
Ahmedpur APMC,1397.09071846709,1325.0,1965.78,-,-
Akhadabalapur APMC,1800.0,1816.67,1978.57,-0.9%,-9.0%
Akluj APMC,60.15,1600.0,1665.8081028111756,-96.2%,-
Akola APMC,1848.05,1675.71,2254.11,10.3%,-18.0%
Akot APMC,1500.0,1535.42,2000.0,-2.3%,-25.0%
Amalner APMC,1741.24,1755.19,2136.28,-0.8%,-18.5%
Amarawati APMC,1734.11,1723.17,2161.74,0.6%,-19.8%
Ambad (Vadigodri) APMC,1692.4608981722217,1511.0,2438.14,-,-
Anajngaon APMC,1561.11,1510.0,2071.43,3.4%,-24.6%
Ashti(Karanja) APMC,1680.0,1674.4998176654356,2076.508541049938,-,-
Aurad Shahajani APMC,1380.4561618348384,1350.0,1864.6644151247904,-,-
Balapur APMC,1538.0,1515.38,1931.25,1.5%,-20.4%
Baramati APMC,1768.22,1832.56,2092.14,-3.5%,-15.5%
Barshi APMC,1550.0,1650.0,1923.96,-6.1%,-19.4%
Beed APMC,1654.64,1579.09,2217.0,4.8%,-25.4%
Bhandara APMC,2053.33,1393.12,1860.0,47.4%,10.4%
Bhivandi APMC,1661.8020015761497,1653.0917551697344,2050.0,-,-
Bhokar APMC,1452.73,1412.0,1890.25,2.9%,-23.1%
Bhokardan APMC,1600.0,1610.76,1871.43,-0.7%,-14.5%
Bhokardan(Pimpalgaon Renu) APMC,1623.48,1679.73,1840.0,-3.4%,-11.8%
Bori APMC,1613.12,1638.52,2045.1613829014657,-1.6%,-
Buldhana(Dhad) APMC,1545.9540963582806,1560.0,1907.14,-,-
Chakur APMC,1500.0,1536.1924680169916,1974.0046369767733,-,-
Chalisgaon APMC,1560.24,1508.38,2031.86,3.4%,-23.2%
Chandur Bazar APMC,1533.38,1566.72,2051.2,-2.1%,-25.2%
Chattrapati Sambhajinagar APMC,1663.6,1725.23,2177.71,-3.6%,-23.6%
Chikali APMC,1553.27,1500.64,1832.31,3.5%,-15.2%
Chopada APMC,1724.25,1657.47,2066.53,4.0%,-16.6%
Daryapur APMC,2665.740111584933,2598.4661892075965,3000.0,-,-
Deoulgaon Raja APMC,1502.68,1514.49,1794.44,-0.8%,-16.3%
Devala APMC,1626.59,1655.8,1825.0,-1.8%,-10.9%
Dhamngaon-Railway APMC,1457.3156602217293,1460.5339099209698,1856.5,-,-
Dharangaon APMC,1645.82,1640.57,2053.691025948489,0.3%,-
Dhule APMC,1671.34,1654.74,2254.85,1.0%,-25.9%
Digras APMC,1650.0,1627.5,1880.0,1.4%,-12.2%
Dindori APMC,1572.8108139510553,1569.2917750746517,1965.79,-,-
Dondaicha APMC,1708.81,1769.94,2019.86,-3.5%,-15.4%
Dondaicha(Sindhkheda) APMC,1569.05,1461.11,2126.0,7.4%,-26.2%
Dound APMC,1700.35,1765.25,2111.76,-3.7%,-19.5%
Dudhani APMC,1428.7826823583218,1433.6653733746307,1829.5,-,-
Gangakhed APMC,1914.53,1900.0,1898.51,0.8%,0.8%
Gangapur APMC,1671.53,1795.81,2083.91,-6.9%,-19.8%
Gevrai APMC,1542.0,1595.69,2225.38,-3.4%,-30.7%
Ghansawangi APMC,2050.0,1600.0,2183.33,28.1%,-6.1%
Hadgaon APMC,1450.4466099953534,1454.0655585301845,1850.0,-,-
Hadgaon(Tamsa) APMC,1450.4466099953534,1454.0655585301845,1850.0,-,-
Hinganghat APMC,1597.24,1599.65,2024.23,-0.1%,-21.1%
Hingoli APMC,1849.23,1743.56,2133.29,6.1%,-13.3%
Hingoli(Kanegoan Naka) APMC,1500.79,1536.799483607115,1974.4545152224277,-,-
Indapur APMC,1805.2351882989096,1800.0,2160.6273748429935,-,-
Indapur(Bhigwan) APMC,1640.7135482463855,1600.0,2100.0,-,-
Indapur(Nimgaon Ketki) APMC,1705.1298568502132,1693.8921254808422,2091.0,-,-
Jafrabad APMC,1500.0,1598.04,2001.0526194984393,-6.1%,-
Jalana APMC,1649.02,1677.61,2029.69,-1.7%,-18.8%
Jalgaon APMC,1562.5,1616.67,2058.0,-3.4%,-24.1%
Jalgaon Jamod(Aasalgaon) APMC,1600.0,1600.0,1900.0,-,-15.8%
Jalgaon(Masawat) APMC,1621.39,1771.05236235517,2351.0,-,-31.0%
Jamkhed APMC,2060.29,1571.74,1905.56,31.1%,8.1%
Jamner APMC,1930.0,1866.5933588438304,2218.8750744848885,-,-
Jawala-Bajar APMC,1750.0,1750.0,2125.867251309855,-,-
Jintur APMC,1800.0,2000.0,1922.14,-10.0%,-6.3%
Kada APMC,1820.3185452617472,1802.361402649397,2200.0,-,-
Kaij APMC,1485.263062683768,1399.18,2067.6,-,-
Kalamb (Dharashiv) APMC,1565.69,1683.7,2159.13,-7.0%,-27.5%
Kalamnuri APMC,1608.9631536809507,1603.3352060098468,2000.0,-,-
Kalvan APMC,1595.38,1681.5,1803.0,-5.1%,-11.5%
Kandhar APMC,1390.0,1366.67,1874.1891012674516,1.7%,-
Kannad APMC,1566.14,1772.6,2600.0,-11.7%,-39.8%
Karanja APMC,1630.64,1983.86,1995.23,-17.8%,-18.3%
Karjat(Raigad) APMC,1625.0,1633.75,2347.89,-0.5%,-30.8%
Karmala APMC,1611.11,1600.0,2375.0,0.7%,-32.2%
Katol APMC,1664.05,1649.76,1950.16,0.9%,-14.7%
Khamgaon APMC,1610.07,1644.26,1978.55,-2.1%,-18.6%
Kille Dharur APMC,2202.62,1378.67,1771.67,59.8%,24.3%
Kopargaon APMC,1692.37,1724.03,2066.78,-1.8%,-18.1%
Kurdwadi(Modnimb) APMC,1518.18,1575.0,1964.29,-3.6%,-22.7%
Lakhandur APMC,1635.3825776285503,1628.2134805897906,2025.0,-,-
Lasalgaon APMC,1676.44,1704.94,2241.75,-1.7%,-25.2%
Lasalgaon(Niphad) APMC,1695.84,1760.58,2159.71,-3.7%,-21.5%
Lasalgaon(Vinchur) APMC,1692.51,1756.34,2115.2201696893617,-3.6%,-
Lasur Station APMC,1628.52,1705.85,2128.87,-4.5%,-23.5%
Latur APMC,1853.54,1894.91,2509.5,-2.2%,-26.1%
Latur(Murud) APMC,1700.0,1246.3,1893.9097421114138,36.4%,-
Loha APMC,1687.56,1597.75,2041.4,5.6%,-17.3%
Lonand APMC,1715.6976264292525,1703.8434353128193,2101.0,-,-
Lonar APMC,1619.97,1737.18,2237.86,-6.8%,-27.6%
Majalgaon APMC,1656.5,1528.85,2314.82,8.3%,-28.4%
Malegaon APMC,1697.64,1750.78,2018.0,-3.0%,-15.9%
Malegaon(Vashim) APMC,1675.11,1670.742467999986,2073.72385165595,-,-
Malkapur APMC,1616.88,1708.1,2000.82,-5.3%,-19.2%
Mandhal APMC,1500.0,1536.1924680169916,1974.0046369767733,-,-
Mangal Wedha APMC,1678.0,1733.33,2525.0,-3.2%,-33.5%
Mangrulpeer APMC,1680.96,1647.92,2030.24,2.0%,-17.2%
Manmad APMC,1656.64,1708.62,1977.14,-3.0%,-16.2%
Manora APMC,1581.25,1534.061051691287,1879.89,-,-15.9%
Mantha APMC,1534.78,1561.76,2026.0,-1.7%,-24.2%
Manwat APMC,1681.0881810578976,1671.2528956130934,2068.25,-,-
Mehekar APMC,1507.0,1451.55,2009.33,3.8%,-25.0%
Morshi APMC,1620.72,1629.76,1980.0,-0.6%,-18.1%
Mudkhed APMC,1500.0,1536.1924680169916,1974.0046369767733,-,-
Mumbai APMC,3325.81,3271.53,2850.24,1.7%,16.7%
Murtizapur APMC,1633.79,1721.74,2051.11,-5.1%,-20.4%
Murum APMC,1978.0,1650.0,2200.0,19.9%,-10.1%
Nagpur APMC,2211.87,2265.78,2316.28,-2.4%,-4.5%
Nampur APMC,1577.59,1461.62,1959.50295474469,7.9%,-
Nanded APMC,1580.2,1545.24,1909.38,2.3%,-17.2%
Nandgaon APMC,1707.96,1751.08,2024.75,-2.5%,-15.7%
Nandgaon Khandeshwar APMC,1400.0,1327.4,1778.14,5.5%,-21.3%
Nandura APMC,1608.74,1657.74,2025.17,-3.0%,-20.6%
Nandurbar APMC,1595.55,1728.8,2127.12,-7.7%,-25.0%
Navapur APMC,1642.6320485621002,1658.0,1983.78,-,-
Newasa APMC,2016.67,2000.0,2144.44,0.8%,-6.0%
Nilanga APMC,2180.0,2058.686900022225,2361.241607919839,-,-
Pachora APMC,1646.14,1721.55,2057.88,-4.4%,-20.0%
Paithan APMC,1652.06,1676.32,2175.99,-1.4%,-24.1%
Palghar APMC,2542.32,2615.05,2533.49,-2.8%,0.3%
Pandharpur APMC,1484.3524131119375,1325.0,2220.75,-,-
Parali Vaijyanath APMC,1398.281215977417,1287.75,2047.5,-,-
Paranda APMC,1675.0,1728.7605494633947,2200.0,-,-23.9%
Parbhani APMC,1760.04,1743.65,2125.43378814322,0.9%,-
Partur APMC,1604.4,1498.5,2073.67,7.1%,-22.6%
Pathardi APMC,2025.0,1943.33,2308.33,4.2%,-12.3%
Pathari APMC,1392.4,1301.0,2021.77,7.0%,-31.1%
Patur APMC,1477.5,1482.5,1971.27,-0.3%,-25.1%
Phaltan APMC,1800.0,1801.65,2160.12706435466,-0.1%,-
Pulgaon APMC,1650.0,1651.4485927240282,2059.4245570377434,-,-
Pune APMC,4197.2,4054.78,4012.0,3.5%,4.6%
Rahata APMC,1635.0,1640.56,2076.75,-0.3%,-21.3%
Rahuri APMC,1641.67,1629.67,1997.98,0.7%,-17.8%
Rahuri(Vambori) APMC,1536.86,1555.57,2034.5,-1.2%,-24.5%
Ramtek APMC,1547.41,1559.17,1995.12020714269,-0.8%,-
Raver APMC,1672.09,1717.39,2070.32,-2.6%,-19.2%
Sakri APMC,1472.1628731596704,1461.43,1898.57,-,-
Sangamner APMC,1724.16,1693.58,1972.21,1.8%,-12.6%
Sangli APMC,2496.51,2483.12,2801.53,0.5%,-10.9%
Sangrampur(Varvatbakal) APMC,1512.5,1603.57,1895.45,-5.7%,-20.2%
Satana APMC,1672.25,1756.3,2127.14,-4.8%,-21.4%
Savner APMC,1432.8301381070937,1437.4767250402779,1833.33,-,-
Selu APMC,1810.0,1500.0,2030.5389711157914,20.7%,-
Sengoan APMC,1400.0,1387.5,1827.0,0.9%,-23.4%
Shahada APMC,1720.85,1733.73,1970.33,-0.7%,-12.7%
Shegaon APMC,1491.0,1510.45,1785.0,-1.3%,-16.5%
Shevgaon APMC,1512.12,1511.56,2036.69,-,-25.8%
Shevgaon(Bodhegaon) APMC,1505.56,1507.14,2229.03,-0.1%,-32.5%
Shirpur APMC,1650.6,1694.19,2075.77,-2.6%,-20.5%
