Market,"Arrivals May, 2021 (Metric Tonnes)","Arrivals April, 2021 (Metric Tonnes)","Arrivals May, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Rahuri APMC,2.0,152.0,128.0,-98.7%,-98.4%
Rahuri(Vambori) APMC,3.0,48.0,38.0,-93.8%,-92.1%
Ramtek APMC,178.0,441.0,187.0,-59.6%,-4.8%
Raver APMC,101.0,158.0,185.0,-36.1%,-45.4%
Risod APMC,277.51884612616936,536.3109588828338,30.0,-,-
Sakri APMC,324.4667750942816,610.0679249160579,106.0,-,-
Sangamner APMC,1.0,22.0,12.0,-95.5%,-91.7%
Sangli APMC,16.0,308.0,4520.0,-94.8%,-99.7%
Sangrampur(Varvatbakal) APMC,4.0,22.0,16.0,-81.8%,-75.0%
Satana APMC,116.0,250.0,133.0,-53.6%,-12.8%
Savner APMC,169.0,79.0,126.0,113.9%,34.1%
Selu APMC,13.676703909573598,24.0,4.0,-,-
Shahada APMC,509.0,607.0,660.0,-16.1%,-22.9%
Shegaon APMC,8.0,154.0,112.0,-94.8%,-92.9%
Shevgaon APMC,11.0,100.0,91.0,-89.0%,-87.9%
Shevgaon(Bodhegaon) APMC,4.0,67.0,43.0,-94.0%,-90.7%
Shirpur APMC,491.0,468.0,506.0,4.9%,-3.0%
Shirur APMC,4.0,13.0,5.0,-69.2%,-20.0%
Shrigonda APMC,7.0,95.0,122.0,-92.6%,-94.3%
Shrigonda(Gogargaon) APMC,10.391632763492378,19.0,-0.26437768880664336,-,-
Shrirampur APMC,97.62830985416295,137.0,142.0,-,-
Shrirampur(Belapur) APMC,18.957270410527865,34.0,7.0,-,-
Sillod APMC,387.0,860.0,293.0,-55.0%,32.1%
Sillod(Bharadi) APMC,39.0,49.0,30.0,-20.4%,30.0%
Sindi APMC,49.0,30.0,21.0,63.3%,133.3%
Sindi(Selu) APMC,648.0,781.0,211.0,-17.0%,207.1%
Sinner APMC,265.7818638841414,517.8717173745281,11.0,-,-
Solapur APMC,2065.0,2076.0,1199.0,-0.5%,72.2%
Sonpeth APMC,2.44107144236288,1.0,1.0,-,-
Tadkalas APMC,5.0,3.8551953507565457,9.0,-,-44.4%
Taloda APMC,16.0,392.0,135.0,-95.9%,-88.2%
Tasgaon APMC,8.0,48.0,49.0,-83.3%,-83.7%
Telhara APMC,18.0,9.392717881284312,90.0,-,-80.0%
Tuljapur APMC,13.0,42.0,-5.666857743931994,-69.0%,-
Tumsar APMC,242.0,330.0,499.0,-26.7%,-51.5%
Ulhasnagar APMC,439.0,741.0,494.0,-40.8%,-11.1%
Umared APMC,191.0,101.0,719.0,89.1%,-73.4%
Umarga APMC,259.6045048093898,508.1668534227881,1.0,-,-
Umari APMC,1.0,0.26625656518934804,-8.330618941421468,-,-
Umarked(Danki) APMC,74.0,48.0,12.0,54.2%,516.7%
Umarkhed APMC,5.0,7.382827135104153,-5.208052242958414,-,-
Vaduj APMC,8.671464686937368,9.0,12.0,-,-
Vadvani APMC,259.6045048093898,508.1668534227881,1.0,-,-
Vaijpur APMC,268.0,178.0,45.0,50.6%,495.6%
Vani APMC,3.0,3.8245418501467503,-6.769335592189941,-,-
Varora APMC,260.2222407168649,509.137339817962,2.0,-,-
Vasai APMC,715.0,553.0,573.0,29.3%,24.8%
Wardha APMC,953.0,1010.0,418.0,-5.6%,128.0%
Washi (Dharashiv) APMC,259.6045048093898,508.1668534227881,1.0,-,-
Washim APMC,807.0,635.0,718.0,27.1%,12.4%
Washim(Ansing) APMC,41.0,19.0,91.0,115.8%,-55.0%
Yawal APMC,15.0,-2.733272060848428,115.0,-,-87.0%
Yeola APMC,56.0,212.0,11.0,-73.6%,409.1%
Yeotmal APMC,325.0,545.0,97.0,-40.4%,235.1%
Total,47364.0,83378.0,38134.0,-,-
Note:,496.21088741571407,880.7665736126329,380.4688154640925,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,496.21088741571407,880.7665736126329,380.4688154640925,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,496.21088741571407,880.7665736126329,380.4688154640925,,
