Market,"Prices May, 2021 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Jalgaon Jamod(Aasalgaon) APMC,1600.0,1600.0,1700.0,-,-5.9%
Jalgaon(Masawat) APMC,1673.6759259972598,1658.62,1747.437227531619,-,-
Jamkhed APMC,1833.33,1861.31,1950.0,-1.5%,-6.0%
Jawala-Bajar APMC,1750.0,1765.432662482289,1800.0,-,-2.8%
Jintur APMC,1783.3817885559006,1672.5,2113.33,-,-
Kada APMC,1900.0,1908.6126481606632,1958.3096692948845,-,-
Kaij APMC,1809.4726327619517,1823.68,1881.478077612282,-,-
Kalamb (Dharashiv) APMC,1841.0,2337.35,2400.0,-21.2%,-23.3%
Kalmeshwar APMC,1349.0176415947233,1264.0,1426.976787335137,-,-
Kalvan APMC,1600.0,1716.5,1977.04,-6.8%,-19.1%
Kandhar APMC,1400.0,1473.960700793806,1551.1169744754934,-,-
Kannad APMC,1777.93,1793.12,2355.56,-0.8%,-24.5%
Karanja APMC,1723.85,1709.88,1774.16,0.8%,-2.8%
Karjat(Raigad) APMC,1738.24,1753.85,1819.524067818144,-0.9%,-
Karmala APMC,1628.57,1744.0,1772.8613530779448,-6.6%,-
Katol APMC,1681.42,1674.91,1736.63,0.4%,-3.2%
Khamgaon APMC,1663.95,1635.66,1664.44,1.7%,-0.0%
Kille Dharur APMC,2300.0,2244.83,1546.4,2.5%,48.7%
Kopargaon APMC,1753.97,1703.01,1860.4,3.0%,-5.7%
Kurdwadi APMC,2026.5202953007922,2087.5,2095.7193054584022,-,-
Kurdwadi(Modnimb) APMC,1870.059569684394,1933.33,1863.64,-,-
Lakhandur APMC,1654.2434880123935,1635.0,1728.256051723396,-,-
Lasalgaon APMC,1773.86,1765.04,1851.08,0.5%,-4.2%
Lasalgaon(Niphad) APMC,1754.69,1769.64,1803.09,-0.8%,-2.7%
Lasalgaon(Vinchur) APMC,1917.05,1791.81,1811.58,7.0%,5.8%
Lasur Station APMC,1683.35,1676.36,1710.66,0.4%,-1.6%
Latur APMC,2085.8,2165.55,2157.222557393134,-3.7%,-
Latur(Murud) APMC,2007.48,2072.64,1830.0,-3.1%,9.7%
Loha APMC,1869.9727413210624,1890.3760249464501,1956.1,-,-
Lonar APMC,1569.43,1711.002427122933,1942.91,-,-19.2%
Mahagaon APMC,1902.8135505440794,1924.9911733381152,2000.0,-,-
Majalgaon APMC,2092.4014531268294,2185.78,2121.5,-,-
Malegaon APMC,1711.04,1760.97,1812.7217493221362,-2.8%,-
Malegaon(Vashim) APMC,2000.0,1640.91,1718.97,21.9%,16.4%
Malkapur APMC,1906.97,1720.62,1826.16,10.8%,4.4%
Mandhal APMC,1727.7,1928.4,1561.05,-10.4%,10.7%
Mangal Wedha APMC,2000.0,2126.47,2380.0,-6.0%,-16.0%
Mangrulpeer APMC,1785.05,1896.92,1904.08,-5.9%,-6.2%
Manmad APMC,1660.83,1687.54,1802.61,-1.6%,-7.9%
Manora APMC,1776.55,1798.04,1864.09,-1.2%,-4.7%
Mantha APMC,1851.42,1724.39,2308.41,7.4%,-19.8%
Manwat APMC,1817.6497420870699,1718.63,2137.5,-,-
Mehekar APMC,1586.84,1579.83,1670.82,0.4%,-5.0%
Mohol APMC,1781.7637203432264,1790.0,1854.1274425055528,-,-
Morshi APMC,1751.38,1727.15,1922.08,1.4%,-8.9%
Motala APMC,1484.7702473548693,1484.3616238112274,1441.18,-,-
Mumbai APMC,3413.94,3322.79,3275.32,2.7%,4.2%
Murtizapur APMC,1783.92,1824.24,1895.52,-2.2%,-5.9%
Murum APMC,1926.62,1969.32,2145.33,-2.2%,-10.2%
Nagbhid APMC,1902.8135505440794,1924.9911733381152,2000.0,-,-
Nagpur APMC,2282.72,2274.26,2345.13,0.4%,-2.7%
Nampur APMC,1729.17,1553.0,1715.8703351023328,11.3%,-
Nanded APMC,1600.0,3782.43,2778.9271149775955,-57.7%,-
Nandgaon APMC,1755.0,2107.14,1650.0,-16.7%,6.4%
Nandgaon Khandeshwar APMC,1649.84,1637.93,1679.45,0.7%,-1.8%
Nandura APMC,2062.66,2003.21,2064.26,3.0%,-0.1%
Nandurbar APMC,1765.76,1727.86,1684.8,2.2%,4.8%
Navapur APMC,1699.5521320022588,1710.7478482925717,1728.29,-,-
Ner Parasopant APMC,1706.038004803251,1717.5841429749346,1736.96,-,-
Newasa APMC,1988.8960511050907,2084.62,1966.18,-,-
Nilanga APMC,2303.5686737527894,2347.3984887116685,2535.71,-,-
Nira(Saswad) APMC,2244.33,2213.57,2241.527516339165,1.4%,-
Pachora APMC,1650.16,1579.84,1733.05,4.5%,-4.8%
Paithan APMC,1747.95,1748.57,1945.97,-0.0%,-10.2%
Palam APMC,2311.0,2249.7384402414473,2247.33,-,2.8%
Palghar APMC,2618.88,2484.14,2472.03,5.4%,5.9%
Pandhakawada APMC,1685.0,1721.7123107929146,1783.2168105225464,-,-
Pandharpur APMC,1759.5740528535073,1880.0,1580.0,-,-
Parali Vaijyanath APMC,1632.6735820127892,1640.2559515678593,1638.89,-,-
Paranda APMC,1950.0,1838.57,1942.4014630119862,6.1%,-
Parbhani APMC,1785.83,1828.57,2158.33,-2.3%,-17.3%
Parola APMC,1641.21,1683.6454932425252,1747.554874310264,-,-
Partur APMC,1661.59,1707.81,1708.33,-2.7%,-2.7%
Pathardi APMC,1960.0,2017.65,2389.13,-2.9%,-18.0%
Pathari APMC,1719.5,1586.72,1848.29,8.4%,-7.0%
Patur APMC,1415.11,1548.9,1577.0,-8.6%,-10.3%
Pavani APMC,1603.580664685155,1609.591187992646,1600.0,-,-
Pulgaon APMC,1563.33,1580.38,36.18,-1.1%,-
Pune APMC,4519.54,4396.61,4050.0,2.8%,11.6%
Purna APMC,1746.3654648863542,1663.12,2000.0,-,-
Pusad APMC,1918.6953359610418,1941.731027560326,2021.23,-,-
Rahata APMC,1706.25,1716.22,1731.85,-0.6%,-1.5%
Rahuri APMC,1775.0,1660.86,1742.01,6.9%,1.9%
Rahuri(Vambori) APMC,1650.0,1602.5,1960.03,3.0%,-15.8%
Ramtek APMC,1621.24,1629.4,1637.27,-0.5%,-1.0%
Raver APMC,1774.77,1764.19,1760.57,0.6%,0.8%
Risod APMC,1797.4611322552987,1813.9467234976094,1859.17,-,-
Sakri APMC,1697.3901744019279,1708.4690833984507,1725.4,-,-
Sangamner APMC,1650.0,1749.73,1656.08,-5.7%,-0.4%
Sangli APMC,3175.0,2532.79,2700.0,25.4%,17.6%
Sangrampur(Varvatbakal) APMC,1662.5,1845.45,1850.0,-9.9%,-10.1%
Satana APMC,1974.47,1928.47,2074.4,2.4%,-4.8%
Savner APMC,1870.41,1697.41,1910.56,10.2%,-2.1%
Selu APMC,1740.566927069666,1683.33,1935.5,-,-
Shahada APMC,1767.09,1768.95,1802.01,-0.1%,-1.9%
Shegaon APMC,1700.0,2043.83,1553.66,-16.8%,9.4%
Shevgaon APMC,1890.91,1827.5,1770.91,3.5%,6.8%
Shevgaon(Bodhegaon) APMC,1762.5,1877.61,1704.65,-6.1%,3.4%
Shirpur APMC,1739.5,1677.88,1743.98,3.7%,-0.3%
Shirur APMC,1643.75,1696.15,1975.0,-3.1%,-16.8%
Shrigonda APMC,2000.0,2000.0,1930.33,-,3.6%
Shrigonda(Gogargaon) APMC,1953.669220636952,1998.95,2023.8101980147894,-,-
Shrirampur APMC,1693.2208512293157,1658.21,1818.84,-,-
Shrirampur(Belapur) APMC,1686.1703961732023,1655.15,1800.0,-,-
Sillod APMC,1702.58,1664.48,1736.86,2.3%,-2.0%
Sillod(Bharadi) APMC,1711.54,1668.37,1750.0,2.6%,-2.2%
Sindi APMC,1582.96,1673.5,1712.76,-5.4%,-7.6%
Sindi(Selu) APMC,1622.82,1675.28,1688.53,-3.1%,-3.9%
Sinner APMC,1868.13245907303,1888.4363150365755,1953.64,-,-
Solapur APMC,2703.83,2640.97,2705.61,2.4%,-0.1%
Sonpeth APMC,1765.7148800959844,1881.0,1600.0,-,-
Tadkalas APMC,1820.2,1814.0984606105528,1822.22,-,-0.1%
Taloda APMC,1697.25,1754.09,1817.52,-3.2%,-6.6%
Tasgaon APMC,2137.5,2118.96,2303.06,0.9%,-7.2%
Telhara APMC,1666.67,1687.0500068476324,1715.33,-,-2.8%
Tuljapur APMC,1838.46,1938.1,1949.5949000600112,-5.1%,-
Tumsar APMC,1657.6,1623.44,1618.35,2.1%,2.4%
Ulhasnagar APMC,2742.82,2555.6,3140.59,7.3%,-12.7%
Umared APMC,2100.0,2100.0,2195.13,-,-4.3%
Umarga APMC,2501.2793222619275,2555.7911440290536,2800.0,-,-
Umari APMC,1550.0,1604.3562850038631,1673.2747829213108,-,-
Umarked(Danki) APMC,1950.68,1912.5,2050.0,2.0%,-4.8%
Umarkhed APMC,2000.0,1995.5430376340346,2039.7482082587626,-,-
Vaduj APMC,1952.5342056157897,2013.89,1987.5,-,-
Vadvani APMC,1379.156000290962,1373.041198983544,1300.0,-,-
Vaijpur APMC,1826.74,1794.49,2001.22,1.8%,-8.7%
Vani APMC,1670.0,1708.672752371909,1771.0010296779647,-,-
Varora APMC,1477.5288115170836,1476.728944165867,1431.5,-,-
Vasai APMC,2917.19,2830.26,2294.81,3.1%,27.1%
Wardha APMC,1682.29,1700.47,1955.19,-1.1%,-14.0%
Washi (Dharashiv) APMC,2089.8341042059074,2122.116164179034,2250.0,-,-
Washim APMC,1667.53,1645.75,1946.94,1.3%,-14.3%
Washim(Ansing) APMC,1674.39,1569.74,1579.4,6.7%,6.0%
Yawal APMC,1866.33,1840.7305120562535,1821.7,-,2.5%
Yeola APMC,1663.07,1637.61,1859.82,1.6%,-10.6%
Yeotmal APMC,1693.02,1663.51,1671.96,1.8%,1.3%
Average,1830.83,1860.57,1900.39,-,-
Note:,1827.4794320325318,1845.570728162678,1899.2513700980394,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,1827.4794320325318,1845.570728162678,1899.2513700980394,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,1827.4794320325318,1845.570728162678,1899.2513700980394,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,1827.4794320325318,1845.570728162678,1899.2513700980394,,
