Market,"Prices May, 2021 (Rs./Quintal)","Prices April, 2021 (Rs./Quintal)","Prices May, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Aarni APMC,1750.0,1811.0333184546637,1928.95,-,-9.3%
Achalpur APMC,1773.06,1798.2632117631654,1854.9315879341375,-,-
Ahmednagar APMC,1787.3641161030796,1735.0,1992.93,-,-
Ahmedpur APMC,1702.559422505141,1713.9176181452935,1732.31,-,-
Akhadabalapur APMC,1804.55,1742.86,1921.97,3.5%,-6.1%
Akkalkot APMC,2201.3464202704827,2300.0,2268.2849218532942,-,-
Akkalkuwa APMC,1926.55,1859.87,1835.2,3.6%,5.0%
Akluj APMC,1700.0,1875.0,1907.14,-9.3%,-10.9%
Akola APMC,1801.28,1937.19,2139.78,-7.0%,-15.8%
Akot APMC,1706.25,1730.9084058364756,1774.29,-,-3.8%
Amalner APMC,1775.41,1838.19,1860.75,-3.4%,-4.6%
Amarawati APMC,1804.6,1791.85,1908.07,0.7%,-5.4%
Ambad (Vadigodri) APMC,1700.35,1740.9,2410.0,-2.3%,-29.4%
Anajngaon APMC,1638.99,1751.23,1909.31,-6.4%,-14.2%
Ashti APMC,1500.0,1560.8910902671776,1632.5555134393717,-,-
Ashti(Karanja) APMC,1644.07,1657.75,1802.36,-0.8%,-8.8%
Aurad Shahajani APMC,1767.0,1792.9952301610795,1849.9964124729267,-,-
Ausa APMC,1638.0,1953.05,2407.89,-16.1%,-32.0%
Babhulgaon APMC,1646.6,1658.2,1736.9206226747692,-0.7%,-
Balapur APMC,1945.16,2073.68,1937.5,-6.2%,0.4%
Baramati APMC,1859.49,1798.47,1933.28,3.4%,-3.8%
Barshi APMC,2329.1242078729665,2389.71,2535.87,-,-
Barshi Takli APMC,1705.4470198536794,1716.9612280038775,1736.17,-,-
Barshi(Vairag) APMC,2500.0,2430.1949850008923,2446.940903078154,-,-
Beed APMC,1840.0,1892.74,1999.27,-2.8%,-8.0%
Bhandara APMC,1593.75,1618.44,1453.82,-1.5%,9.6%
Bhiwapur APMC,1625.0,1555.0,1552.33,4.5%,4.7%
Bhokar APMC,1606.01,1529.4,1725.4,5.0%,-6.9%
Bhokardan APMC,1650.0,1653.6,1783.51,-0.2%,-7.5%
Bhokardan(Pimpalgaon Renu) APMC,1650.0,1675.0,1746.5961839278925,-1.5%,-
Bhusaval APMC,1835.6101668338908,1855.45,1907.2776523551797,-,-
Bodwad APMC,1745.2674361393558,1758.9330810537258,1789.4,-,-
Bori APMC,1790.3692792476165,1800.46,1862.621731199626,-,-
Buldhana(Dhad) APMC,1700.0,1900.0,1947.06,-10.5%,-12.7%
Chakur APMC,1501.0,1561.760394161911,1633.3698988290105,-,-
Chalisgaon APMC,1646.25,1645.17,1815.16,0.1%,-9.3%
Chandur Bazar APMC,1750.92,1733.6,1754.28,1.0%,-0.2%
Chandur Railway APMC,1616.88,1622.626713883147,1615.0,-,0.1%
Chattrapati Sambhajinagar APMC,1845.28,1757.26,1792.61,5.0%,2.9%
Chikali APMC,1715.57,1780.76,1698.45,-3.7%,1.0%
Chopada APMC,1779.19,1798.47,1779.91,-1.1%,-0.0%
Daryapur APMC,1637.5,1620.08,1936.11,1.1%,-15.4%
Deoulgaon Raja APMC,1715.31,1698.79,1671.09,1.0%,2.6%
Devala APMC,1704.44,1727.5,1854.17,-1.3%,-8.1%
Dhadgaon APMC,1695.0786003586677,1706.032618511657,1722.31,-,-
Dhamngaon-Railway APMC,1641.05,1614.68,1700.0,1.6%,-3.5%
Dharangaon APMC,1681.68,1664.42,1753.3777881121514,1.0%,-
Dharmabad APMC,1666.584155657313,1650.0,1740.4371540571533,-,-
Dharni APMC,1718.029762704047,1730.2237973876543,1752.99,-,-
Dhule APMC,1760.45,1811.53,1921.08,-2.8%,-8.4%
Digras APMC,1935.42,1941.0459352386767,1991.8,-,-2.8%
Dondaicha APMC,1738.43,1746.52,1773.24,-0.5%,-2.0%
Dondaicha(Sindhkheda) APMC,1691.5,1729.45,1755.08,-2.2%,-3.6%
Dound APMC,1776.1,1771.96,1790.09,0.2%,-0.8%
Dudhani APMC,2036.8041850048917,2100.0,2105.8702240698663,-,-
Gangakhed APMC,2091.67,2000.0,1932.5,4.6%,8.2%
Gangapur APMC,1741.65,1738.65,1905.92,0.2%,-8.6%
Gevrai APMC,1666.3,1753.81,1919.51,-5.0%,-13.2%
Ghansawangi APMC,1850.0,1894.2900034584934,2000.0,-,-7.5%
Himalyatnagar APMC,1556.43,1570.3954183348826,1566.67,-,-0.7%
Hinganghat APMC,1726.98,1740.49,1635.11,-0.8%,5.6%
Hingoli APMC,2100.0,1978.48,2069.301779349694,6.1%,-
Hingoli(Kanegoan Naka) APMC,1650.0,1655.56,1708.7,-0.3%,-3.4%
Indapur APMC,1745.83,1833.7346945763345,2000.0,-,-12.7%
Indapur(Bhigwan) APMC,1775.0,1762.6375759251375,1751.0,-,1.4%
Jafrabad APMC,1700.0,1651.47,1800.0,2.9%,-5.6%
Jalana APMC,1746.99,1780.96,1778.62,-1.9%,-1.8%
Jalgaon APMC,1881.15,1703.24,1748.98,10.4%,7.6%
