,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - March, 2021",,
Market,"Prices March, 2021 (Rs./Quintal)","Prices February, 2021 (Rs./Quintal)","Prices March, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Malkapur APMC,1676.82,1616.88,1769.27,3.7%,-5.2%
Mandhal APMC,1500.0,1500.0,-,-,-
Mangal Wedha APMC,2100.64,1678.0,2229.0,25.2%,-5.8%
Mangrulpeer APMC,1718.77,1680.96,1851.93,2.2%,-7.2%
Manmad APMC,1678.08,1656.64,1771.93,1.3%,-5.3%
Manora APMC,1709.44,1581.25,1781.2,8.1%,-4.0%
Mantha APMC,1652.93,1534.78,1916.67,7.7%,-13.8%
Manwat APMC,1690.0,-,1926.0,-,-12.2%
Mehekar APMC,1559.26,1507.0,1770.21,3.5%,-11.9%
Morshi APMC,1682.21,1620.72,1721.15,3.8%,-2.3%
Mudkhed APMC,-,1500.0,-,-,-
Mumbai APMC,3303.76,3325.81,2861.41,-0.7%,15.5%
Murtizapur APMC,1651.56,1633.79,1665.64,1.1%,-0.8%
Murum APMC,1836.38,1978.0,1970.67,-7.2%,-6.8%
Nagpur APMC,2260.1,2211.87,2261.64,2.2%,-0.1%
Nampur APMC,1614.5,1577.59,-,2.3%,-
Nanded APMC,1703.6,1580.2,1761.76,7.8%,-3.3%
Nandgaon APMC,1793.17,1707.96,1829.3,5.0%,-2.0%
Nandgaon Khandeshwar APMC,1560.7,1400.0,1625.58,11.5%,-4.0%
Nandura APMC,1884.88,1608.74,1985.14,17.2%,-5.0%
Nandurbar APMC,1654.76,1595.55,1732.66,3.7%,-4.5%
Navapur APMC,-,-,1766.29,-,-
Newasa APMC,2053.57,2016.67,1975.0,1.8%,4.0%
Nilanga APMC,1900.0,2180.0,2260.0,-12.8%,-15.9%
Pachora APMC,1554.06,1646.14,1724.93,-5.6%,-9.9%
Paithan APMC,1683.06,1652.06,1796.47,1.9%,-6.3%
Palghar APMC,2616.2,2542.32,2511.45,2.9%,4.2%
Pandharpur APMC,1673.0,-,-,-,-
Parali Vaijyanath APMC,-,-,1660.94,-,-
Paranda APMC,1905.0,1675.0,1983.33,13.7%,-4.0%
Parbhani APMC,1783.33,1760.04,-,1.3%,-
Parola APMC,1643.1,-,-,-,-
Partur APMC,1711.71,1604.4,1834.5,6.7%,-6.7%
Pathardi APMC,2033.33,2025.0,2272.73,0.4%,-10.5%
Pathari APMC,1633.15,1392.4,1737.94,17.3%,-6.0%
Patur APMC,1555.17,1477.5,1586.36,5.3%,-2.0%
Phaltan APMC,-,1800.0,-,-,-
Pulgaon APMC,1616.79,1650.0,-,-2.0%,-
Pune APMC,4255.33,4197.2,4013.89,1.4%,6.0%
