Market,"Arrivals May, 2023 (Metric Tonnes)","Arrivals April, 2023 (Metric Tonnes)","Arrivals May, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1625.0,2249.192954550501,1269.890861980586,-,-
Ahmednagar APMC,81.0,262.0,219.0,-69.1%,-63.0%
Ahmedpur APMC,67.0,105.0,66.501192825292,-36.2%,-
Akhadabalapur APMC,12.0,14.0,8.0,-14.3%,50.0%
Akkalkot APMC,2.0,1.0,10.30134714217944,100.0%,-
Akkalkuwa APMC,257.0,595.0,300.1139239719322,-56.8%,-
Akola APMC,842.0,1061.0,638.0,-20.6%,32.0%
Amalner APMC,684.0,2748.0,1735.0,-75.1%,-60.6%
Amarawati APMC,2692.0,3814.0,1612.0,-29.4%,67.0%
Ambad (Vadigodri) APMC,36.0,32.0,30.975240767744573,12.5%,-
Anajngaon APMC,273.0,150.0,142.0,82.0%,92.2%
Ashti APMC,-15.876562649112026,-2.481737588150816,2.0,-,-
Ashti(Jalna) APMC,-14.61398566111454,-0.7225181499750457,3.0,-,-
Ashti(Karanja) APMC,202.0,232.0,318.0,-12.9%,-36.5%
Aurad Shahajani APMC,2.0,10.0,4.0,-80.0%,-50.0%
Ausa APMC,33.0,27.0,23.0,22.2%,43.5%
Babhulgaon APMC,48.0,37.0,35.0,29.7%,37.1%
Balapur APMC,89.0,62.0,62.0,43.5%,43.5%
Baramati APMC,469.0,1058.0,474.0,-55.7%,-1.1%
Barshi APMC,65.0,64.0,20.0,1.6%,225.0%
Barshi(Vairag) APMC,43.0,85.0,26.0,-49.4%,65.4%
Beed APMC,142.0,110.0,94.0,29.1%,51.1%
Bhandara APMC,42.0,34.0,28.0,23.5%,50.0%
Bhiwapur APMC,2.0,28.80476009290152,22.0,-,-90.9%
Bhokar APMC,28.0,21.0,41.0,33.3%,-31.7%
Bhokardan APMC,32.0,60.0,54.0,-46.7%,-40.7%
Bhokardan(Pimpalgaon Renu) APMC,25.0,12.0,52.0,108.3%,-51.9%
Bhusaval APMC,-17.139139637109515,-4.240957026326587,1.0,-,-
Buldhana(Dhad) APMC,-2.973379037153215,18.0,15.304810759065273,-,-
Chakur APMC,24.0,18.0,1.0,33.3%,2300.0%
Chalisgaon APMC,217.0,441.0,35.0,-50.8%,520.0%
Chandur Bazar APMC,286.0,289.0,484.0,-1.0%,-40.9%
Chandur Railway APMC,4.0,6.931696480806986,1.0,-,300.0%
Chattrapati Sambhajinagar APMC,133.0,208.0,223.0,-36.1%,-40.4%
Chikali APMC,239.0,456.0,293.0,-47.6%,-18.4%
Chopada APMC,58.0,242.0,59.0,-76.0%,-1.7%
Deoulgaon Raja APMC,115.0,168.0,82.0,-31.6%,40.2%
Devala APMC,8.0,7.0,20.0,14.3%,-60.0%
Dhamngaon-Railway APMC,520.0,320.0,268.1298924215806,62.5%,-
Dharangaon APMC,19.0,108.0,24.0,-82.4%,-20.8%
Dhule APMC,445.0,765.0,537.0,-41.8%,-17.1%
Digras APMC,25.788477954805046,55.57250387164961,35.0,-,-
Dondaicha APMC,922.0,3505.0,1242.0,-73.7%,-25.8%
Dondaicha(Sindhkheda) APMC,14.0,85.0,44.832561294691764,-83.5%,-
Dound APMC,81.0,293.0,57.0,-72.3%,42.1%
Dudhani APMC,-12.294692144342118,5.0,7.959012284455889,-,-
Gangakhed APMC,27.0,29.0,121.0,-6.9%,-77.7%
Gangapur APMC,1428.0,151.0,71.0,845.7%,1911.3%
Gevrai APMC,315.0,365.0,147.0,-13.7%,114.3%
Ghansawangi APMC,17.0,16.0,19.91556201837646,6.2%,-
Himalyatnagar APMC,29.576208918797505,60.85016218617692,38.0,-,-
Hinganghat APMC,295.0,195.0,895.0,51.3%,-67.0%
Hingoli APMC,155.0,184.0,119.54960648420351,-15.8%,-
Hingoli(Kanegoan Naka) APMC,39.0,195.0,207.0,-80.0%,-81.2%
Indapur(Bhigwan) APMC,18.0,64.5589924156202,47.0,-,-61.7%
Indapur(Nimgaon Ketki) APMC,-17.099493718195372,2.0,1.0,-,-
Jafrabad APMC,7.0,67.48045533346885,55.0,-,-87.3%
Jalana APMC,940.0,1218.0,1105.0,-22.8%,-14.9%
Jalgaon APMC,22.0,30.0,16.0,-26.7%,37.5%
Jalgaon(Masawat) APMC,-5.009246973994749,21.0,9.0,-,-
Jamkhed APMC,76.0,87.0,232.0,-12.6%,-67.2%
Jawala-Bajar APMC,24.525900966807555,53.81328443347384,34.0,-,-
Jintur APMC,1.0,2.0,10.405950657420602,-50.0%,-
Kada APMC,57.35290265474222,99.55298982604387,60.0,-,-
Kaij APMC,48.0,47.0,23.0,2.1%,108.7%
Kalamb (Dharashiv) APMC,157.0,139.0,77.0,12.9%,103.9%
Kalmeshwar APMC,92.70505831867186,148.81113409496544,88.0,-,-
