Market,"Arrivals May, 2023 (Metric Tonnes)","Arrivals April, 2023 (Metric Tonnes)","Arrivals May, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Kalvan APMC,17.0,14.0,6.0,21.4%,183.3%
Kalyan APMC,2.0,39.11959844101361,31.44659624360355,-,-
Kannad APMC,62.0,338.0,60.0,-81.7%,3.3%
Karanja APMC,3953.0,5490.0,2260.0,-28.0%,74.9%
Karjat(Raigad) APMC,188.0,229.0,66.0,-17.9%,184.8%
Karmala APMC,51.0,64.0,13.0,-20.3%,292.3%
Katol APMC,167.0,343.0,523.0,-51.3%,-68.1%
Khamgaon APMC,808.0,1109.0,285.0,-27.1%,183.5%
Kille Dharur APMC,34.0,36.0,21.0,-5.6%,61.9%
Kopargaon APMC,366.0,890.0,233.0,-58.9%,57.1%
Kurdwadi APMC,3.0,2.0,3.0,50.0%,-
Kurdwadi(Modnimb) APMC,10.0,11.0,15.0,-9.1%,-33.3%
Lakhandur APMC,1.0,2.0,38.0,-50.0%,-97.4%
Lasalgaon APMC,519.0,1041.0,406.0,-50.1%,27.8%
Lasalgaon(Niphad) APMC,281.0,730.0,74.0,-61.5%,279.7%
Lasalgaon(Vinchur) APMC,509.0,712.0,183.0,-28.5%,178.1%
Lasur Station APMC,488.0,864.0,480.0,-43.5%,1.7%
Loha APMC,12.0,20.0,10.0,-40.0%,20.0%
Lonar APMC,-3.2507927691371563,15.11045679360689,12.0,-,-
Majalgaon APMC,86.0,87.0,58.0,-1.1%,48.3%
Malegaon APMC,199.0,663.0,187.0,-70.0%,6.4%
Malegaon(Vashim) APMC,3.0,40.481319547673785,32.2096549409153,-,-
Malkapur APMC,917.0,2094.0,667.0,-56.2%,37.5%
Mandhal APMC,-10.856578265138827,12.0,5.0,-,-
Mangal Wedha APMC,16.0,33.0,15.0,-51.5%,6.7%
Mangrulpeer APMC,295.0,299.0,80.0,-1.3%,268.8%
Manmad APMC,48.0,41.0,41.0,17.1%,17.1%
Manora APMC,84.0,84.0,77.0,-,9.1%
Mantha APMC,12.0,28.630499659099804,17.0,-,-29.4%
Manwat APMC,13.0,67.0,19.0,-80.6%,-31.6%
Mauda APMC,7.0,41.0,35.0,-82.9%,-80.0%
Mehekar APMC,206.0,183.0,115.0,12.6%,79.1%
Mohol APMC,-14.445764399847251,2.0,6.263828021084492,-,-
Morshi APMC,284.0,347.0,479.0,-18.2%,-40.7%
Mudkhed APMC,1.0,37.75787733435341,30.683537546291788,-,-
Mumbai APMC,16298.0,20926.0,11679.0,-22.1%,39.5%
Murtizapur APMC,462.0,915.0,508.0,-49.5%,-9.1%
Murum APMC,34.0,24.0,6.0,41.7%,466.7%
Nagpur APMC,2637.0,3166.0,2822.0,-16.7%,-6.6%
Nanded APMC,38.0,138.0,10.0,-72.5%,280.0%
Nandgaon APMC,99.0,152.0,87.0,-34.9%,13.8%
Nandura APMC,69.0,289.0,48.0,-76.1%,43.8%
Nandurbar APMC,650.0,2308.0,756.0,-71.8%,-14.0%
Navapur APMC,4.913885899698933,29.0,21.52048639142706,-,-
Newasa APMC,19.0,38.0,3.0,-50.0%,533.3%
Nira(Saswad) APMC,37.0,9.0,24.0,311.1%,54.2%
Pachora APMC,6.0,134.0,60.95318847653416,-95.5%,-
Paithan APMC,276.0,486.0,117.0,-43.2%,135.9%
Palghar APMC,136.0,102.0,46.0,33.3%,195.7%
Pandharpur APMC,-17.139139637109515,-4.240957026326587,1.0,-,-
Parali Vaijyanath APMC,1.0,2.0,10.405950657420602,-50.0%,-
Paranda APMC,4.0,6.0,4.0,-33.3%,-
Parbhani APMC,108.0,108.0,256.0,-,-57.8%
Parola APMC,52.0,296.0,133.67874883548762,-82.4%,-
Partur APMC,32.0,37.0,49.0,-13.5%,-34.7%
Pathardi APMC,21.0,15.0,22.0,40.0%,-4.5%
Pathari APMC,27.0,55.0,15.0,-50.9%,80.0%
Patur APMC,60.0,115.0,51.0,-47.8%,17.6%
Phaltan APMC,81.0,110.0,49.0,-26.4%,65.3%
Pulgaon APMC,33.0,37.0,88.0,-10.8%,-62.5%
Pune APMC,1476.0,1432.0,1052.0,3.1%,40.3%
Purna APMC,1.0,37.75787733435341,30.683537546291788,-,-
Rahata APMC,158.0,249.0,60.0,-36.5%,163.3%
Rahuri APMC,214.75936275276683,578.0,8.0,-,-
Rahuri(Vambori) APMC,56.0,110.0,14.0,-49.1%,300.0%
Ramtek APMC,224.0,620.0,228.0,-63.9%,-1.8%
Raver APMC,57.0,167.0,69.0,-65.9%,-17.4%
Raver(Sauda) APMC,4.0,41.84304065433398,32.97271363822706,-,-
Sakri APMC,25.0,59.0,38.09028882463174,-57.6%,-
Sangamner APMC,7.0,7.0,5.0,-,40.0%
Sangli APMC,871.0,492.0,664.0,77.0%,31.2%
Satana APMC,129.0,188.0,80.0,-31.4%,61.2%
Savner APMC,136.0,254.0,300.0,-46.5%,-54.7%
Selu APMC,7.0,5.0,4.0,40.0%,75.0%
Shahada APMC,424.0,902.0,518.0,-53.0%,-18.1%
Shegaon APMC,55.0,60.0,32.0,-8.3%,71.9%
Shevgaon APMC,199.0,256.0,118.0,-22.3%,68.6%
Shevgaon(Bodhegaon) APMC,29.0,32.0,20.0,-9.4%,45.0%
Shirpur APMC,538.0,1334.0,475.0,-59.7%,13.3%
Shirur APMC,11.0,5.0,13.0,120.0%,-15.4%
Shrigonda APMC,46.0,171.0,30.0,-73.1%,53.3%
Shrigonda(Gogargaon) APMC,6.0,18.0,7.0,-66.7%,-14.3%
Shrirampur APMC,57.0,120.0,31.0,-52.5%,83.9%
Shrirampur(Belapur) APMC,62.0,170.0,40.0,-63.5%,55.0%
Sillod APMC,292.0,329.0,563.0,-11.2%,-48.1%
Sillod(Bharadi) APMC,3.0,8.0,33.0,-62.5%,-90.9%
Sindi APMC,20.738170002815096,48.535626118946524,31.0,-,-
Sindi(Selu) APMC,228.0,300.0,444.0,-24.0%,-48.6%
Sinner APMC,-2.416342137177974,29.0,8.0,-,-
Solapur APMC,5052.0,4263.0,2795.0,18.5%,80.8%
Sonpeth APMC,6.0,19.0,2.0,-68.4%,200.0%
Tadkalas APMC,3.0,9.678898964853932,4.0,-,-25.0%
Taloda APMC,16.0,135.0,13.0,-88.2%,23.1%
Tasgaon APMC,26.0,21.0,11.0,23.8%,136.4%
Telhara APMC,158.0,180.04568857920083,85.0,-,85.9%
Tuljapur APMC,72.0,78.0,37.0,-7.7%,94.6%
Tumsar APMC,137.0,400.0,352.0,-65.8%,-61.1%
Ulhasnagar APMC,1528.0,1253.0,791.0,21.9%,93.2%
Umared APMC,186.0,966.0,83.0,-80.8%,124.1%
Umarga APMC,4.0,6.0,12.701569219487155,-33.3%,-
Umari APMC,-13.351408673117053,1.0367012882007245,4.0,-,-
Umarked(Danki) APMC,42.0,33.0,46.0,27.3%,-8.7%
Umarkhed APMC,7.0,33.63122746920086,24.0,-,-70.8%
Vaduj APMC,20.0,25.0,15.0,-20.0%,33.3%
Vadvani APMC,-17.139139637109515,-4.240957026326587,1.0,-,-
Vaijpur APMC,147.0,11.0,104.0,1236.4%,41.4%
Varora APMC,2.0,39.11959844101361,31.44659624360355,-,-
Varud(Rajura Bazar) APMC,3.0,9.678898964853932,4.0,-,-25.0%
Vasai APMC,532.0,373.0,503.0,42.6%,5.8%
Vitthal Krushi Utpanna Bazar  APMC,85.13,138.16,83.72439094233417,-38.4%,-
Wardha APMC,277.0,404.0,838.0,-31.4%,-67.0%
Washim APMC,540.0,900.0,1130.0,-40.0%,-52.2%
Washim(Ansing) APMC,17.0,203.0,16.0,-91.6%,6.2%
Yawal APMC,16.0,17.0,2.0,-5.9%,700.0%
Yeola APMC,49.0,97.0,39.0,-49.5%,25.6%
Yeotmal APMC,159.0,278.0,303.0,-42.8%,-47.5%
Total,59430.13,83063.16,47105.0,-,-
Note:,647.6468168593998,921.2412451959747,526.7970709246464,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,647.6468168593998,921.2412451959747,526.7970709246464,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,647.6468168593998,921.2412451959747,526.7970709246464,,
