,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - January, 2021",,
Market,"Prices January, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)","Prices January, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Manmad APMC,1708.62,1508.28,2119.29,13.3%,-19.4%
Manora APMC,-,1591.67,1998.33,-,-
Mantha APMC,1561.76,1652.31,2275.1,-5.5%,-31.4%
Manwat APMC,-,-,2350.75,-,-
Mehekar APMC,1451.55,1450.35,1926.92,0.1%,-24.7%
Morshi APMC,1629.76,1596.25,2028.38,2.1%,-19.6%
Mumbai APMC,3271.53,2961.96,3323.3,10.4%,-1.6%
Murtizapur APMC,1721.74,1477.03,2141.85,16.6%,-19.6%
Murum APMC,1650.0,-,-,-,-
Nagpur APMC,2265.78,2242.75,2548.78,1.0%,-11.1%
Nampur APMC,1461.62,1409.67,-,3.7%,-
Nanded APMC,1545.24,1531.0,1928.84,0.9%,-19.9%
Nandgaon APMC,1751.08,1567.18,2214.2,11.7%,-20.9%
Nandgaon Khandeshwar APMC,1327.4,1266.75,1915.46,4.8%,-30.7%
Nandura APMC,1657.74,1540.51,2401.0,7.6%,-31.0%
Nandurbar APMC,1728.8,1633.08,2206.33,5.9%,-21.6%
Navapur APMC,1658.0,1500.0,2036.01,10.5%,-18.6%
Newasa APMC,2000.0,2000.0,2195.83,-,-8.9%
Nilanga APMC,-,-,2090.0,-,-
Pachora APMC,1721.55,-,2094.77,-,-17.8%
Paithan APMC,1676.32,1579.32,2292.91,6.1%,-26.9%
Palghar APMC,2615.05,2606.12,2542.74,0.3%,2.8%
Palus APMC,-,2000.0,-,-,-
Pandharpur APMC,1325.0,-,2450.0,-,-45.9%
Parali Vaijyanath APMC,1287.75,-,1700.0,-,-24.2%
Paranda APMC,-,-,2020.0,-,-
Parbhani APMC,1743.65,1602.2,-,8.8%,-
Partur APMC,1498.5,1346.52,2283.64,11.3%,-34.4%
Pathardi APMC,1943.33,2005.0,2217.92,-3.1%,-12.4%
Pathari APMC,1301.0,1256.25,2292.18,3.6%,-43.2%
Patur APMC,1482.5,1405.54,1960.0,5.5%,-24.4%
Phaltan APMC,1801.65,-,2400.0,-,-24.9%
Pune APMC,4054.78,4104.21,4130.77,-1.2%,-1.8%
