Market,"Arrivals January, 2021 (Metric Tonnes)","Arrivals December, 2020 (Metric Tonnes)","Arrivals January, 2020 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Mangrulpeer APMC,12.0,52.0,19.0,-76.9%,-36.8%
Manmad APMC,124.0,129.0,14.0,-3.9%,785.7%
Manora APMC,2.3117832430562935,3.0,3.0,-,-
Mantha APMC,34.0,65.0,10.0,-47.7%,240.0%
Manwat APMC,232.83349126027574,305.9274811388625,8.0,-,-
Mehekar APMC,103.0,142.0,91.0,-27.5%,13.2%
Morshi APMC,62.0,80.0,21.0,-22.5%,195.2%
Mumbai APMC,9640.0,8036.0,16504.0,20.0%,-41.6%
Murtizapur APMC,23.0,37.0,27.0,-37.8%,-14.8%
Murum APMC,2.0,27.761072479297113,-84.35845683313991,-,-
Nagpur APMC,878.0,510.0,162.0,72.2%,442.0%
Nampur APMC,13.0,18.0,-8.911254798014447,-27.8%,-
Nanded APMC,21.0,30.0,57.0,-30.0%,-63.2%
Nandgaon APMC,166.0,153.0,10.0,8.5%,1560.0%
Nandgaon Khandeshwar APMC,5.0,4.0,37.0,25.0%,-86.5%
Nandura APMC,35.0,53.0,2.0,-34.0%,1650.0%
Nandurbar APMC,245.0,290.0,58.0,-15.5%,322.4%
Navapur APMC,55.0,22.0,131.0,150.0%,-58.0%
Newasa APMC,11.0,26.0,24.0,-57.7%,-54.2%
Nilanga APMC,230.31662658191817,304.5432170400135,1.0,-,-
Pachora APMC,124.0,149.59304564633345,56.0,-,121.4%
Paithan APMC,28.0,74.0,96.0,-62.2%,-70.8%
Palghar APMC,111.0,197.0,119.0,-43.6%,-6.7%
Palus APMC,29.315341251116777,3.0,123.65871757848939,-,-
Pandharpur APMC,2.0,4.278673282351562,1.0,-,100.0%
Parali Vaijyanath APMC,4.0,6.9089201307993635,1.0,-,300.0%
Paranda APMC,230.31662658191817,304.5432170400135,1.0,-,-
Parbhani APMC,185.0,189.0,186.4155478758874,-2.1%,-
Partur APMC,16.0,21.0,14.0,-23.8%,14.3%
Pathardi APMC,30.0,10.0,24.0,200.0%,25.0%
Pathari APMC,4.0,4.0,11.0,-,-63.6%
Patur APMC,42.0,59.0,5.0,-28.8%,740.0%
Phaltan APMC,121.0,155.2762933499652,21.0,-,476.2%
Pune APMC,115.0,107.0,26.0,7.5%,342.3%
Purna APMC,230.31662658191817,304.5432170400135,1.0,-,-
Rahata APMC,36.0,98.0,23.0,-63.3%,56.5%
Rahuri APMC,30.0,96.0,37.0,-68.8%,-18.9%
Rahuri(Vambori) APMC,56.0,80.0,61.0,-30.0%,-8.2%
Ramtek APMC,52.0,22.0,124.93712897501186,136.4%,-
Raver APMC,71.0,92.0,68.0,-22.8%,4.4%
Sakri APMC,35.0,5.0,38.0,600.0%,-7.9%
Sangamner APMC,121.0,117.0,44.0,3.4%,175.0%
Sangli APMC,285.0,356.0,223.0,-19.9%,27.8%
Sangrampur(Varvatbakal) APMC,14.0,16.0,13.0,-12.5%,7.7%
Satana APMC,77.0,90.0,46.0,-14.4%,67.4%
Savner APMC,2.759385514156092,3.0,5.0,-,-
Selu APMC,3.0,1.0,-2.0890946517825277,200.0%,-
Sengoan APMC,2.0,6.0,-18.66285321019812,-66.7%,-
Shahada APMC,90.0,67.0,22.0,34.3%,309.1%
Shegaon APMC,33.0,18.0,6.0,83.3%,450.0%
Shevgaon APMC,52.0,110.0,117.0,-52.7%,-55.6%
Shevgaon(Bodhegaon) APMC,42.0,70.0,19.0,-40.0%,121.0%
Shirpur APMC,186.0,294.0,92.0,-36.7%,102.2%
Shirur APMC,16.0,15.0,9.0,6.7%,77.8%
Shrigonda APMC,59.0,117.0,20.0,-49.6%,195.0%
Shrigonda(Gogargaon) APMC,9.0,34.76452294304519,-76.35268976528221,-,-
Shrirampur APMC,43.0,61.0,52.0,-29.5%,-17.3%
Shrirampur(Belapur) APMC,47.0,27.0,42.0,74.1%,11.9%
Sillod APMC,662.0,676.0,695.2089811703654,-2.1%,-
Sillod(Bharadi) APMC,38.0,22.0,14.0,72.7%,171.4%
Sindi(Selu) APMC,22.0,35.0,16.0,-37.1%,37.5%
Sinner APMC,184.0,203.0,41.0,-9.4%,348.8%
Solapur APMC,1324.0,1875.0,1649.0,-29.4%,-19.7%
Taloda APMC,1.0,3.0,4.0,-66.7%,-75.0%
Tasgaon APMC,23.0,43.0,35.0,-46.5%,-34.3%
Telhara APMC,63.0,73.0,45.0,-13.7%,40.0%
Tuljapur APMC,269.8673572418236,326.29593859335745,111.0,-,-
Tumsar APMC,55.0,81.0,28.0,-32.1%,96.4%
Ulhasnagar APMC,526.0,422.0,384.0,24.6%,37.0%
Umared APMC,127.0,173.0,106.0,-26.6%,19.8%
Umarked(Danki) APMC,12.0,37.76600171322295,-72.92164673620036,-,-
Vaduj APMC,16.0,11.0,23.0,45.5%,-30.4%
Vadvani APMC,3.0,3.0,-7.240131837764253,-,-
Vaijpur APMC,260.51900272220973,321.1543862262036,85.0,-,-
Varud(Rajura Bazar) APMC,1.0,26.76057955590454,-85.50213784283389,-,-
Vasai APMC,388.15999712463224,391.3563512392689,440.0,-,-
Wardha APMC,14.891019358689581,19.0,6.0,-,-
Washim APMC,285.0,283.0,476.0,0.7%,-40.1%
Washim(Ansing) APMC,7.0,41.0,7.0,-82.9%,-
Yawal APMC,9.0,6.0,30.0,50.0%,-70.0%
Yeola APMC,117.0,109.0,7.0,7.3%,1571.4%
Yeotmal APMC,14.0,24.0,3.0,-41.7%,366.7%
Total,27215.0,28447.0,26728.0,-,-
Note:,340.90457448562273,365.06344114245735,309.6715236916046,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,340.90457448562273,365.06344114245735,309.6715236916046,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,340.90457448562273,365.06344114245735,309.6715236916046,,
