Market,"Prices April, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Pathari APMC,2363.31,2144.33,2231.18,10.2%,5.9%
Patur APMC,1946.09,1943.03,1941.1,0.2%,0.3%
Phaltan APMC,2559.09,2604.41,2400.0,-1.7%,6.6%
Pulgaon APMC,2188.92,201.37,2141.67,987.0%,2.2%
Pune APMC,4095.84,4515.78,4075.22,-9.3%,0.5%
Purna APMC,2427.2369870144294,2201.0,2600.0,-,-
Pusad APMC,2322.86435318283,2210.87,2167.118742009271,-,-
Rahata APMC,2184.75,2184.55,2158.25,-,1.2%
Rahuri APMC,2041.7,2055.88,2282.61,-0.7%,-10.6%
Rahuri(Vambori) APMC,2095.46,2102.28,2278.18,-0.3%,-8.0%
Ramtek APMC,2058.26,2019.85,1999.08,1.9%,3.0%
Raver APMC,2054.43,2034.1,2134.44,1.0%,-3.8%
Sakri APMC,2350.0,2291.51,2197.6454059589623,2.5%,-
Sangamner APMC,2232.86,2308.5,2231.08,-3.3%,0.1%
Sangli APMC,3210.47,3052.82,3059.84,5.2%,4.9%
Satana APMC,2390.76,2296.16,2233.58,4.1%,7.0%
Savner APMC,2323.48,2195.43,2009.62,5.8%,15.6%
Selu APMC,2250.0,2290.81,2196.25,-1.8%,2.5%
Shahada APMC,2205.42,2170.99,2184.64,1.6%,0.9%
Shegaon APMC,2386.67,2000.5,2224.49,19.3%,7.3%
Shevgaon APMC,2258.2,2205.6,2318.73,2.4%,-2.6%
Shevgaon(Bodhegaon) APMC,2256.25,2120.59,2258.06,6.4%,-0.1%
Shirpur APMC,2229.71,2119.72,2210.0,5.2%,0.9%
Shirur APMC,2390.0,2379.42,2170.0,0.4%,10.1%
Shrigonda APMC,2276.61,2215.94,2287.1,2.7%,-0.5%
Shrigonda(Gogargaon) APMC,2294.44,2220.0,2223.08,3.4%,3.2%
Shrirampur APMC,2213.54,2065.21,2125.0,7.2%,4.2%
Shrirampur(Belapur) APMC,2025.29,2001.13,1850.0,1.2%,9.5%
Sillod APMC,2348.78,2163.11,2106.39,8.6%,11.5%
Sillod(Bharadi) APMC,2090.62,2087.72,2103.41,0.1%,-0.6%
Sindi APMC,2147.1024708263194,2009.09,1961.2,-,-
Sindi(Selu) APMC,2390.37,2111.11,2099.09,13.2%,13.9%
Sinner APMC,2216.9,2267.82,2282.22,-2.2%,-2.9%
Solapur APMC,2652.42,2734.86,2756.86,-3.0%,-3.8%
Sonpeth APMC,2581.32,2446.88,2555.5,5.5%,1.0%
Tadkalas APMC,2083.760096656668,1971.4162316207555,1803.06,-,-
Taloda APMC,2234.73,2249.5,2290.37,-0.7%,-2.4%
Tasgaon APMC,2463.81,2510.42,2107.07,-1.9%,16.9%
Telhara APMC,2223.1028439083666,2078.44,2093.1107033581306,-,-
Tuljapur APMC,2786.54,2478.9,2425.0,12.4%,14.9%
Tumsar APMC,2257.28,2158.68,2016.66,4.6%,11.9%
Ulhasnagar APMC,3200.2,2982.13,2666.79,7.3%,20.0%
Umared APMC,2457.97,2662.5,2000.0,-7.7%,22.9%
Umarga APMC,2541.83,2285.0,2200.0,11.2%,15.5%
Umari APMC,2390.007321706828,2300.0,2216.928728303737,-,-
Umarked(Danki) APMC,2300.0,2124.39,1966.67,8.3%,16.9%
Umarkhed APMC,2153.9651331640953,2045.8801448543668,1900.0,-,-
Vaduj APMC,2480.0,2550.0,2070.0,-2.8%,19.8%
Vadvani APMC,2153.9651331640953,2045.8801448543668,1900.0,-,-
Vaijpur APMC,2350.0,2266.417212306245,2244.23,-,4.7%
Varud(Rajura Bazar) APMC,2110.273469738336,1999.537996253338,1839.67,-,-
Vasai APMC,3560.42,3396.7,3471.31,4.8%,2.6%
Vitthal Krushi Utpanna Bazar  APMC,2085.92,2009.3826124899724,2017.6697095268707,-,-
Wardha APMC,2380.94,2212.16,2172.24,7.6%,9.6%
Washim APMC,2055.56,1989.66,1973.58,3.3%,4.2%
Washim(Ansing) APMC,2016.26,2012.81,1950.56,0.2%,3.4%
Yawal APMC,2627.65,2646.17,2221.47,-0.7%,18.3%
Yeola APMC,2120.64,2170.34,2174.83,-2.3%,-2.5%
Yeotmal APMC,2142.0,2045.35,2095.78,4.7%,2.2%
Average,2393.48,2297.27,2211.97,-,-
Note:,2375.9347287579158,2281.308402941579,2206.514629812049,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2375.9347287579158,2281.308402941579,2206.514629812049,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2375.9347287579158,2281.308402941579,2206.514629812049,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2375.9347287579158,2281.308402941579,2206.514629812049,,
