,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2023",,
Market,"Prices April, 2023 (Rs./Quintal)","Prices March, 2023 (Rs./Quintal)","Prices April, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Chikali APMC,2292.57,2120.96,2001.34,8.1%,14.6%
Chopada APMC,2318.3,2279.3,2126.68,1.7%,9.0%
Deoulgaon Raja APMC,2500.0,2440.15,2149.49,2.5%,16.3%
Devala APMC,2157.86,2168.33,2080.34,-0.5%,3.7%
Dhamngaon-Railway APMC,2050.0,2006.0,-,2.2%,-
Dharangaon APMC,2188.91,2191.4,2129.15,-0.1%,2.8%
Dhule APMC,2287.57,2242.5,2087.58,2.0%,9.6%
Digras APMC,-,2411.51,2251.0,-,-
Dondaicha APMC,2362.36,2243.89,2213.87,5.3%,6.7%
Dondaicha(Sindhkheda) APMC,2226.18,2153.01,-,3.4%,-
Dound APMC,2305.46,2254.66,2201.77,2.2%,4.7%
Dudhani APMC,2800.0,-,-,-,-
Gangakhed APMC,2348.28,2314.29,2125.98,1.5%,10.5%
Gangapur APMC,2153.87,2230.14,2221.79,-3.4%,-3.1%
Gevrai APMC,2355.3,2311.82,2277.52,1.9%,3.4%
Ghansawangi APMC,2375.0,2180.0,2322.06,8.9%,2.3%
Hinganghat APMC,2134.51,2024.01,2084.73,5.5%,2.4%
Hingoli APMC,2601.2,2410.68,2308.72,7.9%,12.7%
Hingoli(Kanegoan Naka) APMC,2061.79,1980.07,1889.15,4.1%,9.1%
Indapur APMC,-,2547.72,2256.73,-,-
Indapur(Bhigwan) APMC,-,2248.68,2151.0,-,-
Indapur(Nimgaon Ketki) APMC,2350.5,2331.8,2000.0,0.8%,17.5%
Jafrabad APMC,-,2142.31,2037.5,-,-
Jalana APMC,2404.96,2310.22,2427.13,4.1%,-0.9%
Jalgaon APMC,2294.0,2231.43,2031.25,2.8%,12.9%
Jalgaon(Masawat) APMC,2404.76,2232.17,2175.03,7.7%,10.6%
Jamkhed APMC,2291.95,2217.76,2022.52,3.4%,13.3%
Jawala-Bajar APMC,-,-,1806.1,-,-
Jintur APMC,2500.0,2200.67,1700.0,13.6%,47.1%
Kada APMC,-,2263.74,2034.48,-,-
Kaij APMC,2977.55,2561.09,2119.77,16.3%,40.5%
