Market,"Prices September, 2025 (Rs./Quintal)","Prices August, 2025 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Lasalgaon(Niphad) APMC,2633.88,2623.37,2796.98,0.4%,-5.8%
Lasalgaon(Vinchur) APMC,2447.6603250000007,2629.1546451612903,2726.93,-,-
Lasur Station APMC,2620.0,2629.1546451612903,2767.39,-,-5.3%
Latur(Murud) APMC,2250.0,2121.34,2200.0,6.1%,2.3%
Loha APMC,2459.56,2412.74,2618.67,1.9%,-6.1%
Lonar APMC,2483.05,2523.94,2487.69,-1.6%,-0.2%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2548.62,2589.54,2503.69,-1.6%,1.8%
Majalgaon APMC,2590.08,2613.39,2759.39,-0.9%,-6.1%
Malegaon APMC,2471.27,2480.11,2747.63,-0.4%,-10.1%
Malkapur APMC,2594.1,2612.82,2653.68,-0.7%,-2.2%
Mangal Wedha APMC,2900.08,2845.07,3297.5,1.9%,-12.1%
Mangrulpeer APMC,2586.66,2680.81,2662.53,-3.5%,-2.9%
Manmad APMC,2594.91,2629.84,2669.26,-1.3%,-2.8%
Manora APMC,2659.33,2718.56,2609.27,-2.2%,1.9%
Mantha APMC,2450.83,2723.58,2720.7,-10.0%,-9.9%
Manwat APMC,2554.305024999999,2600.0,2647.0096794871797,-,-
Mehekar APMC,2638.57,2681.08,2456.34,-1.6%,7.4%
Mohol APMC,2482.634625000001,2629.1546451612903,2700.0,-,-
Morshi APMC,2345.21,2368.2,2564.42,-1.0%,-8.6%
Motala APMC,2636.2716000000028,2629.1546451612903,2000.0,-,-
Mudkhed APMC,2350.0,2300.0,2200.0,2.2%,6.8%
Mukhed APMC,2500.0,2629.1546451612903,2647.0096794871797,-,-
Mumbai APMC,4279.5,4275.18,2647.0096794871797,0.1%,-
Murtizapur APMC,2511.19,2556.34,2549.61,-1.8%,-1.5%
Murum APMC,2433.83,2487.63,2647.0096794871797,-2.2%,-
Nagpur APMC,3010.6,3034.52,3075.56,-0.8%,-2.1%
Nanded APMC,2707.01,2674.73,2626.51,1.2%,3.1%
Nandgaon APMC,2599.41,2652.76,2862.1,-2.0%,-9.2%
Nandgaon Khandeshwar APMC,2442.62,2497.88,2369.88,-2.2%,3.1%
Nandura APMC,2565.38,2629.1546451612903,2753.19,-,-6.8%
Nandurbar APMC,2670.25,2711.1,2680.33,-1.5%,-0.4%
Newasa APMC,2700.0,2550.0,2413.04,5.9%,11.9%
Nilanga APMC,2402.6795,2400.0,2647.0096794871797,-,-
