,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - April, 2021",,
Market,"Prices April, 2021 (Rs./Quintal)","Prices March, 2021 (Rs./Quintal)","Prices April, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,-,-,2031.0,-,-
Ahmednagar APMC,1735.0,1743.78,-,-0.5%,-
Akhadabalapur APMC,1742.86,1740.0,-,0.2%,-
Akkalkot APMC,2300.0,-,-,-,-
Akkalkuwa APMC,1859.87,-,1860.0,-,-0.0%
Akluj APMC,1875.0,-,2200.0,-,-14.8%
Akola APMC,1937.19,1912.59,2036.62,1.3%,-4.9%
Akot APMC,-,1807.2,-,-,-
Amalner APMC,1838.19,1755.08,2009.17,4.7%,-8.5%
Amarawati APMC,1791.85,1834.17,1862.5,-2.3%,-3.8%
Ambad (Vadigodri) APMC,1740.9,1709.71,-,1.8%,-
Anajngaon APMC,1751.23,1598.04,1945.28,9.6%,-10.0%
Ashti(Karanja) APMC,1657.75,1639.5,-,1.1%,-
Aurad Shahajani APMC,-,1820.0,-,-,-
Ausa APMC,1953.05,-,-,-,-
Babhulgaon APMC,1658.2,-,-,-,-
Balapur APMC,2073.68,1765.71,1900.0,17.4%,9.1%
Baramati APMC,1798.47,1797.42,-,0.1%,-
Barshi APMC,2389.71,2246.67,2525.86,6.4%,-5.4%
Beed APMC,1892.74,1806.6,2200.0,4.8%,-14.0%
Bhandara APMC,1618.44,1629.07,-,-0.7%,-
Bhiwapur APMC,1555.0,-,1592.07,-,-2.3%
Bhokar APMC,1529.4,1538.13,1766.71,-0.6%,-13.4%
Bhokardan APMC,1653.6,1621.05,1780.0,2.0%,-7.1%
Bhokardan(Pimpalgaon Renu) APMC,1675.0,1650.0,-,1.5%,-
Bhusaval APMC,1855.45,1675.0,-,10.8%,-
Bori APMC,1800.46,1525.45,-,18.0%,-
Buldhana(Dhad) APMC,1900.0,-,1800.0,-,5.6%
Chalisgaon APMC,1645.17,1626.78,1900.0,1.1%,-13.4%
Chandur Bazar APMC,1733.6,1638.58,-,5.8%,-
Chattrapati Sambhajinagar APMC,1757.26,1724.87,1891.5,1.9%,-7.1%
Chikali APMC,1780.76,1607.19,-,10.8%,-
Chopada APMC,1798.47,1716.88,1811.63,4.8%,-0.7%
Daryapur APMC,1620.08,1621.72,1650.0,-0.1%,-1.8%
Deoulgaon Raja APMC,1698.79,1614.64,1700.0,5.2%,-0.1%
Devala APMC,1727.5,1689.92,-,2.2%,-
Dhamngaon-Railway APMC,1614.68,1598.82,-,1.0%,-
Dharangaon APMC,1664.42,1644.98,1757.4,1.2%,-5.3%
Dharmabad APMC,1650.0,-,-,-,-
Dharni APMC,-,-,1721.6,-,-
Dhule APMC,1811.53,1708.89,1750.0,6.0%,3.5%
Digras APMC,-,1665.0,-,-,-
Dondaicha APMC,1746.52,1657.46,1757.59,5.4%,-0.6%
Dondaicha(Sindhkheda) APMC,1729.45,-,-,-,-
Dound APMC,1771.96,1801.74,1837.72,-1.6%,-3.6%
Dudhani APMC,2100.0,2070.0,-,1.4%,-
Gangakhed APMC,2000.0,1978.75,2000.0,1.1%,-
Gangapur APMC,1738.65,1688.52,-,3.0%,-
Gevrai APMC,1753.81,1676.99,1741.18,4.6%,0.7%
Ghansawangi APMC,-,-,1750.0,-,-
Himalyatnagar APMC,-,-,1650.0,-,-
Hinganghat APMC,1740.49,1675.22,1727.33,3.9%,0.8%
Hingoli APMC,1978.48,1944.12,-,1.8%,-
Hingoli(Kanegoan Naka) APMC,1655.56,1585.82,1768.18,4.4%,-6.4%
Indapur(Bhigwan) APMC,-,-,1850.0,-,-
Jafrabad APMC,1651.47,1660.0,-,-0.5%,-
Jalana APMC,1780.96,1676.55,1772.73,6.2%,0.5%
Jalgaon APMC,1703.24,1684.78,1736.3,1.1%,-1.9%
Jalgaon Jamod(Aasalgaon) APMC,1600.0,1800.0,-,-11.1%,-
Jalgaon(Masawat) APMC,1658.62,1657.61,1799.58,0.1%,-7.8%
Jamkhed APMC,1861.31,1950.0,-,-4.5%,-
Jawala-Bajar APMC,-,1750.0,-,-,-
Jintur APMC,1672.5,1612.5,-,3.7%,-
Kaij APMC,1823.68,1799.59,-,1.3%,-
Kalamb (Dharashiv) APMC,2337.35,1843.91,-,26.8%,-
Kalamnuri APMC,-,2100.0,-,-,-
Kalmeshwar APMC,1264.0,1298.33,-,-2.6%,-
Kalvan APMC,1716.5,1709.71,1955.0,0.4%,-12.2%
Kannad APMC,1793.12,1714.43,-,4.6%,-
Karanja APMC,1709.88,1645.68,1790.0,3.9%,-4.5%
Karjat(Raigad) APMC,1753.85,1742.79,-,0.6%,-
Karmala APMC,1744.0,1760.88,2201.0,-1.0%,-20.8%
Katol APMC,1674.91,1660.87,-,0.8%,-
Khamgaon APMC,1635.66,1587.34,-,3.0%,-
Kille Dharur APMC,2244.83,1958.84,-,14.6%,-
Kopargaon APMC,1703.01,1672.63,1767.77,1.8%,-3.7%
Kurdwadi APMC,2087.5,2000.5,-,4.3%,-
Kurdwadi(Modnimb) APMC,1933.33,1910.0,-,1.2%,-
Lakhandur APMC,1635.0,1525.0,-,7.2%,-
Lasalgaon APMC,1765.04,1744.77,1863.94,1.2%,-5.3%
Lasalgaon(Niphad) APMC,1769.64,1729.75,1847.57,2.3%,-4.2%
Lasalgaon(Vinchur) APMC,1791.81,1728.92,-,3.6%,-
Lasur Station APMC,1676.36,1664.06,1682.86,0.7%,-0.4%
Latur APMC,2165.55,2001.69,-,8.2%,-
Latur(Murud) APMC,2072.64,1869.23,-,10.9%,-
Loha APMC,-,1588.57,-,-,-
Lonar APMC,-,1544.3,-,-,-
Majalgaon APMC,2185.78,1856.29,1900.0,17.8%,15.0%
Malegaon APMC,1760.97,1731.93,-,1.7%,-
Malegaon(Vashim) APMC,1640.91,1671.19,1710.2,-1.8%,-4.0%
Malkapur APMC,1720.62,1676.82,-,2.6%,-
Mandhal APMC,1928.4,1500.0,1584.0,28.6%,21.7%
Mangal Wedha APMC,2126.47,2100.64,2450.0,1.2%,-13.2%
Mangrulpeer APMC,1896.92,1718.77,1950.0,10.4%,-2.7%
Manmad APMC,1687.54,1678.08,1805.0,0.6%,-6.5%
Manora APMC,1798.04,1709.44,-,5.2%,-
Mantha APMC,1724.39,1652.93,-,4.3%,-
Manwat APMC,1718.63,1690.0,-,1.7%,-
Mehekar APMC,1579.83,1559.26,-,1.3%,-
Mohol APMC,1790.0,-,-,-,-
Morshi APMC,1727.15,1682.21,1821.31,2.7%,-5.2%
