Market,"Prices September, 2023 (Rs./Quintal)","Prices August, 2023 (Rs./Quintal)","Prices September, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Chopada APMC,2464.85,2484.0,2262.38,-0.8%,8.9%
Daryapur APMC,2265.0,2251.100885291572,2146.319409040322,-,-
Deoulgaon Raja APMC,2446.97,2423.08,2276.47,1.0%,7.5%
Devala APMC,2390.0,2465.0,2294.8942142847163,-3.0%,-
Dhamngaon-Railway APMC,2450.51,2438.16,2299.5589904529547,0.5%,-
Dharangaon APMC,2775.88,2260.0,2351.86,22.8%,18.0%
Dharni APMC,2000.0,1950.0,1909.9367739289664,2.6%,-
Dhule APMC,2681.34,2524.41,2307.32,6.2%,16.2%
Digras APMC,2540.65,2515.0,2250.0,1.0%,12.9%
Dondaicha APMC,2716.76,2612.98,2364.59,4.0%,14.9%
Dondaicha(Sindhkheda) APMC,2486.6,2348.6,2271.0,5.9%,9.5%
Dound APMC,2406.67,2426.73,2257.36,-0.8%,6.6%
Dudhani APMC,2804.243348107173,2780.0,2584.0998242095275,-,-
Fulmbri APMC,2550.0,2327.71,2273.018367616263,9.6%,-
Gangakhed APMC,2342.86,2311.11,2200.0,1.4%,6.5%
Gangapur APMC,2536.42,2495.56,2362.4,1.6%,7.4%
Gevrai APMC,2643.82,2593.41,2549.17,1.9%,3.7%
Ghansawangi APMC,2400.0,2413.89,2438.46,-0.6%,-1.6%
Hinganghat APMC,2415.14,2396.4,2222.59,0.8%,8.7%
Hingoli APMC,2426.97,2433.9,2096.14,-0.3%,15.8%
Hingoli(Kanegoan Naka) APMC,2117.2073217260445,2068.75,2094.29,-,-
Indapur APMC,2128.1223762366,2106.3366989407295,1957.12,-,-
Indapur(Bhigwan) APMC,2401.5701799317017,2374.283789581349,2235.53,-,-
Indapur(Nimgaon Ketki) APMC,2387.299153073148,2360.299840631928,2221.0,-,-
Jafrabad APMC,2464.8911091519994,2436.3309464133617,2300.0,-,-
Jai Gajanan Krishi Bazar APMC,2304.1895210313282,2272.87,2169.5367731612196,-,-
Jalana APMC,2499.61,2480.24,2399.06,0.8%,4.2%
Jalgaon APMC,2413.87,2410.0,2266.67,0.2%,6.5%
Jalgaon Jamod(Aasalgaon) APMC,2300.0,2283.646813991364,2173.814308702303,-,-
Jalgaon(Masawat) APMC,2573.9127183260816,2543.159462131578,2411.0,-,-
Jamkhed APMC,2308.57,2282.76,2093.52,1.1%,10.3%
Jintur APMC,2035.1269773163324,2000.0,1946.4740087032856,-,-
Kada APMC,2925.0,2582.35,2519.0834590576515,13.3%,-
Kaij APMC,2552.63,2597.25,2501.88,-1.7%,2.0%
Kalamb (Dharashiv) APMC,2600.89,2544.5,2888.35,2.2%,-9.9%
Kalvan APMC,2200.5,2275.67,2139.262687664049,-3.3%,-
Kalyan APMC,2626.754954847748,2600.0,2436.955405246549,-,-
Kannad APMC,2623.56,2591.57,2361.35,1.2%,11.1%
Karanja APMC,2812.2,2520.06,2395.64,11.6%,17.4%
Karjat(Raigad) APMC,2381.91,2387.08,2130.88,-0.2%,11.8%
Karmala APMC,2318.0,2360.79,2312.62,-1.8%,0.2%
Katol APMC,2503.38,2368.36,2352.0,5.7%,6.4%
Khamgaon APMC,2365.6,2426.01,2274.61,-2.5%,4.0%
Kille Dharur APMC,2940.0,2692.17,2564.0,9.2%,14.7%
Kisan Market Yard APMC,2511.92,2474.18,2336.924722792523,1.5%,-
Kopargaon APMC,2629.53,2504.01,2423.0,5.0%,8.5%
Kurdwadi APMC,2501.0,3166.67,2690.797755016264,-21.0%,-
Kurdwadi(Modnimb) APMC,2733.33,2822.0,2250.0,-3.1%,21.5%
Lasalgaon APMC,2674.27,2624.97,2353.27,1.9%,13.6%
Lasalgaon(Niphad) APMC,2558.28,2572.44,2369.6,-0.6%,8.0%
Lasalgaon(Vinchur) APMC,2516.63,2444.17,2349.44,3.0%,7.1%
Lasur Station APMC,2640.65,2494.19,2428.24,5.9%,8.8%
Latur APMC,2826.728475379619,2792.02,2662.17,-,-
Loha APMC,2497.7,2503.92,2297.42,-0.2%,8.7%
Lonar APMC,2266.03,2238.24,2413.3,1.2%,-6.1%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2431.97,2406.3635628631223,2277.485791799206,-,-
Majalgaon APMC,2741.81,2560.91,2769.29,7.1%,-1.0%
Malegaon APMC,2624.29,2498.76,2335.28,5.0%,12.4%
Malegaon(Vashim) APMC,2150.0,2000.0,1300.0,7.5%,65.4%
Malkapur APMC,2466.07,2451.79,2339.1,0.6%,5.4%
Mangal Wedha APMC,3100.0,2952.35,2873.33,5.0%,7.9%
Mangrulpeer APMC,2483.96,2446.45,2342.68,1.5%,6.0%
Manmad APMC,2541.0,2474.5,2262.0,2.7%,12.3%
Manora APMC,2500.11,2521.87,2389.31,-0.9%,4.6%
Mantha APMC,2320.0,2463.0,2225.0,-5.8%,4.3%
Manwat APMC,2400.0,2554.47,2447.5,-6.0%,-1.9%
Mehekar APMC,2288.24,2320.78,2012.5,-1.4%,13.7%
Morshi APMC,2407.0,2316.93,2286.93,3.9%,5.2%
Mumbai APMC,4339.87,4300.0,2991.01,0.9%,45.1%
Murtizapur APMC,2430.48,2419.0,2319.66,0.5%,4.8%
Murum APMC,2604.67,2510.5,2676.0,3.8%,-2.7%
Nagpur APMC,2829.39,2811.32,2521.17,0.6%,12.2%
Nanded APMC,2231.67,2299.32,2312.5,-2.9%,-3.5%
Nandgaon APMC,2721.43,2554.88,2490.22,6.5%,9.3%
Nandgaon Khandeshwar APMC,2245.0,2243.1141594675328,2174.78,-,3.2%
Nandura APMC,2519.35,2466.2,2253.46,2.2%,11.8%
Nandurbar APMC,2618.42,2544.8,2331.05,2.9%,12.3%
Navapur APMC,2281.6386346210893,2250.0,2150.8412572629786,-,-
Newasa APMC,2428.57,2425.0,2286.05914155996,0.1%,-
Nilanga APMC,2922.5689436134558,2900.0,2682.1961035181803,-,-
Nira(Saswad) APMC,2843.0026632867302,2800.0,2722.67,-,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2341.55,2431.48,2262.7825200992315,-3.7%,-
Pachora APMC,2446.66,2364.49,2260.379413657497,3.5%,-
Paithan APMC,2552.88,2469.38,2384.68,3.4%,7.0%
Palghar APMC,2998.55,3128.6,2750.39,-4.2%,9.0%
Pandharpur APMC,2366.6734432294024,2340.0890403609137,2200.0,-,-
Parali Vaijyanath APMC,2225.0,2414.0,2218.1132199889457,-7.8%,-
Paranda APMC,2530.0,2497.520059732854,2354.4950779096052,-,-
Parbhani APMC,2539.83,2609.68,2198.19,-2.7%,15.5%
Parola APMC,2466.42,2422.06,2316.5,1.8%,6.5%
Partur APMC,2450.0,2429.59,2409.71,0.8%,1.7%
Pathardi APMC,2154.55,2150.0,2000.0,0.2%,7.7%
Pathari APMC,2363.5,2385.7,2276.0,-0.9%,3.8%
Patur APMC,2354.04,2395.38,2235.58,-1.7%,5.3%
Phaltan APMC,2621.0097502409503,2600.0,2400.0,-,-
Pune APMC,4894.32,4873.87,4843.52,0.4%,1.1%
Purna APMC,2081.8761219179682,2001.0,2241.0,-,-
Pusad APMC,2624.2,2636.49,2454.996819139814,-0.5%,-
Rahata APMC,2581.35,2534.12,2317.0,1.9%,11.4%
Rahuri APMC,2333.1069340283734,2295.71,2229.17,-,-
Rahuri(Vambori) APMC,2426.57,2336.77,2414.57,3.8%,0.5%
Ramtek APMC,2420.0,2419.0,2235.25,-,8.3%
Raver APMC,2517.72,2424.04,2296.64,3.9%,9.6%
Raver(Sauda) APMC,2562.6619239485112,2535.0,2383.8199206210284,-,-
Sakri APMC,2501.0,2318.75,2150.0,7.9%,16.3%
Sangamner APMC,2564.171862475582,2550.0,2310.73,-,-
Sangli APMC,3362.28,3404.77,3062.64,-1.2%,9.8%
Sangrampur(Varvatbakal) APMC,2329.55,2180.1718303178845,1650.0,-,41.2%
Satana APMC,2485.92,2452.76,2330.6,1.4%,6.7%
Savner APMC,2367.56,2349.15,2118.0,0.8%,11.8%
Selu APMC,2438.33,2404.5250345627646,2250.0,-,8.4%
Shahada APMC,2563.46,2562.3,2281.04,0.1%,12.4%
Shegaon APMC,2366.67,2328.57,2269.57,1.6%,4.3%
Shekari Krushi Khajgi Bazar APMC,0.0,144.9143565764624,367.006616629279,-,-
Shevgaon APMC,2431.45,2355.24,2224.55,3.2%,9.3%
Shevgaon(Bodhegaon) APMC,2446.43,2441.46,2054.55,0.2%,19.1%
Shirpur APMC,2486.94,2410.72,2347.97,3.2%,5.9%
Shirur APMC,2420.7161287123618,2400.0,2216.67,-,-
Shree Salasar Krushi Bazar  APMC,2035.1269773163324,2000.0,1946.4740087032856,-,-
Shrigonda APMC,2300.0,2330.0,2341.67,-1.3%,-1.8%
Shrirampur APMC,2290.91,2286.0,2093.75,0.2%,9.4%
Shrirampur(Belapur) APMC,2200.0,2183.33,2083.33,0.8%,5.6%
Sillod APMC,2580.62,2408.33,2361.53,7.2%,9.3%
Sillod(Bharadi) APMC,2461.67,2413.75,2288.46,2.0%,7.6%
Sindi(Selu) APMC,2078.42,2297.18,2204.19,-9.5%,-5.7%
Sinner APMC,2840.0,2546.47,2474.573806290198,11.5%,-
Solapur APMC,2790.98,2716.11,2746.01,2.8%,1.6%
Tadkalas APMC,2000.0,2190.0,2250.0,-8.7%,-11.1%
Tasgaon APMC,2671.5,2600.0,2248.24,2.8%,18.8%
Telhara APMC,2396.25,2333.33,2216.82,2.7%,8.1%
Tuljapur APMC,2836.9237957952455,2808.82,2635.0,-,-
Tumsar APMC,2280.73,2234.53,2263.06,2.1%,0.8%
Ulhasnagar APMC,3402.97,3405.72,3185.71,-0.1%,6.8%
Umared APMC,2452.94,2443.55,2100.0,0.4%,16.8%
Umarga APMC,2300.0,2400.0,2233.833835137544,-4.2%,-
Umari APMC,2330.94096608204,2300.0,2191.714706974917,-,-
Umarked(Danki) APMC,2133.33,2100.0,2136.84,1.6%,-0.2%
Vaduj APMC,2300.0,2300.0,2337.5,-,-1.6%
Vaijpur APMC,2503.12,2490.43,2342.6152047574556,0.5%,-
Vani APMC,2378.950651469727,2352.1192786174697,2212.5,-,-
Varora APMC,2170.23811138421,2147.6052282560195,2000.0,-,-
Varud(Rajura Bazar) APMC,2450.8072223323206,2428.0,2255.5,-,-
Vasai APMC,3418.6,3392.1,3344.61,0.8%,2.2%
Wardha APMC,2489.36,2391.99,2276.25,4.1%,9.4%
Washim APMC,2207.59,2218.18,2000.0,-0.5%,10.4%
Washim(Ansing) APMC,2350.0,2290.48,2210.0,2.6%,6.3%
Yawal APMC,2662.92,2670.77,2484.524161839898,-0.3%,-
Yeola APMC,2475.0,2468.26,2302.33,0.3%,7.5%
Yeotmal APMC,2455.47,2439.04,2320.26,0.7%,5.8%
Average,2486.88,2481.69,2335.72,-,-
Note:,2479.3291379004822,2450.4776462910777,2314.7286360573,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2479.3291379004822,2450.4776462910777,2314.7286360573,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2479.3291379004822,2450.4776462910777,2314.7286360573,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2479.3291379004822,2450.4776462910777,2314.7286360573,,
