Market,"Arrivals June, 2022 (Metric Tonnes)","Arrivals May, 2022 (Metric Tonnes)","Arrivals June, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,471.0,518.541560647519,497.0,-,-5.2%
Ahmednagar APMC,272.0,219.0,203.0,24.2%,34.0%
Ahmedpur APMC,9.0,40.490372128900326,14.0,-,-35.7%
Akhadabalapur APMC,7.0,8.0,15.0,-12.5%,-53.3%
Akkalkot APMC,5.0,117.77315894148593,107.39071948761742,-,-
Akola APMC,330.0,638.0,477.0,-48.3%,-30.8%
Akot APMC,19.71841413359769,63.092231887496766,39.0,-,-
Amalner APMC,335.0,1735.0,601.0,-80.7%,-44.3%
Amarawati APMC,682.0,1612.0,1258.0,-57.7%,-45.8%
Ambad (Vadigodri) APMC,133.32342431499717,201.69892348034801,183.0,-,-
Anajngaon APMC,36.0,142.0,59.0,-74.7%,-39.0%
Ashti APMC,1.0,2.0,-19.344000203182684,-50.0%,-
Ashti(Jalna) APMC,-29.212309524856174,3.0,-22.75696824947937,-,-
Ashti(Karanja) APMC,131.0,318.0,162.0,-58.8%,-19.1%
Aurad Shahajani APMC,2.0,4.0,8.0,-50.0%,-75.0%
Ausa APMC,5.0,23.0,14.0,-78.3%,-64.3%
Babhulgaon APMC,16.591469691686797,35.0,65.0,-,-
Balapur APMC,31.0,62.0,43.0,-50.0%,-27.9%
Baramati APMC,242.0,474.0,589.0,-49.0%,-58.9%
Barshi APMC,14.0,20.0,30.0,-30.0%,-53.3%
Barshi(Vairag) APMC,18.0,26.0,8.0,-30.8%,125.0%
Beed APMC,69.0,94.0,126.0,-26.6%,-45.2%
Bhandara APMC,10.0,28.0,56.0,-64.3%,-82.1%
Bhiwapur APMC,9.0,22.0,8.0,-59.1%,12.5%
Bhokar APMC,15.0,41.0,51.0,-63.4%,-70.6%
Bhokardan APMC,23.0,54.0,49.0,-57.4%,-53.1%
Bhokardan(Pimpalgaon Renu) APMC,40.0,52.0,32.0,-23.1%,25.0%
Bhusaval APMC,-30.848987341540166,1.0,-24.827657229184023,-,-
Bori APMC,7.884558906368582,48.65403484657476,24.0,-,-
Chakur APMC,-30.848987341540166,1.0,-24.827657229184023,-,-
Chalisgaon APMC,55.0,35.0,180.0,57.1%,-69.4%
Chandur Bazar APMC,206.0,484.0,290.0,-57.4%,-29.0%
Chandur Railway APMC,1.0,1.0,23.0,-,-95.7%
Chattrapati Sambhajinagar APMC,126.0,223.0,231.0,-43.5%,-45.5%
Chikali APMC,183.0,293.0,225.0,-37.5%,-18.7%
Chopada APMC,39.0,59.0,46.0,-33.9%,-15.2%
Deoulgaon Raja APMC,41.0,82.0,58.0,-50.0%,-29.3%
Devala APMC,14.0,20.0,18.0,-30.0%,-22.2%
Dhamngaon-Railway APMC,24.0,137.2845147905884,127.0760903308375,-,-
Dharangaon APMC,6.0,24.0,26.0,-75.0%,-76.9%
Dharmabad APMC,-8.68283841175218,28.440558989283957,3.0,-,-
Dhule APMC,412.0,537.0,551.0,-23.3%,-25.2%
Digras APMC,72.0,35.0,9.0,105.7%,700.0%
Dondaicha APMC,676.0,1242.0,1108.0,-45.6%,-39.0%
Dondaicha(Sindhkheda) APMC,-7.893914729936904,29.40310545867876,4.0,-,-
Dound APMC,37.0,57.0,86.0,-35.1%,-57.0%
Dudhani APMC,-10.260685775382727,26.51546605049436,1.0,-,-
Gangakhed APMC,103.0,121.0,56.0,-14.9%,83.9%
Gangapur APMC,75.0,71.0,128.0,5.6%,-41.4%
Gevrai APMC,113.0,147.0,461.0,-23.1%,-75.5%
Ghansawangi APMC,19.0,64.64455418112021,41.0,-,-53.7%
Himalyatnagar APMC,13.621700334864954,38.0,53.0,-,-
Hinganghat APMC,509.0,895.0,1081.0,-43.1%,-52.9%
Hingoli APMC,57.0,50.78602156509629,17.0,-,235.3%
Hingoli(Kanegoan Naka) APMC,183.0,207.0,14.0,-11.6%,1207.1%
Indapur APMC,1.0,36.6882452399597,11.0,-,-90.9%
Indapur(Bhigwan) APMC,26.618338101180548,47.0,78.0,-,-
Indapur(Nimgaon Ketki) APMC,3.0,1.0,-19.990200293202577,200.0%,-
Jafrabad APMC,20.0,55.0,11.0,-63.6%,81.8%
Jalana APMC,664.0,1105.0,1333.0,-39.9%,-50.2%
Jalgaon APMC,9.0,16.0,19.0,-43.8%,-52.6%
Jalgaon Jamod(Aasalgaon) APMC,31.5522693608268,77.53042892841877,54.0,-,-
Jalgaon(Masawat) APMC,6.0,9.0,-12.197184344760855,-33.3%,-
Jamkhed APMC,228.0,232.0,96.0,-1.7%,137.5%
Jawala-Bajar APMC,43.0,34.0,39.0,26.5%,10.3%
Jintur APMC,-5.527143684491083,32.29074486686316,7.0,-,-
Kada APMC,44.0,60.0,29.0,-26.7%,51.7%
Kaij APMC,34.0,23.0,32.0,47.8%,6.2%
Kalamb (Dharashiv) APMC,36.0,77.0,127.0,-53.2%,-71.7%
Kalmeshwar APMC,49.0,88.0,66.60559439232642,-44.3%,-
Kalvan APMC,5.0,6.0,2.0,-16.7%,150.0%
Kandhar APMC,198.0,315.9674578297378,307.3526443687486,-,-
Kannad APMC,39.0,60.0,89.0,-35.0%,-56.2%
Karanja APMC,1235.0,2260.0,1520.0,-45.4%,-18.8%
Karjat(Raigad) APMC,34.0,66.0,81.0,-48.5%,-58.0%
Karmala APMC,15.0,13.0,24.0,15.4%,-37.5%
Katol APMC,190.0,523.0,549.0,-63.7%,-65.4%
Khamgaon APMC,243.0,285.0,236.0,-14.7%,3.0%
Kille Dharur APMC,12.0,21.0,44.0,-42.9%,-72.7%
Kopargaon APMC,132.0,233.0,294.0,-43.4%,-55.1%
Kurdwadi APMC,-29.212309524856174,3.0,-22.75696824947937,-,-
Kurdwadi(Modnimb) APMC,6.0,15.0,17.0,-60.0%,-64.7%
Lakhandur APMC,23.0,38.0,2.0,-39.5%,1050.0%
Lasalgaon APMC,172.0,406.0,532.0,-57.6%,-67.7%
Lasalgaon(Niphad) APMC,81.0,74.0,209.0,9.5%,-61.2%
Lasalgaon(Vinchur) APMC,43.0,183.0,215.0,-76.5%,-80.0%
Lasur Station APMC,343.0,480.0,344.0,-28.5%,-0.3%
Latur APMC,465.0,2208.2121125473814,2523.0,-,-81.6%
Latur(Murud) APMC,433.90334708661663,568.429128319767,564.0,-,-
Loha APMC,4.0,10.0,6.0,-60.0%,-33.3%
Lonar APMC,141.0,12.0,254.0,1075.0%,-44.5%
Majalgaon APMC,24.0,58.0,126.0,-58.6%,-81.0%
Malegaon APMC,118.0,187.0,363.0,-36.9%,-67.5%
