,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2021",,
Market,"Prices September, 2021 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)","Prices September, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1755.97,1769.28,-,-0.8%,-
Ahmednagar APMC,1756.15,1720.42,1855.0,2.1%,-5.3%
Ahmedpur APMC,1700.0,1615.0,1411.5,5.3%,20.4%
Akhadabalapur APMC,1870.0,1770.0,1700.0,5.7%,10.0%
Akluj APMC,-,-,1600.0,-,-
Akola APMC,2150.08,1969.72,1515.39,9.2%,41.9%
Akot APMC,1687.88,-,1551.58,-,8.8%
Amalner APMC,1889.4,1801.59,1686.45,4.9%,12.0%
Amarawati APMC,1982.34,1855.76,1778.53,6.8%,11.5%
Ambad (Vadigodri) APMC,1811.39,1755.53,2483.88,3.2%,-27.1%
Anajngaon APMC,1739.13,1671.43,1459.68,4.0%,19.1%
Aurad Shahajani APMC,1687.42,1608.5,1450.0,4.9%,16.4%
Balapur APMC,1742.53,1614.79,1842.13,7.9%,-5.4%
Baramati APMC,1829.18,1772.82,1534.63,3.2%,19.2%
Barshi APMC,1641.67,1786.36,2400.0,-8.1%,-31.6%
Barshi(Vairag) APMC,1531.62,1600.0,-,-4.3%,-
Beed APMC,1773.26,1790.07,1544.76,-0.9%,14.8%
Bhandara APMC,1668.12,1530.62,1421.88,9.0%,17.3%
Bhiwapur APMC,-,1625.0,-,-,-
Bhokar APMC,1647.2,1589.56,1485.91,3.6%,10.8%
Bhokardan APMC,1788.64,1797.78,1489.85,-0.5%,20.1%
Bhokardan(Pimpalgaon Renu) APMC,1830.0,1860.53,1467.35,-1.6%,24.7%
Bhusaval APMC,-,-,1616.67,-,-
Bori APMC,1539.73,1571.57,1986.25,-2.0%,-22.5%
Buldhana APMC,-,-,1430.0,-,-
Buldhana(Dhad) APMC,-,-,1666.67,-,-
Chakur APMC,1518.0,1477.67,-,2.7%,-
Chalisgaon APMC,1736.69,1631.2,1351.52,6.5%,28.5%
Chandur Bazar APMC,1717.01,1677.28,1560.49,2.4%,10.0%
Chattrapati Sambhajinagar APMC,1886.06,1810.67,1564.09,4.2%,20.6%
Chikali APMC,1601.98,1569.91,1510.3,2.0%,6.1%
Chopada APMC,1831.23,1718.0,1520.09,6.6%,20.5%
Daryapur APMC,-,-,1478.75,-,-
Deoulgaon Raja APMC,1706.4,1627.05,1449.46,4.9%,17.7%
Devala APMC,1784.69,1704.72,1454.33,4.7%,22.7%
Dharangaon APMC,1874.88,1821.75,1497.73,2.9%,25.2%
Dhule APMC,1889.24,1818.68,1521.0,3.9%,24.2%
Digras APMC,1925.0,1700.0,1680.0,13.2%,14.6%
Dondaicha APMC,1905.02,1833.88,1619.97,3.9%,17.6%
Dondaicha(Sindhkheda) APMC,-,1650.0,1524.88,-,-
Dound APMC,1768.2,1723.79,1549.42,2.6%,14.1%
Dudhani APMC,1940.0,1680.0,-,15.5%,-
Gangakhed APMC,2100.0,2100.0,1892.9,-,10.9%
Gangapur APMC,1825.95,1777.59,1560.15,2.7%,17.0%
Gevrai APMC,1847.12,1805.19,1649.89,2.3%,11.9%
