,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2021",,
Ghansawangi APMC,1740.91,1850.0,1600.0,-5.9%,8.8%
Himalyatnagar APMC,1565.12,1500.0,1600.0,4.3%,-2.2%
Hinganghat APMC,1715.27,1668.06,1502.46,2.8%,14.2%
Hingoli APMC,1862.23,1805.76,1719.15,3.1%,8.3%
Hingoli(Kanegoan Naka) APMC,1589.42,1558.0,1487.5,2.0%,6.8%
Indapur(Bhigwan) APMC,-,-,1655.95,-,-
Jafrabad APMC,-,-,1500.0,-,-
Jalana APMC,1881.6,1815.24,1502.27,3.7%,25.2%
Jalgaon APMC,1791.67,1702.37,1522.22,5.2%,17.7%
Jalgaon Jamod(Aasalgaon) APMC,1800.0,1664.29,1623.53,8.2%,10.9%
Jamkhed APMC,1674.34,1608.15,1505.56,4.1%,11.2%
Jawala-Bajar APMC,-,-,1788.0,-,-
Jintur APMC,-,1456.5,1602.0,-,-
Kada APMC,1795.39,1994.44,-,-10.0%,-
Kaij APMC,1615.82,-,1449.61,-,11.5%
Kalamb (Dharashiv) APMC,1748.93,1594.58,1461.37,9.7%,19.7%
Kalamnuri APMC,2000.0,2000.0,1900.0,-,5.3%
Kalvan APMC,-,-,1504.67,-,-
Kannad APMC,1811.38,1782.49,1657.14,1.6%,9.3%
Karanja APMC,1840.23,1770.22,1592.82,4.0%,15.5%
Karjat(Raigad) APMC,1720.87,1714.42,1685.0,0.4%,2.1%
Karmala APMC,1627.31,1674.93,2000.0,-2.8%,-18.6%
Katol APMC,1780.36,1704.28,1533.62,4.5%,16.1%
Khamgaon APMC,1782.2,1666.86,1551.54,6.9%,14.9%
Kille Dharur APMC,1669.41,1597.93,1326.64,4.5%,25.8%
Kopargaon APMC,1833.76,1751.07,1548.4,4.7%,18.4%
Kurdwadi(Modnimb) APMC,1713.64,1650.0,1575.0,3.9%,8.8%
Lasalgaon APMC,1889.64,1783.02,1552.74,6.0%,21.7%
Lasalgaon(Niphad) APMC,1922.41,1794.73,1564.37,7.1%,22.9%
Lasalgaon(Vinchur) APMC,1924.17,1761.72,1582.47,9.2%,21.6%
Lasur Station APMC,1875.38,1779.36,1560.58,5.4%,20.2%
Latur APMC,1799.82,1831.08,1530.0,-1.7%,17.6%
Latur(Murud) APMC,1423.49,1650.0,1667.91,-13.7%,-14.7%
Loha APMC,1655.0,1632.88,1456.67,1.4%,13.6%
Lonar APMC,1765.66,1670.41,1774.22,5.7%,-0.5%
Majalgaon APMC,1720.11,1619.97,1513.57,6.2%,13.7%
Malegaon APMC,1888.93,1757.72,1579.24,7.5%,19.6%
Malegaon(Vashim) APMC,1400.0,1388.89,-,0.8%,-
Malkapur APMC,1843.16,1729.61,1521.34,6.6%,21.1%
Mangal Wedha APMC,2118.24,2074.44,1829.17,2.1%,15.8%
Mangrulpeer APMC,1780.18,1695.58,1598.1,5.0%,11.4%
Manmad APMC,1799.4,1712.7,1500.59,5.1%,19.9%
Manora APMC,1823.69,1748.18,1616.13,4.3%,12.8%
Mantha APMC,1604.46,1638.24,1660.92,-2.1%,-3.4%
Manwat APMC,1672.86,1596.54,-,4.8%,-
Mehekar APMC,1551.32,1484.15,1482.71,4.5%,4.6%
Mohol APMC,-,-,1800.0,-,-
Morshi APMC,1777.52,1690.43,1539.19,5.2%,15.5%
Mumbai APMC,3607.97,3374.26,2602.82,6.9%,38.6%
Murtizapur APMC,1820.25,1751.09,1578.48,4.0%,15.3%
Murum APMC,-,1597.67,-,-,-
Nagpur APMC,2291.55,2173.87,2286.17,5.4%,0.2%
Nampur APMC,1696.55,1677.0,1491.4,1.2%,13.8%
Nanded APMC,1682.08,1607.35,1516.29,4.7%,10.9%
Nandgaon APMC,1884.29,1761.37,1560.51,7.0%,20.8%
Nandgaon Khandeshwar APMC,1658.0,1617.82,1459.31,2.5%,13.6%
Nandura APMC,1840.55,1738.87,1688.09,5.8%,9.0%
Nandurbar APMC,2035.64,1826.07,1632.23,11.5%,24.7%
Newasa APMC,2000.0,-,2000.0,-,-
Pachora APMC,1696.45,1636.94,1501.89,3.6%,12.9%
Paithan APMC,1820.28,1723.66,1665.23,5.6%,9.3%
Palam APMC,2111.0,-,-,-,-
Palghar APMC,2599.85,2671.68,2428.83,-2.7%,7.0%
Pandharpur APMC,1590.0,1874.0,-,-15.2%,-
Parali Vaijyanath APMC,1570.33,1400.0,1250.0,12.2%,25.6%
Paranda APMC,1907.5,1450.0,1900.0,31.6%,0.4%
Parbhani APMC,1547.01,1635.98,1833.33,-5.4%,-15.6%
Parola APMC,1676.11,1704.68,-,-1.7%,-
Partur APMC,1822.75,1710.59,1482.3,6.6%,23.0%
Pathardi APMC,1922.73,1975.71,2050.0,-2.7%,-6.2%
Pathari APMC,1608.84,1553.29,1493.07,3.6%,7.8%
Patur APMC,1759.77,1608.04,1494.94,9.4%,17.7%
Phaltan APMC,1891.82,-,1741.03,-,8.7%
Pune APMC,4133.9,4133.82,4070.67,-,1.6%
Rahata APMC,1821.3,1724.79,1524.4,5.6%,19.5%
Rahuri APMC,1775.0,1705.77,1472.88,4.1%,20.5%
Rahuri(Vambori) APMC,1695.95,1633.45,1553.03,3.8%,9.2%
Ramtek APMC,1712.87,1614.44,1519.95,6.1%,12.7%
Raver APMC,1895.7,1745.49,1546.78,8.6%,22.6%
Sakri APMC,-,1650.0,1675.0,-,-
Sangamner APMC,1962.93,1844.36,1487.5,6.4%,32.0%
Sangli APMC,2721.69,2649.85,2450.02,2.7%,11.1%
Sangrampur(Varvatbakal) APMC,1704.24,1587.5,1535.0,7.3%,11.0%
Satana APMC,1971.36,1810.38,1599.41,8.9%,23.3%
Savner APMC,1728.53,1676.65,1500.3,3.1%,15.2%
Selu APMC,1714.79,1663.29,-,3.1%,-
Sengoan APMC,-,-,1350.0,-,-
Shahada APMC,1944.6,1808.26,1651.49,7.5%,17.8%
Shegaon APMC,1756.52,1617.14,1478.96,8.6%,18.8%
Shevgaon APMC,1845.99,1755.76,1470.41,5.1%,25.5%
Shevgaon(Bodhegaon) APMC,1600.0,1642.86,1769.85,-2.6%,-9.6%
Shirpur APMC,1866.78,1771.46,1548.57,5.4%,20.6%
Shirur APMC,1609.6,1572.26,1400.0,2.4%,15.0%
Shrigonda APMC,1990.0,1991.84,1875.0,-0.1%,6.1%
Shrigonda(Gogargaon) APMC,1990.0,1990.25,1900.0,-0.0%,4.7%
Shrirampur APMC,1710.58,1634.09,1658.99,4.7%,3.1%
Shrirampur(Belapur) APMC,1550.0,1700.0,1584.26,-8.8%,-2.2%
Sillod APMC,1820.53,1749.61,1582.68,4.0%,15.0%
Sillod(Bharadi) APMC,1768.97,1718.67,1546.0,2.9%,14.4%
Sindi APMC,-,-,1550.0,-,-
Sindi(Selu) APMC,1750.0,1683.21,1502.16,4.0%,16.5%
Sinner APMC,1911.25,1737.82,1580.12,10.0%,21.0%
Solapur APMC,2611.88,2557.06,2665.14,2.1%,-2.0%
Sonpeth APMC,1585.0,1713.67,-,-7.5%,-
Tadkalas APMC,1585.47,1565.14,-,1.3%,-
Tasgaon APMC,2107.0,2093.57,2299.76,0.6%,-8.4%
Telhara APMC,1670.68,1619.74,1488.82,3.1%,12.2%
Tuljapur APMC,-,2133.33,-,-,-
Tumsar APMC,1799.88,1697.23,1534.78,6.0%,17.3%
Ulhasnagar APMC,2872.56,2695.3,-,6.6%,-
Umared APMC,2100.0,2100.0,2185.23,-,-3.9%
Umarga APMC,1683.67,1553.33,1247.5,8.4%,35.0%
Umari APMC,1500.0,-,1387.5,-,8.1%
Umarked(Danki) APMC,1894.32,1909.56,-,-0.8%,-
Umarkhed APMC,1888.68,1900.0,-,-0.6%,-
Vaduj APMC,1975.0,1975.0,1875.0,-,5.3%
Vadvani APMC,1925.0,-,-,-,-
Vaijpur APMC,1886.65,1778.19,-,6.1%,-
Varud(Rajura Bazar) APMC,1768.29,1665.0,-,6.2%,-
Vasai APMC,3102.1,2999.94,-,3.4%,-
Wardha APMC,1783.59,-,1630.3,-,9.4%
Washim APMC,1671.8,1628.41,1526.81,2.7%,9.5%
Washim(Ansing) APMC,1800.0,1550.0,1545.36,16.1%,16.5%
Yawal APMC,1822.11,1832.78,1729.17,-0.6%,5.4%
Yeola APMC,1788.81,1731.35,1482.96,3.3%,20.6%
Yeotmal APMC,1824.97,1739.71,1491.09,4.9%,22.4%
Average,1845.2,1782.08,1652.81,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

