,,,"Market-wise Wholesale Arrivals Monthly Analysis (All Districts) for Wheat in Maharashtra - May, 2022",,
Market,"Arrivals May, 2022 (Metric Tonnes)","Arrivals April, 2022 (Metric Tonnes)","Arrivals May, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Mandhal APMC,5.0,89.0,10.0,-94.4%,-50.0%
Mangal Wedha APMC,15.0,44.0,2.0,-65.9%,650.0%
Mangrulpeer APMC,80.0,162.0,221.0,-50.6%,-63.8%
Manmad APMC,41.0,75.0,12.0,-45.3%,241.7%
Manora APMC,77.0,191.0,97.0,-59.7%,-20.6%
Mantha APMC,17.0,33.0,106.0,-48.5%,-84.0%
Manwat APMC,19.0,40.0,-,-52.5%,-
Mauda APMC,35.0,52.0,-,-32.7%,-
Mehekar APMC,115.0,251.0,133.0,-54.2%,-13.5%
Mohol APMC,-,1.0,-,-,-
Morshi APMC,479.0,475.0,181.0,0.8%,164.6%
Mumbai APMC,11679.0,18624.0,11660.0,-37.3%,0.2%
Murtizapur APMC,508.0,1053.0,153.0,-51.8%,232.0%
Murum APMC,6.0,8.0,8.0,-25.0%,-25.0%
Nagpur APMC,2822.0,5443.0,2853.0,-48.1%,-1.1%
Nampur APMC,-,-,6.0,-,-
Nanded APMC,10.0,42.0,8.0,-76.2%,25.0%
Nandgaon APMC,87.0,128.0,1.0,-32.0%,8600.0%
Nandgaon Khandeshwar APMC,-,-,19.0,-,-
Nandura APMC,48.0,71.0,73.0,-32.4%,-34.2%
Nandurbar APMC,756.0,2173.0,542.0,-65.2%,39.5%
Navapur APMC,-,161.0,-,-,-
Newasa APMC,3.0,11.0,-,-72.7%,-
Nira(Saswad) APMC,24.0,33.0,9.0,-27.3%,166.7%
Pachora APMC,-,-,100.0,-,-
Paithan APMC,117.0,241.0,169.0,-51.5%,-30.8%
Palam APMC,-,-,1.0,-,-
Palghar APMC,46.0,90.0,49.0,-48.9%,-6.1%
Pandhakawada APMC,-,-,2.0,-,-
Pandharpur APMC,1.0,-,-,-,-
Paranda APMC,4.0,13.0,1.0,-69.2%,300.0%
Parbhani APMC,256.0,230.0,78.0,11.3%,228.2%
Parola APMC,-,-,66.0,-,-
Partur APMC,49.0,44.0,110.0,11.4%,-55.5%
Pathardi APMC,22.0,19.0,5.0,15.8%,340.0%
Pathari APMC,15.0,33.0,20.0,-54.5%,-25.0%
Patur APMC,51.0,97.0,159.0,-47.4%,-67.9%
Phaltan APMC,49.0,16.0,-,206.2%,-
Pulgaon APMC,88.0,350.0,9.0,-74.9%,877.8%
Pune APMC,1052.0,1243.0,174.0,-15.4%,504.6%
Purna APMC,-,2.0,-,-,-
Rahata APMC,60.0,146.0,20.0,-58.9%,200.0%
Rahuri APMC,8.0,23.0,2.0,-65.2%,300.0%
Rahuri(Vambori) APMC,14.0,49.0,3.0,-71.4%,366.7%
Ramtek APMC,228.0,924.0,178.0,-75.3%,28.1%
Raver APMC,69.0,94.0,101.0,-26.6%,-31.7%
Sangamner APMC,5.0,12.0,1.0,-58.3%,400.0%
Sangli APMC,664.0,706.0,16.0,-6.0%,4050.0%
Sangrampur(Varvatbakal) APMC,-,-,4.0,-,-
Satana APMC,80.0,132.0,116.0,-39.4%,-31.0%
Savner APMC,300.0,262.0,169.0,14.5%,77.5%
Selu APMC,4.0,8.0,-,-50.0%,-
Shahada APMC,518.0,1388.0,509.0,-62.7%,1.8%
Shegaon APMC,32.0,49.0,8.0,-34.7%,300.0%
Shevgaon APMC,118.0,94.0,11.0,25.5%,972.7%
Shevgaon(Bodhegaon) APMC,20.0,31.0,4.0,-35.5%,400.0%
Shirpur APMC,475.0,964.0,491.0,-50.7%,-3.3%
Shirur APMC,13.0,10.0,4.0,30.0%,225.0%
Shrigonda APMC,30.0,62.0,7.0,-51.6%,328.6%
Shrigonda(Gogargaon) APMC,7.0,13.0,-,-46.1%,-
Shrirampur APMC,31.0,42.0,-,-26.2%,-
Shrirampur(Belapur) APMC,40.0,10.0,-,300.0%,-
Sillod APMC,563.0,790.0,387.0,-28.7%,45.5%
Sillod(Bharadi) APMC,33.0,66.0,39.0,-50.0%,-15.4%
Sindi APMC,31.0,50.0,49.0,-38.0%,-36.7%
Sindi(Selu) APMC,444.0,913.0,648.0,-51.4%,-31.5%
Sinner APMC,8.0,9.0,-,-11.1%,-
Solapur APMC,2795.0,3476.0,2065.0,-19.6%,35.4%
Sonpeth APMC,2.0,2.0,-,-,-
Tadkalas APMC,4.0,17.0,5.0,-76.5%,-20.0%
Taloda APMC,13.0,603.0,16.0,-97.8%,-18.8%
Tasgaon APMC,11.0,41.0,8.0,-73.2%,37.5%
Telhara APMC,85.0,-,18.0,-,372.2%
Tuljapur APMC,37.0,12.0,13.0,208.3%,184.6%
Tumsar APMC,352.0,1027.0,242.0,-65.7%,45.5%
Ulhasnagar APMC,791.0,548.0,439.0,44.3%,80.2%
Umared APMC,83.0,26.0,191.0,219.2%,-56.5%
Umarga APMC,-,3.0,-,-,-
Umari APMC,4.0,-,1.0,-,300.0%
Umarked(Danki) APMC,46.0,36.0,74.0,27.8%,-37.8%
Umarkhed APMC,24.0,12.0,5.0,100.0%,380.0%
Vaduj APMC,15.0,25.0,-,-40.0%,-
Vadvani APMC,1.0,1.0,-,-,-
Vaijpur APMC,104.0,78.0,268.0,33.3%,-61.2%
Vani APMC,-,-,3.0,-,-
Varud(Rajura Bazar) APMC,4.0,3.0,-,33.3%,-
Vasai APMC,503.0,399.0,715.0,26.1%,-29.6%
Wardha APMC,838.0,1087.0,953.0,-22.9%,-12.1%
Washim APMC,1130.0,1656.0,807.0,-31.8%,40.0%
Washim(Ansing) APMC,16.0,178.0,41.0,-91.0%,-61.0%
Yawal APMC,2.0,1244.0,15.0,-99.8%,-86.7%
Yeola APMC,39.0,83.0,56.0,-53.0%,-30.4%
Yeotmal APMC,303.0,547.0,325.0,-44.6%,-6.8%
Total,47105.0,81690.0,47364.0,-,-

Note:
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100

