Market,"Arrivals August, 2022 (Metric Tonnes)","Arrivals July, 2022 (Metric Tonnes)","Arrivals August, 2021 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Mangal Wedha APMC,2.0,2.0,9.0,-,-77.8%
Mangrulpeer APMC,42.0,52.0,354.0,-19.2%,-88.1%
Manmad APMC,12.0,11.0,27.0,9.1%,-55.6%
Manora APMC,40.0,45.0,105.0,-11.1%,-61.9%
Mantha APMC,13.0,20.0,51.0,-35.0%,-74.5%
Manwat APMC,9.0,4.0,26.0,125.0%,-65.4%
Mehekar APMC,36.0,47.0,82.0,-23.4%,-56.1%
Morshi APMC,106.0,304.0,151.0,-65.1%,-29.8%
Mumbai APMC,11761.0,12481.0,12225.0,-5.8%,-3.8%
Murtizapur APMC,69.0,92.0,119.0,-25.0%,-42.0%
Murum APMC,1.0,1.0,12.0,-,-91.7%
Nagpur APMC,1530.0,1814.0,1877.0,-15.7%,-18.5%
Nampur APMC,135.11190986957837,145.18868142956606,2.0,-,-
Nanded APMC,20.0,13.0,17.0,53.9%,17.6%
Nandgaon APMC,23.0,29.0,54.0,-20.7%,-57.4%
Nandgaon Khandeshwar APMC,8.0,11.0,22.0,-27.3%,-63.6%
Nandura APMC,89.0,64.0,70.0,39.1%,27.1%
Nandurbar APMC,58.23767417102394,65.0,163.0,-,-
Nilanga APMC,2.2468757201358893,2.0,5.9379105577164175,-,-
Nira(Saswad) APMC,6.0,10.0,15.450326056533225,-40.0%,-
Pachora APMC,148.0,158.0,122.0,-6.3%,21.3%
Paithan APMC,64.0,56.0,116.0,14.3%,-44.8%
Palghar APMC,40.0,53.0,95.0,-24.5%,-57.9%
Pandharpur APMC,135.5921053906473,145.72317739628355,3.0,-,-
Parali Vaijyanath APMC,134.6317143485094,144.65418546284855,1.0,-,-
Paranda APMC,3.2355291396067862,3.0,2.0,-,-
Parbhani APMC,79.0,36.0,97.0,119.4%,-18.6%
Parola APMC,1.9973371000874178,2.0,22.0,-,-
Partur APMC,16.0,17.0,64.0,-5.9%,-75.0%
Pathardi APMC,13.0,35.0,35.0,-62.9%,-62.9%
Pathari APMC,7.0,3.0,24.0,133.3%,-70.8%
