Market,"Prices August, 2022 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Dudhani APMC,2444.1075888572004,2550.0,1680.0,-,-
Gangakhed APMC,2195.65,2186.84,2100.0,0.4%,4.5%
Gangapur APMC,2363.44,2282.74,1777.59,3.5%,33.0%
Gevrai APMC,2519.07,2326.76,1805.19,8.3%,39.5%
Ghansawangi APMC,2397.92,2237.5,1850.0,7.2%,29.6%
Himalyatnagar APMC,2036.8891142862085,1800.0,1500.0,-,-
Hinganghat APMC,2212.71,2092.89,1668.06,5.7%,32.6%
Hingoli APMC,2181.61,2137.66,1805.76,2.1%,20.8%
Hingoli(Kanegoan Naka) APMC,2121.67,1895.62,1558.0,11.9%,36.2%
Indapur APMC,2003.36,1945.5211100751897,1487.117147901812,-,-
Indapur(Bhigwan) APMC,2300.0,2382.44,1810.0467979866446,-3.5%,-
Indapur(Nimgaon Ketki) APMC,2238.0,2330.67,1756.596439627638,-4.0%,-
Jalana APMC,2418.52,2298.7,1815.24,5.2%,33.2%
Jalgaon APMC,2282.14,2108.54,1702.37,8.2%,34.1%
Jalgaon Jamod(Aasalgaon) APMC,2257.064100604969,2150.864284753336,1664.29,-,-
Jalgaon(Masawat) APMC,2431.0,2313.835494228635,1859.776341755887,-,-
Jamkhed APMC,2094.23,2013.02,1608.15,4.0%,30.2%
Jawala-Bajar APMC,2015.6294453194355,1800.0,1442.6186582285072,-,-
Jintur APMC,2262.9247858943436,2333.33,1456.5,-,-
Kada APMC,2300.0,2183.33,1994.44,5.3%,15.3%
Kaij APMC,2647.88,2388.3,2008.8836374966193,10.9%,-
Kalamb (Dharashiv) APMC,2570.2,2483.5,1594.58,3.5%,61.2%
Kalamnuri APMC,2490.820589013914,2391.7615528605647,2000.0,-,-
Kalvan APMC,2033.33,1875.0,1479.0249799626129,8.4%,-
Kandhar APMC,1755.56,1821.74,1303.0091178915543,-3.6%,-
Kannad APMC,2350.05,2218.57,1782.49,5.9%,31.8%
Karanja APMC,2396.99,2223.05,1770.22,7.8%,35.4%
Karjat(Raigad) APMC,2090.91,2025.0,1714.42,3.2%,22.0%
Karmala APMC,2420.25,2283.33,1674.93,6.0%,44.5%
Katol APMC,2408.85,2140.03,1704.28,12.6%,41.3%
Khamgaon APMC,2221.2,1994.51,1666.86,11.4%,33.3%
Kille Dharur APMC,2400.0,2417.6,1597.93,-0.7%,50.2%
Kopargaon APMC,2388.88,2273.01,1751.07,5.1%,36.4%
Kurdwadi(Modnimb) APMC,2183.33,2507.75,1650.0,-12.9%,32.3%
Lakhandur APMC,2063.767279803711,1865.0,1492.8897461712074,-,-
Lasalgaon APMC,2447.03,2298.87,1783.02,6.4%,37.2%
Lasalgaon(Niphad) APMC,2366.59,2191.18,1794.73,8.0%,31.9%
Lasalgaon(Vinchur) APMC,2329.76,2217.19,1761.72,5.1%,32.2%
Lasur Station APMC,2412.69,2252.32,1779.36,7.1%,35.6%
Latur APMC,2795.95,2715.64,1831.08,3.0%,52.7%
Latur(Murud) APMC,2247.1139048426626,2140.6101309859405,1650.0,-,-
Loha APMC,1970.75,2525.0,1632.88,-21.9%,20.7%
Lonar APMC,2606.51,2554.5,1670.41,2.0%,56.0%
Majalgaon APMC,2687.36,2473.94,1619.97,8.6%,65.9%
Malegaon APMC,2354.46,2231.73,1757.72,5.5%,34.0%
Malegaon(Vashim) APMC,1900.0,1854.0448089915403,1388.89,-,36.8%
Malkapur APMC,2389.48,2193.31,1729.61,8.9%,38.1%
Mangal Wedha APMC,2715.0,2555.0,2074.44,6.3%,30.9%
Mangrulpeer APMC,2315.48,2148.56,1695.58,7.8%,36.6%
Manmad APMC,2341.17,2156.82,1712.7,8.6%,36.7%
Manora APMC,2403.45,2298.82,1748.18,4.5%,37.5%
Mantha APMC,2646.15,2058.75,1638.24,28.5%,61.5%
Manwat APMC,2444.44,2272.75,1596.54,7.5%,53.1%
Mehekar APMC,2000.0,1753.19,1484.15,14.1%,34.8%
Morshi APMC,2218.16,2040.87,1690.43,8.7%,31.2%
Mumbai APMC,3076.52,3032.22,3374.26,1.5%,-8.8%
Murtizapur APMC,2289.78,2188.37,1751.09,4.6%,30.8%
Murum APMC,2751.0,2200.0,1597.67,25.1%,72.2%
Nagpur APMC,2517.01,2413.88,2173.87,4.3%,15.8%
Nampur APMC,2265.9141347644445,2159.98466924484,1677.0,-,-
Nanded APMC,2150.0,2016.92,1607.35,6.6%,33.8%
Nandgaon APMC,2516.17,2294.55,1761.37,9.7%,42.9%
Nandgaon Khandeshwar APMC,2233.38,2165.91,1617.82,3.1%,38.0%
Nandura APMC,2373.18,2228.75,1738.87,6.5%,36.5%
Nandurbar APMC,2348.1619715555944,2219.49,1826.07,-,-
Nilanga APMC,2775.0963570675035,2825.5,2235.74174569372,-,-
Nira(Saswad) APMC,2455.0,2504.4,1941.021796164174,-2.0%,-
Pachora APMC,2290.61,2101.42,1636.94,9.0%,39.9%
Paithan APMC,2381.06,2261.54,1723.66,5.3%,38.1%
Palghar APMC,2661.25,2740.57,2671.68,-2.9%,-0.4%
Pandharpur APMC,2403.0861827122635,2301.3470409857005,1874.0,-,-
Parali Vaijyanath APMC,2073.0377018631975,1961.2162582183516,1400.0,-,-
Paranda APMC,2563.210369608843,3000.0,1450.0,-,-
Parbhani APMC,2246.84,2316.67,1635.98,-3.0%,37.3%
Parola APMC,2385.1457089908454,2400.0,1704.68,-,-
Partur APMC,2386.81,2262.59,1710.59,5.5%,39.5%
Pathardi APMC,2015.38,1977.14,1975.71,1.9%,2.0%
Pathari APMC,2314.57,1983.67,1553.29,16.7%,49.0%
Patur APMC,2205.28,2031.59,1608.04,8.6%,37.1%
Phaltan APMC,2445.0,2387.78,1893.9529881517872,2.4%,-
Pune APMC,4471.49,4329.85,4133.82,3.3%,8.2%
Purna APMC,2645.864786028949,2651.0,2100.7832096013944,-,-
Rahata APMC,2316.47,2176.69,1724.79,6.4%,34.3%
Rahuri APMC,2213.89,2040.0,1705.77,8.5%,29.8%
Rahuri(Vambori) APMC,2354.44,2242.46,1633.45,5.0%,44.1%
Ramtek APMC,2284.61,2350.0,1614.44,-2.8%,41.5%
Raver APMC,2269.36,2182.7046184677247,1745.49,-,30.0%
Sakri APMC,2066.67,2077.89,1650.0,-0.5%,25.2%
Sangamner APMC,2346.9972462221695,2202.0,1844.36,-,-
Sangli APMC,3045.07,2903.8,2649.85,4.9%,14.9%
Sangrampur(Varvatbakal) APMC,2055.6865302972838,1770.0,1587.5,-,-
Satana APMC,2270.95,2146.07,1810.38,5.8%,25.4%
Savner APMC,2174.52,2021.3,1676.65,7.6%,29.7%
Selu APMC,2300.0,2315.33,1663.29,-0.7%,38.3%
Shahada APMC,2316.35,2245.83,1808.26,3.1%,28.1%
Shegaon APMC,2254.55,1990.0,1617.14,13.3%,39.4%
Shevgaon APMC,2442.68,2232.74,1755.76,9.4%,39.1%
Shevgaon(Bodhegaon) APMC,2381.25,2125.0,1642.86,12.1%,45.0%
Shirpur APMC,2350.78,2173.43,1771.46,8.2%,32.7%
Shirur APMC,2160.0,1822.22,1572.26,18.5%,37.4%
Shrigonda APMC,2260.0,2113.85,1991.84,6.9%,13.5%
Shrigonda(Gogargaon) APMC,2484.031617097715,2384.7651918226293,1990.25,-,-
Shrirampur APMC,2108.33,2056.25,1634.09,2.5%,29.0%
Shrirampur(Belapur) APMC,2033.33,1896.43,1700.0,7.2%,19.6%
Sillod APMC,2345.32,2167.96,1749.61,8.2%,34.0%
Sillod(Bharadi) APMC,2344.74,2134.29,1718.67,9.9%,36.4%
Sindi(Selu) APMC,2195.87,2124.7,1683.21,3.4%,30.5%
Sinner APMC,2478.75,2281.67,1737.82,8.6%,42.6%
Solapur APMC,2680.96,2620.78,2557.06,2.3%,4.8%
Sonpeth APMC,2201.0,2650.0,1713.67,-16.9%,28.4%
Tadkalas APMC,1900.0,2100.0,1565.14,-9.5%,21.4%
Tasgaon APMC,2234.57,2200.94,2093.57,1.5%,6.7%
Telhara APMC,2211.22,2001.61,1619.74,10.5%,36.5%
Tuljapur APMC,2533.33,2500.0,2133.33,1.3%,18.8%
Tumsar APMC,2309.13,2145.78,1697.23,7.6%,36.0%
Ulhasnagar APMC,2959.53,2901.08,2695.3,2.0%,9.8%
Umared APMC,2100.0,2100.0,2100.0,-,-
Umarga APMC,3050.0,1700.0,1553.33,79.4%,96.3%
Umarked(Danki) APMC,2000.0,2071.903345072754,1909.56,-,4.7%
Umarkhed APMC,2421.190107822128,2320.00400375353,1900.0,-,-
Vaduj APMC,2308.33,2196.88,1975.0,5.1%,16.9%
Vaijpur APMC,2355.0,2222.78,1778.19,6.0%,32.4%
Vani APMC,2045.0,1981.3844786940033,1523.4035776840672,-,-
Varora APMC,1933.33,2200.0,1537.877245457808,-12.1%,-
Varud(Rajura Bazar) APMC,2257.5584770214305,2151.373763351996,1665.0,-,-
Vasai APMC,3473.43,3456.74,2999.94,0.5%,15.8%
Wardha APMC,2247.56,2175.58,1706.9293947632525,3.3%,-
Washim APMC,2011.51,1989.91,1628.41,1.1%,23.5%
Washim(Ansing) APMC,2188.89,2950.0,1550.0,-25.8%,41.2%
Yawal APMC,2513.33,2530.0,1832.78,-0.7%,37.1%
Yeola APMC,2544.19,2318.5,1731.35,9.7%,47.0%
Yeotmal APMC,2378.07,2188.53,1739.71,8.7%,36.7%
Average,2342.38,2243.08,1782.08,-,-
Note:,2334.8584578783584,2231.044675901726,1776.0028366230279,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2334.8584578783584,2231.044675901726,1776.0028366230279,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2334.8584578783584,2231.044675901726,1776.0028366230279,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2334.8584578783584,2231.044675901726,1776.0028366230279,,
