Market,"Prices August, 2022 (Rs./Quintal)","Prices July, 2022 (Rs./Quintal)","Prices August, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2221.28,2132.11,1769.28,4.2%,25.6%
Ahmednagar APMC,2241.25,2178.39,1720.42,2.9%,30.3%
Ahmedpur APMC,2222.743236425538,2115.4949887984785,1615.0,-,-
Akhadabalapur APMC,2125.5725967950934,1775.0,1770.0,-,-
Akkalkot APMC,2163.7458591172062,2000.0,1597.2989288214303,-,-
Akola APMC,2456.3,2186.11,1969.72,12.4%,24.7%
Akot APMC,2348.891376364419,2250.0,1790.6492670625842,-,-
Amalner APMC,2390.61,2238.46,1801.59,6.8%,32.7%
Amarawati APMC,2320.88,2193.97,1855.76,5.8%,25.1%
Ambad (Vadigodri) APMC,2320.5949516443543,2216.335872558595,1755.53,-,-
Ambejaogai APMC,2900.0,2850.0,2315.433445060289,1.8%,-
Anajngaon APMC,2256.25,2056.25,1671.43,9.7%,35.0%
Ashti(Karanja) APMC,2214.527571587772,2068.57,1650.3310595942141,-,-
Aurad Shahajani APMC,2133.842948400969,1925.0,1608.5,-,-
Ausa APMC,2479.233820506457,2426.0,1926.7679051843568,-,-
Balapur APMC,2171.88,1936.67,1614.79,12.2%,34.5%
Baramati APMC,2502.9,2267.07,1772.82,10.4%,41.2%
Barshi APMC,2294.74,2436.67,1786.36,-5.8%,28.5%
Barshi(Vairag) APMC,2202.1,2300.0,1600.0,-4.3%,37.6%
Beed APMC,2445.7,2278.0,1790.07,7.4%,36.6%
Bhandara APMC,2188.33,2650.0,1530.62,-17.4%,43.0%
Bhiwapur APMC,2100.0,2050.0,1625.0,2.4%,29.2%
Bhokar APMC,2105.2,1904.43,1589.56,10.5%,32.4%
Bhokardan APMC,2214.29,2026.92,1797.78,9.2%,23.2%
Bhokardan(Pimpalgaon Renu) APMC,2261.2724289438747,2000.0,1860.53,-,-
Bhusaval APMC,2100.0,2028.7544420473835,1571.3323394041452,-,-
Bori APMC,1936.0,1812.67,1571.57,6.8%,23.2%
Chakur APMC,2112.0,2007.4672162713825,1477.67,-,42.9%
Chalisgaon APMC,2309.59,2059.93,1631.2,12.1%,41.6%
Chandur Bazar APMC,2188.27,2051.54,1677.28,6.7%,30.5%
Chandur Railway APMC,2200.0,2114.8816481444383,1658.4755425315595,-,-
Chattrapati Sambhajinagar APMC,2383.28,2225.16,1810.67,7.1%,31.6%
Chikali APMC,2046.77,1935.74,1569.91,5.7%,30.4%
Chopada APMC,2352.91,2228.97,1718.0,5.6%,37.0%
Deoulgaon Raja APMC,2245.45,2093.75,1627.05,7.2%,38.0%
Devala APMC,2313.0,2125.71,1704.72,8.8%,35.7%
Dhamngaon-Railway APMC,2176.1357971313896,2016.73,1610.2379334565283,-,-
Dharangaon APMC,2303.85,2251.0,1821.75,2.4%,26.5%
Dhule APMC,2301.64,2268.37,1818.68,1.5%,26.6%
Digras APMC,2354.83,2182.9,1700.0,7.9%,38.5%
Dondaicha APMC,2297.34,2173.81,1833.88,5.7%,25.3%
Dondaicha(Sindhkheda) APMC,2335.15,2192.928039377629,1650.0,-,41.5%
Dound APMC,2313.24,2170.0,1723.79,6.6%,34.2%
