Market,"Prices August, 2023 (Rs./Quintal)","Prices July, 2023 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Latur APMC,2792.02,2797.17,2795.95,-0.2%,-0.1%
Loha APMC,2503.92,2364.64,1970.75,5.9%,27.1%
Lonar APMC,2238.24,2133.25,2606.51,4.9%,-14.1%
"Mahesh Krushi Utpanna Bazar, Digras APMC",2387.4263675751818,2294.67,2275.1531143902166,-,-
Majalgaon APMC,2560.91,2568.13,2687.36,-0.3%,-4.7%
Malegaon APMC,2498.76,2410.06,2354.46,3.7%,6.1%
Malegaon(Vashim) APMC,2000.0,1940.7040113444712,1900.0,-,5.3%
Malkapur APMC,2451.79,2350.05,2389.48,4.3%,2.6%
Mangal Wedha APMC,2952.35,2756.67,2715.0,7.1%,8.7%
Mangrulpeer APMC,2446.45,2317.54,2315.48,5.6%,5.7%
Manmad APMC,2474.5,2315.57,2341.17,6.9%,5.7%
Manora APMC,2521.87,2384.65,2403.45,5.8%,4.9%
Mantha APMC,2463.0,2280.71,2646.15,8.0%,-6.9%
Manwat APMC,2554.47,3440.1,2444.44,-25.7%,4.5%
Mehekar APMC,2320.78,2507.04,2000.0,-7.4%,16.0%
Morshi APMC,2316.93,2193.93,2218.16,5.6%,4.5%
Mumbai APMC,4300.0,4300.0,3076.52,-,39.8%
Murtizapur APMC,2419.0,2246.48,2289.78,7.7%,5.6%
Murum APMC,2510.5,2914.0,2751.0,-13.8%,-8.7%
Nagpur APMC,2811.32,2727.97,2517.01,3.1%,11.7%
Nanded APMC,2299.32,2357.27,2150.0,-2.5%,7.0%
Nandgaon APMC,2554.88,2425.14,2516.17,5.3%,1.5%
Nandgaon Khandeshwar APMC,2341.6480306610933,2250.0,2233.38,-,-
Nandura APMC,2466.2,2426.04,2373.18,1.7%,3.9%
Nandurbar APMC,2544.8,2343.58,2391.7985278594106,8.6%,-
Navapur APMC,2250.0,2135.26,2172.553543259729,5.4%,-
Newasa APMC,2425.0,2283.33,2302.856934981777,6.2%,-
Nilanga APMC,2900.0,2733.33,2656.842169251271,6.1%,-
Nira(Saswad) APMC,2800.0,2950.0,2455.0,-5.1%,14.1%
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,2431.48,2261.85,2307.5111225965275,7.5%,-
Pachora APMC,2364.49,2266.65,2290.61,4.3%,3.2%
Paithan APMC,2469.38,2286.87,2381.06,8.0%,3.7%
Palghar APMC,3128.6,3071.37,2661.25,1.9%,17.6%
Parali Vaijyanath APMC,2414.0,2077.33,2293.420742340222,16.2%,-
Paranda APMC,2450.8541888692057,2366.67,2322.496992523901,-,-
Parbhani APMC,2609.68,2637.66,2246.84,-1.1%,16.1%
Parola APMC,2422.06,2310.5,2300.855665248725,4.8%,-
Partur APMC,2429.59,2341.71,2386.81,3.8%,1.8%
