Market,"Arrivals August, 2023 (Metric Tonnes)","Arrivals July, 2023 (Metric Tonnes)","Arrivals August, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Gangapur APMC,36.0,51.0,32.0,-29.4%,12.5%
Gevrai APMC,198.0,210.0,97.0,-5.7%,104.1%
Ghansawangi APMC,18.0,18.86602686179843,24.0,-,-25.0%
Hinganghat APMC,161.0,149.0,229.0,8.1%,-29.7%
Hingoli APMC,93.0,58.0,28.0,60.3%,232.1%
Hingoli(Kanegoan Naka) APMC,12.0,28.0,150.0,-57.1%,-92.0%
Indapur APMC,73.30115879890589,73.7008609927582,11.0,-,-
Indapur(Bhigwan) APMC,73.30115879890589,73.7008609927582,11.0,-,-
Indapur(Nimgaon Ketki) APMC,0.8045523503532492,2.0,2.0,-,-
Jai Gajanan Krishi Bazar APMC,9.4,20.66,20.954709254887295,-54.5%,-
Jalana APMC,983.0,653.0,862.0,50.5%,14.0%
Jalgaon APMC,5.0,9.0,7.0,-44.4%,-28.6%
Jalgaon(Masawat) APMC,-0.22369250716282285,1.0,1.0,-,-
Jamkhed APMC,29.0,42.0,65.0,-30.9%,-55.4%
Jintur APMC,1.0,1.0,6.130853453778304,-,-
Kada APMC,17.0,14.0,16.0,21.4%,6.2%
Kaij APMC,28.0,11.0,16.0,154.6%,75.0%
Kalamb (Dharashiv) APMC,76.0,62.0,15.0,22.6%,406.7%
Kalvan APMC,6.0,4.0,3.0,50.0%,100.0%
Kalyan APMC,11.0,10.930885789239362,14.186506264394321,-,-
Kandhar APMC,80.60820464163787,80.80925662944173,18.0,-,-
Kannad APMC,61.0,45.0,39.0,35.6%,56.4%
Karanja APMC,894.0,861.0,518.0,3.8%,72.6%
Karjat(Raigad) APMC,89.0,97.0,11.0,-8.2%,709.1%
Karmala APMC,19.0,15.0,8.0,26.7%,137.5%
Katol APMC,45.0,96.0,334.0,-53.1%,-86.5%
Khamgaon APMC,686.0,395.0,330.0,73.7%,107.9%
Kille Dharur APMC,6.0,14.0,5.0,-57.1%,20.0%
Kisan Market Yard APMC,10.66,12.04,14.94253790848505,-11.5%,-
Kopargaon APMC,98.0,156.0,91.0,-37.2%,7.7%
Kurdwadi APMC,3.0,1.0,6.3280625045521575,200.0%,-
Kurdwadi(Modnimb) APMC,5.0,5.0,6.0,-,-16.7%
Lasalgaon APMC,157.0,175.0,115.0,-10.3%,36.5%
Lasalgaon(Niphad) APMC,101.0,77.0,41.0,31.2%,146.3%
Lasalgaon(Vinchur) APMC,12.0,18.0,17.0,-33.3%,-29.4%
Lasur Station APMC,264.0,271.0,336.0,-2.6%,-21.4%
Latur APMC,262.0,353.0,519.0,-25.8%,-49.5%
Loha APMC,13.0,14.0,8.0,-7.1%,62.5%
Lonar APMC,161.0,199.0,144.0,-19.1%,11.8%
"Mahesh Krushi Utpanna Bazar, Digras APMC",5.0399565530417725,6.06,10.131328624531434,-,-
Majalgaon APMC,69.0,61.0,22.0,13.1%,213.6%
Malegaon APMC,105.0,105.0,56.0,-,87.5%
Malegaon(Vashim) APMC,3.0,2.3678266322092956,3.0,-,-
Malkapur APMC,363.0,383.0,326.0,-5.2%,11.3%
Mangal Wedha APMC,17.0,15.0,2.0,13.3%,750.0%
Mangrulpeer APMC,155.0,268.0,42.0,-42.2%,269.1%
Manmad APMC,6.0,14.0,12.0,-57.1%,-50.0%
Manora APMC,69.0,34.0,40.0,102.9%,72.5%
Mantha APMC,8.0,17.0,13.0,-52.9%,-38.5%
Manwat APMC,15.0,10.0,9.0,50.0%,66.7%
Mehekar APMC,77.0,71.0,36.0,8.4%,113.9%
Morshi APMC,103.0,136.0,106.0,-24.3%,-2.8%
Mumbai APMC,15772.0,15223.0,11761.0,3.6%,34.1%
Murtizapur APMC,95.0,88.0,69.0,8.0%,37.7%
Murum APMC,2.0,9.0,1.0,-77.8%,100.0%
Nagpur APMC,932.0,886.0,1530.0,5.2%,-39.1%
Nanded APMC,22.0,22.0,20.0,-,10.0%
Nandgaon APMC,32.0,36.0,23.0,-11.1%,39.1%
Nandgaon Khandeshwar APMC,2.939473852589572,4.0,8.0,-,-
Nandura APMC,45.0,54.0,89.0,-16.7%,-49.4%
Nandurbar APMC,81.0,96.0,81.64789757255477,-15.6%,-
Navapur APMC,5.0,19.0,19.33912710880813,-73.7%,-
Newasa APMC,8.0,9.0,12.516132044145513,-11.1%,-
Nilanga APMC,1.0,6.0,9.690257774190002,-83.3%,-
Nira(Saswad) APMC,6.0,20.0,6.0,-70.0%,-
Om Chaitanya Multistate Agro Purpose CoOp Society  APMC,9.64,15.49,17.29795027367446,-37.8%,-
Pachora APMC,59.0,77.0,148.0,-23.4%,-60.1%
Paithan APMC,157.0,121.0,64.0,29.8%,145.3%
Palghar APMC,50.0,106.0,40.0,-52.8%,25.0%
Parali Vaijyanath APMC,3.0,3.0,7.751824232716838,-,-
Paranda APMC,1.904750947025502,3.0,7.643827719667806,-,-
Parbhani APMC,31.0,65.0,79.0,-52.3%,-60.8%
Parola APMC,32.0,14.0,18.442044973843466,128.6%,-
Partur APMC,17.0,7.0,16.0,142.9%,6.2%
Pathardi APMC,12.0,22.0,13.0,-45.5%,-7.7%
Pathari APMC,23.0,16.0,7.0,43.8%,228.6%
Patur APMC,34.0,34.0,29.0,-,17.2%
Phaltan APMC,72.0,119.0,30.0,-39.5%,140.0%
Pune APMC,1064.0,1095.0,1148.0,-2.8%,-7.3%
Purna APMC,1.0,1.0,6.130853453778304,-,-
Pusad APMC,489.0,262.0,240.05076736808945,86.6%,-
Rahata APMC,69.0,95.0,17.0,-27.4%,305.9%
Rahuri APMC,35.0,32.0,18.0,9.4%,94.4%
Rahuri(Vambori) APMC,48.0,27.0,18.0,77.8%,166.7%
Ramtek APMC,11.0,151.0,102.0,-92.7%,-89.2%
Raver APMC,46.0,46.0,25.0,-,84.0%
Raver(Sauda) APMC,2.0,2.1508058427360446,7.048694636883171,-,-
Sakri APMC,8.0,11.0,6.0,-27.3%,33.3%
Sangamner APMC,2.0,2.1508058427360446,7.048694636883171,-,-
Sangli APMC,739.0,1063.0,543.0,-30.5%,36.1%
Satana APMC,38.0,48.0,19.0,-20.8%,100.0%
Savner APMC,59.0,21.0,25.0,180.9%,136.0%
Selu APMC,63.90638557253628,64.56149517416515,2.0,-,-
Shahada APMC,57.0,48.0,26.0,18.8%,119.2%
Shegaon APMC,7.0,20.0,11.0,-65.0%,-36.4%
Shekari Krushi Khajgi Bazar APMC,16.023421944053023,16.78,18.845710879478524,-,-
Shevgaon APMC,147.0,127.0,41.0,15.8%,258.5%
Shevgaon(Bodhegaon) APMC,41.0,36.0,8.0,13.9%,412.5%
Shirpur APMC,108.0,167.0,140.0,-35.3%,-22.9%
Shirur APMC,1.0,5.0,5.0,-80.0%,-80.0%
Shree Salasar Krushi Bazar  APMC,0.2,1.39,6.329603370460874,-85.6%,-
Shrigonda APMC,10.0,11.0,10.0,-9.1%,-
Shrigonda(Gogargaon) APMC,2.9293279424556555,4.0,8.4567365121069,-,-
Shrirampur APMC,25.0,36.0,6.0,-30.6%,316.7%
Shrirampur(Belapur) APMC,12.0,29.0,9.0,-58.6%,33.3%
Sillod APMC,258.0,250.0,427.0,3.2%,-39.6%
Sillod(Bharadi) APMC,4.0,5.0,19.0,-20.0%,-79.0%
Sindi(Selu) APMC,39.0,43.0,46.0,-9.3%,-15.2%
Sinner APMC,17.0,26.0,12.0,-34.6%,41.7%
Solapur APMC,4670.0,4509.0,3217.0,3.6%,45.2%
Sonpeth APMC,62.862521880717466,63.54601008321039,1.0,-,-
Tadkalas APMC,5.0,6.0,4.0,-16.7%,25.0%
Tasgaon APMC,33.0,22.0,35.0,50.0%,-5.7%
Telhara APMC,39.0,71.0,41.0,-45.1%,-4.9%
Tuljapur APMC,17.0,27.0,15.0,-37.0%,13.3%
Tumsar APMC,17.0,60.0,31.0,-71.7%,-45.2%
Ulhasnagar APMC,1671.0,1317.0,918.0,26.9%,82.0%
Umared APMC,62.0,41.0,58.0,51.2%,6.9%
Umarga APMC,1.0,1.0,2.0,-,-50.0%
Umari APMC,1.0,1.1752414042356762,6.2556044560486,-,-
Umarked(Danki) APMC,28.0,28.0,15.0,-,86.7%
Umarkhed APMC,11.125943905896888,12.0,14.960006851619653,-,-
Vaduj APMC,10.0,15.0,18.0,-33.3%,-44.4%
Vaijpur APMC,115.0,94.0,137.0,22.3%,-16.1%
Vani APMC,62.862521880717466,63.54601008321039,1.0,-,-
Varora APMC,64.95024926435516,65.57698026511996,3.0,-,-
Varud(Rajura Bazar) APMC,2.0,2.1508058427360446,7.048694636883171,-,-
Vasai APMC,329.0,386.0,309.0,-14.8%,6.5%
Wardha APMC,88.0,64.0,43.0,37.5%,104.7%
Washim APMC,330.0,407.0,695.0,-18.9%,-52.5%
Washim(Ansing) APMC,21.0,15.0,9.0,40.0%,133.3%
Yawal APMC,26.0,30.0,6.0,-13.3%,333.3%
Yeola APMC,19.0,16.0,16.0,18.8%,18.8%
Yeotmal APMC,68.0,54.0,81.0,25.9%,-16.1%
Total,37488.5,36669.32,30111.0,-,-
Note:,412.0698783018372,403.3119437768392,333.0623778710949,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,412.0698783018372,403.3119437768392,333.0623778710949,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,412.0698783018372,403.3119437768392,333.0623778710949,,
