Market,"Arrivals August, 2023 (Metric Tonnes)","Arrivals July, 2023 (Metric Tonnes)","Arrivals August, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,108.0,195.0,639.0,-44.6%,-83.1%
Ahmednagar APMC,124.0,196.0,120.0,-36.7%,3.3%
Ahmedpur APMC,16.248828883047658,17.0,19.024550813815125,-,-
Akhadabalapur APMC,7.0,14.0,15.976931839170284,-50.0%,-
Akkalkot APMC,2.0,10.0,12.63638575590629,-80.0%,-
Akola APMC,272.0,203.0,237.0,34.0%,14.8%
Akot APMC,34.69121480079043,35.0,33.656909077718815,-,-
Amalner APMC,265.0,213.0,340.0,24.4%,-22.1%
Amarawati APMC,367.0,590.0,204.0,-37.8%,79.9%
Ambad (Vadigodri) APMC,66.0,16.0,23.218360565163668,312.5%,-
Ambejaogai APMC,62.862521880717466,63.54601008321039,1.0,-,-
Anajngaon APMC,72.0,73.0,16.0,-1.4%,350.0%
Ashti(Karanja) APMC,10.101366910466734,11.0,14.147098059180557,-,-
Aurad Shahajani APMC,3.0,3.1263702812364134,7.841784817717744,-,-
Ausa APMC,4.0,15.0,16.39299912709184,-73.3%,-
BSK Krishi Bazar Private Ltd APMC,2.6,3.9,8.353075200236173,-33.3%,-
Babhulgaon APMC,6.0,5.0,9.471399537042299,20.0%,-
Balapur APMC,13.0,31.0,16.0,-58.1%,-18.8%
Baramati APMC,474.0,318.0,268.0,49.1%,76.9%
Barshi APMC,51.0,18.0,19.0,183.3%,168.4%
Barshi(Vairag) APMC,6.0,16.0,10.0,-62.5%,-40.0%
Beed APMC,286.0,8.0,43.0,3475.0%,565.1%
Bhandara APMC,5.0,9.0,3.0,-44.4%,66.7%
Bhiwapur APMC,63.90638557253628,64.56149517416515,2.0,-,-
Bhokar APMC,13.0,9.0,5.0,44.4%,160.0%
Bhokardan APMC,15.0,27.0,14.0,-44.4%,7.1%
Bhokardan(Pimpalgaon Renu) APMC,23.0,11.0,15.4189616531141,109.1%,-
Bhusaval APMC,62.862521880717466,63.54601008321039,1.0,-,-
Bori APMC,67.03797664799283,67.60795044702951,5.0,-,-
Chakur APMC,3.0,2.0,1.0,50.0%,200.0%
Chalisgaon APMC,69.0,59.0,56.0,16.9%,23.2%
Chandur Bazar APMC,43.0,54.0,71.0,-20.4%,-39.4%
Chandur Railway APMC,3.8108551356972873,5.0,1.0,-,-
Chattrapati Sambhajinagar APMC,101.0,99.0,134.0,2.0%,-24.6%
Chikali APMC,72.0,73.0,98.0,-1.4%,-26.5%
Chopada APMC,11.0,6.0,11.0,83.3%,-
Deoulgaon Raja APMC,26.0,29.0,22.0,-10.3%,18.2%
Devala APMC,2.0,1.9644210718889936,5.0,-,-60.0%
Dhamngaon-Railway APMC,38.0,142.0,110.15442272870453,-73.2%,-
Dharangaon APMC,5.0,3.0,13.0,66.7%,-61.5%
Dharni APMC,30.0,163.0,124.31508467133825,-81.6%,-
Dhule APMC,358.0,324.0,228.0,10.5%,57.0%
Digras APMC,3.0,11.0,29.0,-72.7%,-89.7%
Dondaicha APMC,433.0,407.0,346.0,6.4%,25.1%
Dondaicha(Sindhkheda) APMC,5.0,7.0,26.0,-28.6%,-80.8%
Dound APMC,62.0,67.0,34.0,-7.5%,82.3%
Dudhani APMC,1.0,7.0,10.402138638272342,-85.7%,-
Fulmbri APMC,83.0,81.1715253612659,71.28899928448352,-,-
Gangakhed APMC,9.0,1.0,46.0,800.0%,-80.4%
