,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - June, 2023",,
Market,"Prices June, 2023 (Rs./Quintal)","Prices May, 2023 (Rs./Quintal)","Prices June, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Mangal Wedha APMC,2756.25,2668.75,2741.67,3.3%,0.5%
Mangrulpeer APMC,2277.8,2196.95,2150.51,3.7%,5.9%
Manmad APMC,2297.26,2266.67,2105.95,1.4%,9.1%
Manora APMC,2343.36,2207.12,2083.77,6.2%,12.5%
Mantha APMC,2773.91,2479.17,-,11.9%,-
Manwat APMC,2383.67,2365.38,2305.3,0.8%,3.4%
Mauda APMC,-,1975.0,-,-,-
Mehekar APMC,2408.25,2387.86,2543.0,0.8%,-5.3%
Mohol APMC,-,-,2400.0,-,-
Morshi APMC,2245.32,2198.59,1974.18,2.1%,13.7%
Mudkhed APMC,-,2250.0,-,-,-
Mumbai APMC,4221.98,3788.75,2910.95,11.4%,45.0%
Murtizapur APMC,2284.36,2400.66,1998.5,-4.8%,14.3%
Murum APMC,2752.09,2729.03,2048.89,0.8%,34.3%
Nagpur APMC,2724.2,2645.92,2343.77,3.0%,16.2%
Nanded APMC,2313.64,2319.21,1940.0,-0.2%,19.3%
Nandgaon APMC,2311.4,2485.38,2348.94,-7.0%,-1.6%
Nandgaon Khandeshwar APMC,2175.91,-,-,-,-
Nandura APMC,2514.49,2722.91,2267.27,-7.7%,10.9%
Nandurbar APMC,2440.89,2333.5,2136.49,4.6%,14.2%
Navapur APMC,2063.6,-,-,-,-
Newasa APMC,2325.0,2207.89,2277.78,5.3%,2.1%
Nilanga APMC,-,-,2266.67,-,-
Nira(Saswad) APMC,3062.42,3172.97,2464.07,-3.5%,24.3%
Pachora APMC,2300.91,2220.5,1996.49,3.6%,15.2%
Paithan APMC,2339.45,2368.84,2190.88,-1.2%,6.8%
Palghar APMC,2999.95,3077.13,2843.01,-2.5%,5.5%
Pandharpur APMC,2400.0,-,-,-,-
Parali Vaijyanath APMC,-,2800.0,-,-,-
Paranda APMC,2510.0,2652.5,2265.0,-5.4%,10.8%
Parbhani APMC,2673.25,2798.15,2380.92,-4.5%,12.3%
Parola APMC,2367.12,2274.1,2009.73,4.1%,17.8%
Partur APMC,2492.75,2559.16,2427.83,-2.6%,2.7%
Pathardi APMC,2136.84,2057.14,1975.0,3.9%,8.2%
Pathari APMC,2260.52,2224.19,1977.78,1.6%,14.3%
Patur APMC,2098.8,2013.48,1867.83,4.2%,12.4%
Pavani APMC,-,-,2000.0,-,-
Phaltan APMC,2500.0,2540.74,2310.77,-1.6%,8.2%
Pulgaon APMC,2233.28,2138.33,-,4.4%,-
Pune APMC,4499.73,3848.58,3952.75,16.9%,13.8%
Purna APMC,-,2401.0,-,-,-
Pusad APMC,2494.17,-,-,-,-
