Market,"Arrivals June, 2023 (Metric Tonnes)","Arrivals May, 2023 (Metric Tonnes)","Arrivals June, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,1223.0,1625.0,471.0,-24.7%,159.7%
Ahmednagar APMC,157.0,81.0,272.0,93.8%,-42.3%
Ahmedpur APMC,47.0,67.0,9.0,-29.9%,422.2%
Akhadabalapur APMC,5.864634263405225,12.0,7.0,-,-
Akkalkot APMC,1.0,2.0,5.0,-50.0%,-80.0%
Akkalkuwa APMC,228.2778044042308,257.0,177.49703112323357,-,-
Akola APMC,652.0,842.0,330.0,-22.6%,97.6%
Amalner APMC,186.0,684.0,335.0,-72.8%,-44.5%
Amarawati APMC,946.0,2692.0,682.0,-64.9%,38.7%
Ambad (Vadigodri) APMC,49.0,36.0,33.663161198585854,36.1%,-
Anajngaon APMC,225.0,273.0,36.0,-17.6%,525.0%
Ashti APMC,2.0,22.55365404101622,1.0,-,100.0%
Ashti(Karanja) APMC,102.0,202.0,131.0,-49.5%,-22.1%
Aurad Shahajani APMC,6.0,2.0,2.0,200.0%,200.0%
Ausa APMC,24.0,33.0,5.0,-27.3%,380.0%
Babhulgaon APMC,17.0,48.0,13.16083367235819,-64.6%,-
Balapur APMC,59.0,89.0,31.0,-33.7%,90.3%
Baramati APMC,427.0,469.0,242.0,-9.0%,76.5%
Barshi APMC,75.0,65.0,14.0,15.4%,435.7%
Barshi(Vairag) APMC,49.0,43.0,18.0,13.9%,172.2%
Beed APMC,127.0,142.0,69.0,-10.6%,84.1%
Bhandara APMC,13.0,42.0,10.0,-69.0%,30.0%
Bhiwapur APMC,5.67459368191604,2.0,9.0,-,-
Bhokar APMC,17.0,28.0,15.0,-39.3%,13.3%
Bhokardan APMC,57.0,32.0,23.0,78.1%,147.8%
Bhokardan(Pimpalgaon Renu) APMC,14.0,25.0,40.0,-44.0%,-65.0%
Chakur APMC,5.0,24.0,3.4080461956879695,-79.2%,-
Chalisgaon APMC,34.0,217.0,55.0,-84.3%,-38.2%
Chandur Bazar APMC,211.0,286.0,206.0,-26.2%,2.4%
Chandur Railway APMC,-1.8271563858858295,4.0,1.0,-,-
Chattrapati Sambhajinagar APMC,119.0,133.0,126.0,-10.5%,-5.6%
Chikali APMC,132.0,239.0,183.0,-44.8%,-27.9%
Chopada APMC,55.0,58.0,39.0,-5.2%,41.0%
Deoulgaon Raja APMC,71.0,115.0,41.0,-38.3%,73.2%
Devala APMC,6.0,8.0,14.0,-25.0%,-57.1%
Dhamngaon-Railway APMC,470.0,520.0,24.0,-9.6%,1858.3%
Dharangaon APMC,31.0,19.0,6.0,63.2%,416.7%
Dharni APMC,15.0,37.66645802219968,11.076595167551194,-,-
Dhule APMC,354.0,445.0,412.0,-20.4%,-14.1%
Digras APMC,96.28249457042244,131.27714006973798,72.0,-,-
Dondaicha APMC,729.0,922.0,676.0,-20.9%,7.8%
Dondaicha(Sindhkheda) APMC,9.0,14.0,5.355134520261296,-35.7%,-
Dound APMC,47.0,81.0,37.0,-42.0%,27.0%
Dudhani APMC,6.0,27.257267686262285,4.311849427022472,-,-
Gangakhed APMC,11.0,27.0,103.0,-59.3%,-89.3%
Gangapur APMC,83.0,1428.0,75.0,-94.2%,10.7%
Gevrai APMC,250.0,315.0,113.0,-20.6%,121.2%
Ghansawangi APMC,7.0,17.0,19.0,-58.8%,-63.2%
Hinganghat APMC,262.0,295.0,509.0,-11.2%,-48.5%
Hingoli APMC,140.0,155.0,57.0,-9.7%,145.6%
Hingoli(Kanegoan Naka) APMC,7.0,39.0,183.0,-82.0%,-96.2%
Indapur APMC,2.155613059914576,22.31842698486466,1.0,-,-
Indapur(Bhigwan) APMC,41.0,18.0,27.016431676992735,127.8%,-
Indapur(Nimgaon Ketki) APMC,1.0,22.559293034588528,3.0,-,-66.7%
Jafrabad APMC,17.67449531597596,7.0,20.0,-,-
Jai Gajanan Krishi Bazar APMC,0.87,21.32402919477797,0.4559443549211002,-,-
Jalana APMC,946.0,940.0,664.0,0.6%,42.5%
Jalgaon APMC,11.0,22.0,9.0,-50.0%,22.2%
Jalgaon(Masawat) APMC,3.0,25.50461745868707,6.0,-,-50.0%
Jamkhed APMC,59.0,76.0,228.0,-22.4%,-74.1%
Jawala-Bajar APMC,57.836303530919224,86.77287697873338,43.0,-,-
Jintur APMC,1.0,1.0,-0.9294169917993942,-,-
Kada APMC,93.0,117.07415455875196,44.0,-,111.4%
Kaij APMC,49.0,48.0,34.0,2.1%,44.1%
Kalamb (Dharashiv) APMC,219.0,157.0,36.0,39.5%,508.3%
Kalmeshwar APMC,65.7906878839199,95.98065554928607,49.0,-,-
Kalvan APMC,14.0,17.0,5.0,-17.6%,180.0%
Kalyan APMC,25.26389894458372,2.0,28.74582159813012,-,-
Kandhar APMC,1.0,104.92178877636213,198.0,-,-99.5%
Kannad APMC,45.0,62.0,39.0,-27.4%,15.4%
Karanja APMC,2783.0,3953.0,1235.0,-29.6%,125.3%
Karjat(Raigad) APMC,118.0,188.0,34.0,-37.2%,247.1%
Karmala APMC,26.0,51.0,15.0,-49.0%,73.3%
Katol APMC,122.0,167.0,190.0,-26.9%,-35.8%
Khamgaon APMC,712.0,808.0,243.0,-11.9%,193.0%
Kille Dharur APMC,40.0,34.0,12.0,17.6%,233.3%
Kopargaon APMC,245.0,366.0,132.0,-33.1%,85.6%
Kurdwadi APMC,1.0,3.0,-0.7845457879864224,-66.7%,-
Kurdwadi(Modnimb) APMC,10.0,10.0,6.0,-,66.7%
Lakhandur APMC,19.34620316857975,1.0,23.0,-,-
