Market,"Arrivals January, 2023 (Metric Tonnes)","Arrivals December, 2022 (Metric Tonnes)","Arrivals January, 2022 (Metric Tonnes)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,39.0,248.0,338.0,-84.3%,-88.5%
Ahmednagar APMC,132.0,42.0,681.0,214.3%,-80.6%
Ahmedpur APMC,7.0,25.200141744064695,36.878588587087336,-,-
Akhadabalapur APMC,4.0,2.0,4.0,100.0%,-
Akola APMC,94.0,141.0,272.0,-33.3%,-65.4%
Amalner APMC,35.0,74.0,225.0,-52.7%,-84.4%
Amarawati APMC,38.0,75.0,314.0,-49.3%,-87.9%
Ambad (Vadigodri) APMC,39.0,53.0,45.0,-26.4%,-13.3%
Anajngaon APMC,12.0,22.0,21.0,-45.5%,-42.9%
Ashti(Jalna) APMC,1.0,2.0,11.0,-50.0%,-90.9%
Ashti(Karanja) APMC,6.0,24.05951622989701,35.429824853281254,-,-
Aurad Shahajani APMC,-8.932095082300473,2.0248704346894293,1.0,-,-
Ausa APMC,2.0,5.0,1.0,-60.0%,100.0%
Balapur APMC,4.0,5.0,42.0,-20.0%,-90.5%
Baramati APMC,121.0,199.0,551.0,-39.2%,-78.0%
Barshi APMC,7.0,13.0,28.0,-46.1%,-75.0%
Barshi(Vairag) APMC,4.0,3.0,10.0,33.3%,-60.0%
Beed APMC,28.0,46.0,88.0,-39.1%,-68.2%
Bhandara APMC,-7.800033297094556,1.0,11.0,-,-
Bhokar APMC,-7.8838597768502545,2.0,7.0,-,-
Bhokardan APMC,33.0,34.0,38.0,-2.9%,-13.2%
Bhokardan(Pimpalgaon Renu) APMC,19.0,9.0,30.0,111.1%,-36.7%
Bori APMC,-2.3489562390603087,9.716621580334037,11.0,-,-
Chalisgaon APMC,35.0,39.0,114.0,-10.3%,-69.3%
Chandur Bazar APMC,9.0,22.0,152.0,-59.1%,-94.1%
Chattrapati Sambhajinagar APMC,32.0,61.0,64.0,-47.5%,-50.0%
Chikali APMC,49.0,83.0,225.0,-41.0%,-78.2%
Chopada APMC,4.0,6.0,31.0,-33.3%,-87.1%
Deoulgaon Raja APMC,17.0,16.0,33.0,6.2%,-48.5%
Devala APMC,2.0,1.0,18.0,100.0%,-88.9%
Dhamngaon-Railway APMC,6.8674381414759225,20.485073184236487,25.0,-,-
Dharangaon APMC,5.0,2.0,7.0,150.0%,-28.6%
Dhule APMC,66.0,81.0,152.0,-18.5%,-56.6%
Digras APMC,4.0,9.0,1.0,-55.6%,300.0%
Dondaicha APMC,123.0,126.0,374.0,-2.4%,-67.1%
Dondaicha(Sindhkheda) APMC,1.0,18.35638865905857,28.186006184250825,-,-
Dound APMC,21.0,24.0,58.0,-12.5%,-63.8%
Gangakhed APMC,26.0,61.0,74.0,-57.4%,-64.9%
Gangapur APMC,14.0,37.0,70.0,-62.2%,-80.0%
Gevrai APMC,61.0,53.0,260.0,15.1%,-76.5%
Ghansawangi APMC,-7.790388185802261,3.0,4.0,-,-
Hinganghat APMC,38.0,136.0,165.0,-72.1%,-77.0%
Hingoli APMC,16.0,29.0,55.0,-44.8%,-70.9%
Hingoli(Kanegoan Naka) APMC,76.64870987982167,102.01763532806933,131.0,-,-
Indapur APMC,5.0,2.0,8.788715632495125,150.0%,-
Indapur(Bhigwan) APMC,-2.3773965623086646,9.0,13.367258172696404,-,-
Indapur(Nimgaon Ketki) APMC,-8.349984835292176,2.0,4.37095245126482,-,-
Jafrabad APMC,4.234182604179857,17.408372725978644,21.0,-,-
Jalana APMC,275.0,447.0,821.0,-38.5%,-66.5%
Jalgaon APMC,-8.59305206006502,2.0,3.0,-,-
Jalgaon Jamod(Aasalgaon) APMC,34.0,55.99703062659226,75.99520939985165,-,-
Jamkhed APMC,48.0,42.0,106.0,14.3%,-54.7%
Jawala-Bajar APMC,25.30022690254839,42.021976392041395,53.0,-,-
Kada APMC,4.0,15.848690959524577,19.0,-,-79.0%
Kaij APMC,16.0,18.0,30.0,-11.1%,-46.7%
Kalamb (Dharashiv) APMC,17.0,15.0,51.0,13.3%,-66.7%
Kalvan APMC,-6.643531043011173,4.0,6.941325514530987,-,-
Kandhar APMC,15.0,9.0,19.080406304399396,66.7%,-
Kannad APMC,29.0,38.0,28.0,-23.7%,3.6%
Karanja APMC,124.0,217.0,317.0,-42.9%,-60.9%
Karjat(Raigad) APMC,32.0,41.0,72.0,-21.9%,-55.6%
Karmala APMC,3.0,5.0,25.0,-40.0%,-88.0%
Katol APMC,12.0,26.0,17.0,-53.9%,-29.4%
Khamgaon APMC,49.0,135.0,462.0,-63.7%,-89.4%
Kille Dharur APMC,1.0,2.0,16.0,-50.0%,-93.8%
Kopargaon APMC,63.0,69.0,90.0,-8.7%,-30.0%
Kurdwadi APMC,-9.203211731432678,1.0,3.085765919631737,-,-
Kurdwadi(Modnimb) APMC,3.0,5.0,6.0,-40.0%,-50.0%
Lasalgaon APMC,111.0,126.0,114.0,-11.9%,-2.6%
Lasalgaon(Niphad) APMC,33.0,67.0,54.0,-50.8%,-38.9%
Lasalgaon(Vinchur) APMC,19.0,25.0,3.0,-24.0%,533.3%
Lasur Station APMC,185.0,253.0,296.0,-26.9%,-37.5%
Latur(Murud) APMC,18.717088059308217,34.33022524639678,43.0,-,-
Loha APMC,8.0,9.0,5.0,-11.1%,60.0%
Lonar APMC,99.0,145.0,275.0,-31.7%,-64.0%
Majalgaon APMC,11.0,12.0,63.0,-8.3%,-82.5%
Malegaon APMC,61.0,48.0,152.0,27.1%,-59.9%
Malkapur APMC,115.0,229.0,396.0,-49.8%,-71.0%
Mangal Wedha APMC,3.0,3.0,1.0,-,200.0%
Mangrulpeer APMC,34.0,50.0,39.0,-32.0%,-12.8%
Manmad APMC,6.0,14.0,30.0,-57.1%,-80.0%
Manora APMC,2.0,19.49701417322626,29.634769918056907,-,-
Mantha APMC,1.0,17.0,30.0,-94.1%,-96.7%
Mehekar APMC,40.0,53.0,135.0,-24.5%,-70.4%
Morshi APMC,40.0,59.0,134.0,-32.2%,-70.2%
Mudkhed APMC,1.0,18.35638865905857,28.186006184250825,-,-
Mumbai APMC,9616.0,9194.0,12015.0,4.6%,-20.0%
Murtizapur APMC,5.0,27.0,82.0,-81.5%,-93.9%
Murum APMC,-8.932095082300473,2.0248704346894293,1.0,-,-
Nagpur APMC,290.0,469.0,1216.0,-38.2%,-76.2%
Nampur APMC,-7.615467313652439,3.563220663818351,3.0,-,-
Nanded APMC,1.0,26.162114166505443,46.0,-,-97.8%
Nandgaon APMC,18.0,23.0,47.0,-21.7%,-61.7%
Nandgaon Khandeshwar APMC,-8.947648201672404,2.0,1.0,-,-
Nandura APMC,16.0,49.08549981196007,81.0,-,-80.2%
Nandurbar APMC,44.0,55.0,130.0,-20.0%,-66.2%
Navapur APMC,53.0,54.0,76.78646217474869,-1.9%,-
Newasa APMC,-8.273781197976456,2.7940455492538896,2.0,-,-
Nilanga APMC,6.0,8.973075488204,1.0,-,500.0%
Nira(Saswad) APMC,17.0,32.0,14.0,-46.9%,21.4%
Pachora APMC,50.0,61.0,59.0,-18.0%,-15.2%
Paithan APMC,18.0,43.0,48.0,-58.1%,-62.5%
Palghar APMC,64.0,50.0,121.0,28.0%,-47.1%
Paranda APMC,1.0,1.0,2.0,-,-50.0%
Parbhani APMC,67.0,36.0,63.096233973254726,86.1%,-
Parola APMC,13.0,13.0,22.480068665258244,-,-
Partur APMC,21.0,15.0,47.0,40.0%,-55.3%
Pathardi APMC,14.0,14.0,20.0,-,-30.0%
Pathari APMC,-8.41575398926133,2.0,4.0,-,-
Patur APMC,2.0,10.0,19.0,-80.0%,-89.5%
Phaltan APMC,7.0,15.0,63.0,-53.3%,-88.9%
Pune APMC,646.0,770.0,693.0,-16.1%,-6.8%
Rahata APMC,10.0,15.0,13.0,-33.3%,-23.1%
Rahuri APMC,9.0,4.0,4.0,125.0%,125.0%
Rahuri(Vambori) APMC,4.0,13.0,18.0,-69.2%,-77.8%
Ramtek APMC,32.0,26.0,110.0,23.1%,-70.9%
Raver APMC,13.0,23.0,27.0,-43.5%,-51.9%
Sangamner APMC,2.0,17.0,20.0,-88.2%,-90.0%
Sangli APMC,637.0,1018.0,716.0,-37.4%,-11.0%
Sangrampur(Varvatbakal) APMC,34.0,34.0,16.0,-,112.5%
Satana APMC,13.0,12.0,14.0,8.3%,-7.1%
Savner APMC,148.92196952128185,238.0,59.0,-,-
Selu APMC,-8.273781197976456,2.7940455492538896,2.0,-,-
Shahada APMC,7.0,30.0,40.0,-76.7%,-82.5%
Shegaon APMC,-4.599022911335813,3.0,22.0,-,-
Shevgaon APMC,8.0,45.0,90.0,-82.2%,-91.1%
Shevgaon(Bodhegaon) APMC,1.0,8.0,20.0,-87.5%,-95.0%
Shirpur APMC,22.0,36.0,34.0,-38.9%,-35.3%
Shirur APMC,1.0,16.522166890223694,24.0,-,-95.8%
Shrigonda APMC,6.0,23.0,21.0,-73.9%,-71.4%
Shrigonda(Gogargaon) APMC,3.0,17.0,43.0,-82.3%,-93.0%
Shrirampur APMC,4.0,10.0,4.0,-60.0%,-
Shrirampur(Belapur) APMC,3.0,11.0,3.0,-72.7%,-
Sillod APMC,180.0,304.0,360.0,-40.8%,-50.0%
Sillod(Bharadi) APMC,6.0,12.0,42.0,-50.0%,-85.7%
Sindi(Selu) APMC,5.0,14.0,27.0,-64.3%,-81.5%
Sinner APMC,18.0,42.0,48.0,-57.1%,-62.5%
Solapur APMC,2503.0,3223.0,2033.0,-22.3%,23.1%
Sonpeth APMC,1.0,2.0,7.502113694598446,-50.0%,-
Tadkalas APMC,1.0,10.38765498713531,10.0,-,-90.0%
Taloda APMC,-8.273781197976456,2.7940455492538896,2.0,-,-
Tasgaon APMC,13.0,30.0,37.0,-56.7%,-64.9%
Telhara APMC,30.0,43.0,72.0,-30.2%,-58.3%
Tuljapur APMC,4.0,9.71417905643619,5.0,-,-20.0%
Tumsar APMC,19.86811085957362,3.0,160.0,-,-
Ulhasnagar APMC,882.0,1582.0,995.0,-44.2%,-11.4%
Umared APMC,71.0,141.0,241.0,-49.6%,-70.5%
Umarga APMC,-8.273781197976456,2.7940455492538896,2.0,-,-
Umarked(Danki) APMC,3.0,4.0,12.0,-25.0%,-75.0%
Umarkhed APMC,2.917554835531824,15.870022496849723,19.0,-,-
Vaduj APMC,20.0,23.0,22.0,-13.0%,-9.1%
Vaijpur APMC,26.0,92.0,59.0,-71.7%,-55.9%
Varud(Rajura Bazar) APMC,-9.39571593432778,1.0,2.0,-,-
Vasai APMC,176.0,424.0,393.0,-58.5%,-55.2%
Wardha APMC,5.0,9.0,27.0,-44.4%,-81.5%
Washim APMC,296.0,254.0,175.0,16.5%,69.1%
Washim(Ansing) APMC,6.0,8.0,3.0,-25.0%,100.0%
Yawal APMC,1.0,9.0,2.0,-88.9%,-50.0%
Yeola APMC,32.0,16.0,16.0,100.0%,100.0%
Yeotmal APMC,7.0,11.0,35.0,-36.4%,-80.0%
Total,18711.0,22680.0,29463.0,-,-
Note:,233.3823102097268,285.2099312555029,368.8559609169541,,
Change (Over Previous Month) = [Arrival - Arrival(Over Previous Month)/Arrival(Over Previous Month)] * 100,233.3823102097268,285.2099312555029,368.8559609169541,,
Change (Over Previous Year) = [Arrival - Arrival(Over Previous Year)/Arrival(Over Previous Year)] * 100,233.3823102097268,285.2099312555029,368.8559609169541,,
