Market,"Prices January, 2023 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)","Prices January, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2596.15,2514.82,1855.18,3.2%,39.9%
Ahmednagar APMC,2676.7,2654.76,1947.39,0.8%,37.5%
Ahmedpur APMC,2618.86,2574.3514603960016,1885.58352568353,-,-
Akhadabalapur APMC,2000.0,2050.0,1850.0,-2.4%,8.1%
Akola APMC,3003.4,2873.87,2093.9,4.5%,43.4%
Amalner APMC,2771.43,2789.43,2027.76,-0.7%,36.7%
Amarawati APMC,2523.36,2426.32,1987.03,4.0%,27.0%
Ambad (Vadigodri) APMC,2723.33,2614.42,1993.33,4.2%,36.6%
Anajngaon APMC,2733.33,2836.36,1854.76,-3.6%,47.4%
Ashti(Jalna) APMC,2675.0,2800.0,1789.73,-4.5%,49.5%
Ashti(Karanja) APMC,2566.67,2532.9046160009707,1845.579305515186,-,-
Aurad Shahajani APMC,2557.936860934954,2516.3540883563346,1625.0,-,-
Ausa APMC,3074.0,3189.2,1650.0,-3.6%,86.3%
Balapur APMC,2780.0,2610.0,1747.38,6.5%,59.1%
Baramati APMC,2796.42,2724.42,2081.11,2.6%,34.4%
Barshi APMC,2621.71,2673.08,1708.93,-1.9%,53.4%
Barshi(Vairag) APMC,2312.75,2700.0,1555.1,-14.3%,48.7%
Beed APMC,2867.32,2735.22,1951.08,4.8%,47.0%
Bhandara APMC,2539.4851005104565,2485.0,1721.82,-,-
Bhokar APMC,2384.423247032825,2308.0,1751.43,-,-
Bhokardan APMC,2546.36,2488.24,1831.58,2.3%,39.0%
Bhokardan(Pimpalgaon Renu) APMC,2537.37,2500.0,1806.67,1.5%,40.4%
Bori APMC,2528.5448842247743,2490.943979592572,1556.82,-,-
Chalisgaon APMC,2595.2,2589.28,1847.29,0.2%,40.5%
Chandur Bazar APMC,2436.11,2319.27,1746.36,5.0%,39.5%
Chattrapati Sambhajinagar APMC,2867.09,2766.25,2052.97,3.6%,39.7%
Chikali APMC,2474.65,2476.12,1696.64,-0.1%,45.9%
Chopada APMC,2406.25,2651.33,1881.23,-9.2%,27.9%
Deoulgaon Raja APMC,2735.29,2631.94,1759.12,3.9%,55.5%
Devala APMC,2520.0,2605.0,1862.22,-3.3%,35.3%
Dhamngaon-Railway APMC,2625.4461532906903,2574.717582524789,1781.6,-,-
Dharangaon APMC,2601.2,2665.0,1880.29,-2.4%,38.3%
Dhule APMC,2842.12,2697.84,2082.37,5.3%,36.5%
Digras APMC,2437.5,2763.89,1900.0,-11.8%,28.3%
Dondaicha APMC,2720.18,2663.36,1947.64,2.1%,39.7%
Dondaicha(Sindhkheda) APMC,2700.0,2638.789033766625,1947.778245447076,-,-
Dound APMC,2699.0,2524.58,1894.14,6.9%,42.5%
Gangakhed APMC,2300.0,2324.59,2100.0,-1.1%,9.5%
Gangapur APMC,2849.14,2740.76,1947.36,4.0%,46.3%
Gevrai APMC,2871.85,2776.23,2017.02,3.4%,42.4%
Ghansawangi APMC,2734.152773760989,2700.0,1750.0,-,-
Hinganghat APMC,2633.16,2596.69,1859.58,1.4%,41.6%
Hingoli APMC,2737.0,2437.24,1788.27,12.3%,53.0%
Hingoli(Kanegoan Naka) APMC,2561.1441989625823,2519.126913366636,1632.44,-,-
Indapur APMC,2400.0,2450.0,1734.3610542942217,-2.0%,-
Indapur(Bhigwan) APMC,2758.5266949822517,2700.0,1997.5595122561897,-,-
Indapur(Nimgaon Ketki) APMC,2661.1806623720195,2600.0,1915.3569758105707,-,-
Jafrabad APMC,2668.2753243988795,2611.7444863921964,1880.95,-,-
Jalana APMC,2780.37,2743.32,1971.25,1.4%,41.0%
Jalgaon APMC,2643.258866000244,2600.0,1733.33,-,-
Jalgaon Jamod(Aasalgaon) APMC,2400.0,2400.5431376464994,1717.8248817662309,-,-
Jamkhed APMC,2324.48,2247.02,1737.74,3.5%,33.8%
Jawala-Bajar APMC,2571.9689648058306,2528.4851977764065,1657.55,-,-
Kada APMC,2300.0,2324.16616225047,1700.0,-,35.3%
Kaij APMC,2642.81,2929.94,1883.53,-9.8%,40.3%
Kalamb (Dharashiv) APMC,2991.44,2740.6,1732.28,9.2%,72.7%
Kalvan APMC,2186.618753397138,2112.5,1514.619610638177,-,-
Kandhar APMC,1726.67,2088.89,1276.2890884369083,-17.3%,-
Kannad APMC,2729.1,2650.03,1951.79,3.0%,39.8%
Karanja APMC,2772.78,2731.61,1840.49,1.5%,50.6%
Karjat(Raigad) APMC,2478.12,2429.27,1651.74,2.0%,50.0%
Karmala APMC,3017.0,2729.4,1822.32,10.5%,65.6%
Katol APMC,2647.42,3072.31,1862.0,-13.8%,42.2%
Khamgaon APMC,2556.8,2542.73,1868.85,0.6%,36.8%
Kille Dharur APMC,3051.0,2750.0,1671.81,10.9%,82.5%
Kopargaon APMC,2845.3,2726.28,1954.14,4.4%,45.6%
Kurdwadi APMC,3148.8842857492823,3101.0,2327.1916834031226,-,-
Kurdwadi(Modnimb) APMC,2900.0,2660.0,1643.33,9.0%,76.5%
Lasalgaon APMC,2961.5,2818.25,2076.61,5.1%,42.6%
Lasalgaon(Niphad) APMC,2872.09,2730.94,2090.72,5.2%,37.4%
Lasalgaon(Vinchur) APMC,2850.53,2633.96,2118.0,8.2%,34.6%
Lasur Station APMC,2839.43,2772.23,1984.63,2.4%,43.1%
Latur(Murud) APMC,2527.109341801118,2489.7029167855417,1553.49,-,-
Loha APMC,2933.75,2919.0,1630.2,0.5%,80.0%
Lonar APMC,2683.39,2619.14,1879.85,2.5%,42.7%
Majalgaon APMC,2950.0,2712.33,1977.95,8.8%,49.1%
Malegaon APMC,2763.33,2602.4,2006.39,6.2%,37.7%
Malkapur APMC,2767.23,2696.38,1904.24,2.6%,45.3%
Mangal Wedha APMC,3173.33,3066.67,6120.0,3.5%,-48.1%
Mangrulpeer APMC,2660.29,2700.0,1788.85,-1.5%,48.7%
Manmad APMC,2600.0,2527.86,1871.27,2.9%,38.9%
Manora APMC,2575.5,2539.916986876773,1852.3475995195256,-,-
Mantha APMC,2500.0,3014.94,1724.17,-17.1%,45.0%
Mehekar APMC,2811.25,2309.43,1826.67,21.7%,53.9%
Morshi APMC,2637.5,2551.95,1802.35,3.4%,46.3%
Mudkhed APMC,1950.0,2043.1742934663118,1372.8948362449635,-,-
Mumbai APMC,4258.46,3849.35,2981.65,10.6%,42.8%
Murtizapur APMC,2463.0,2491.67,1772.38,-1.1%,39.0%
Murum APMC,2623.0320278935505,2572.63050993639,1776.0,-,-
Nagpur APMC,3014.87,2938.99,2368.45,2.6%,27.3%
Nampur APMC,2608.3748379823433,2559.958997792536,1742.0,-,-
Nanded APMC,3100.0,2935.235212862334,1843.63,-,68.2%
Nandgaon APMC,2856.44,2911.87,2019.55,-1.9%,41.4%
Nandgaon Khandeshwar APMC,2314.4662546816066,2245.0,1612.0,-,-
Nandura APMC,2849.94,2748.5659970793954,1882.68,-,51.4%
Nandurbar APMC,2792.11,2667.27,2067.32,4.7%,35.1%
Navapur APMC,2311.94,2341.17,1653.8577853658223,-1.2%,-
Newasa APMC,2762.706425870937,2693.3825668366417,2100.0,-,-
Nilanga APMC,3550.0,3298.3598322635394,2300.0,-,54.4%
Nira(Saswad) APMC,3014.71,3026.56,2100.0,-0.4%,43.6%
Pachora APMC,2704.36,2614.28,1825.03,3.5%,48.2%
Paithan APMC,2885.28,2722.63,2061.62,6.0%,40.0%
Palghar APMC,3145.05,3123.5,2651.82,0.7%,18.6%
Paranda APMC,2800.0,2900.0,1660.0,-3.5%,68.7%
Parbhani APMC,2717.91,2477.78,1902.9243687755159,9.7%,-
Parola APMC,2745.38,2769.69,2014.2794041699256,-0.9%,-
Partur APMC,3101.33,2592.07,1899.79,19.6%,63.2%
Pathardi APMC,2264.29,2307.14,1900.0,-1.9%,19.2%
Pathari APMC,2723.150224629864,2700.0,1638.25,-,-
Patur APMC,2265.5,2468.0,1704.21,-8.2%,32.9%
Phaltan APMC,2800.0,2500.0,2233.33,12.0%,25.4%
Pune APMC,4872.99,4716.75,4139.18,3.3%,17.7%
Rahata APMC,2820.0,2768.4,1940.77,1.9%,45.3%
Rahuri APMC,2505.56,2412.5,1950.0,3.9%,28.5%
Rahuri(Vambori) APMC,2425.0,2657.15,1903.0,-8.7%,27.4%
Ramtek APMC,2468.75,2371.15,1788.98,4.1%,38.0%
Raver APMC,2711.92,2611.13,1973.07,3.9%,37.5%
Sangamner APMC,2642.0,2776.71,2070.0,-4.8%,27.6%
Sangli APMC,3568.76,3504.96,2678.91,1.8%,33.2%
Sangrampur(Varvatbakal) APMC,2500.0,2414.71,1750.0,3.5%,42.9%
Satana APMC,2605.46,2429.33,2054.21,7.2%,26.8%
Savner APMC,2459.31749404319,2380.0,1859.42,-,-
Selu APMC,2663.5548470598296,2607.663514098809,1870.0,-,-
Shahada APMC,2839.43,2622.0,1985.03,8.3%,43.0%
Shegaon APMC,2495.2478058297293,2433.33,1740.91,-,-
Shevgaon APMC,2675.0,2332.22,2569.44,14.7%,4.1%
Shevgaon(Bodhegaon) APMC,2800.0,2662.5,1935.0,5.2%,44.7%
Shirpur APMC,2699.05,2678.39,1938.59,0.8%,39.2%
Shirur APMC,2600.0,2549.8058847109237,1685.88,-,54.2%
Shrigonda APMC,2516.67,2510.87,1982.86,0.2%,26.9%
Shrigonda(Gogargaon) APMC,2266.67,2447.06,1985.93,-7.4%,14.1%
Shrirampur APMC,2606.25,2350.5,1787.5,10.9%,45.8%
Shrirampur(Belapur) APMC,2383.33,2254.55,1616.67,5.7%,47.4%
Sillod APMC,2755.0,2670.72,1993.89,3.2%,38.2%
Sillod(Bharadi) APMC,2628.33,2591.67,1917.26,1.4%,37.1%
Sindi(Selu) APMC,2730.0,2658.93,1848.15,2.7%,47.7%
Sinner APMC,2927.5,2760.71,2164.69,6.0%,35.2%
Solapur APMC,2992.21,2848.74,2639.67,5.0%,13.4%
Sonpeth APMC,3231.0,2250.0,2083.834983096236,43.6%,-
Tadkalas APMC,2500.0,2471.313613631165,1627.1,-,53.6%
Taloda APMC,2654.9329706414724,2600.2096834259537,1850.0,-,-
Tasgaon APMC,2430.77,2337.0,2102.97,4.0%,15.6%
Telhara APMC,2460.83,2555.81,1827.71,-3.7%,34.6%
Tuljapur APMC,3100.0,2922.6519385451834,1600.0,-,93.8%
Tumsar APMC,2461.4433244990573,2380.33,1878.02,-,-
Ulhasnagar APMC,3268.71,3246.74,2720.71,0.7%,20.1%
Umared APMC,2200.0,2200.0,2113.61,-,4.1%
Umarga APMC,2611.823588549686,2562.9405300616786,1750.0,-,-
Umarked(Danki) APMC,2100.0,2100.0,1900.0,-,10.5%
Umarkhed APMC,2676.4876616873653,2618.8442601080915,1900.0,-,-
Vaduj APMC,2525.0,2500.0,1971.59,1.0%,28.1%
Vaijpur APMC,2743.65,2711.63,1964.41,1.2%,39.7%
Varud(Rajura Bazar) APMC,2537.722093582741,2476.0,1785.5,-,-
Vasai APMC,3412.27,3463.18,3404.72,-1.5%,0.2%
Wardha APMC,2684.0,2503.33,1881.11,7.2%,42.7%
Washim APMC,2303.38,2224.8,1649.71,3.5%,39.6%
Washim(Ansing) APMC,2516.67,2262.5,1800.0,11.2%,39.8%
Yawal APMC,2580.0,2540.0,1840.0,1.6%,40.2%
Yeola APMC,2800.78,2677.44,2010.88,4.6%,39.3%
Yeotmal APMC,2624.0,2614.91,1862.6,0.3%,40.9%
Average,2716.7,2644.65,1958.89,-,-
Note:,2695.71264390792,2635.4636235810594,1944.6059804995218,,
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity,2695.71264390792,2635.4636235810594,1944.6059804995218,,
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100,2695.71264390792,2635.4636235810594,1944.6059804995218,,
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100,2695.71264390792,2635.4636235810594,1944.6059804995218,,
