,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - December, 2022",,
Market,"Prices December, 2022 (Rs./Quintal)","Prices November, 2022 (Rs./Quintal)","Prices December, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Nandura APMC,-,2767.35,1858.75,-,-
Nandurbar APMC,2667.27,2545.99,2044.82,4.8%,30.4%
Navapur APMC,2341.17,-,1789.49,-,30.8%
Nira(Saswad) APMC,3026.56,2850.0,2218.75,6.2%,36.4%
Pachora APMC,2614.28,2590.04,1837.78,0.9%,42.2%
Paithan APMC,2722.63,2641.26,1740.26,3.1%,56.5%
Palghar APMC,3123.5,2849.07,2629.25,9.6%,18.8%
Pandharpur APMC,-,2337.0,1675.0,-,-
Paranda APMC,2900.0,2200.0,1500.0,31.8%,93.3%
Parbhani APMC,2477.78,2566.67,1619.47,-3.5%,53.0%
Parola APMC,2769.69,2926.35,-,-5.3%,-
Partur APMC,2592.07,2492.73,1877.42,4.0%,38.1%
Pathardi APMC,2307.14,2133.33,1874.07,8.2%,23.1%
Pathari APMC,2700.0,2728.5,1575.11,-1.0%,71.4%
Patur APMC,2468.0,2153.0,1732.2,14.6%,42.5%
Phaltan APMC,2500.0,2776.27,2087.33,-9.9%,19.8%
Pune APMC,4716.75,4814.73,4218.68,-2.0%,11.8%
Rahata APMC,2768.4,2788.55,1874.52,-0.7%,47.7%
Rahuri APMC,2412.5,2478.57,1937.5,-2.7%,24.5%
Rahuri(Vambori) APMC,2657.15,2801.71,1844.93,-5.2%,44.0%
Ramtek APMC,2371.15,2426.98,1744.04,-2.3%,36.0%
Raver APMC,2611.13,2572.67,1970.53,1.5%,32.5%
Sangamner APMC,2776.71,2908.75,2005.16,-4.5%,38.5%
Sangli APMC,3504.96,3475.6,2674.27,0.8%,31.1%
Sangrampur(Varvatbakal) APMC,2414.71,2242.86,1768.9,7.7%,36.5%
Satana APMC,2429.33,2503.19,2043.49,-3.0%,18.9%
Savner APMC,2380.0,2343.8,1781.59,1.5%,33.6%
Selu APMC,-,-,1830.0,-,-
