Market,"Prices October, 2021 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)","Prices October, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Manmad APMC,1807.33,1799.4,1508.89,0.4%,19.8%
Manora APMC,1800.0,1823.69,1600.0,-1.3%,12.5%
Mantha APMC,1671.3,1604.46,1642.31,4.2%,1.8%
Manwat APMC,1724.71,1672.86,1481.1174069488143,3.1%,-
Mehekar APMC,1589.83,1551.32,1438.46,2.5%,10.5%
Morshi APMC,1677.4,1777.52,1556.06,-5.6%,7.8%
Mumbai APMC,3539.61,3607.97,3164.4,-1.9%,11.9%
Murtizapur APMC,1883.79,1820.25,1552.31,3.5%,21.4%
Nagpur APMC,2354.72,2291.55,2347.51,2.8%,0.3%
Nampur APMC,1641.6,1696.55,1513.31,-3.2%,8.5%
Nanded APMC,1704.5,1682.08,1478.65,1.3%,15.3%
Nandgaon APMC,1911.2,1884.29,1514.46,1.4%,26.2%
Nandgaon Khandeshwar APMC,1665.996584121866,1658.0,1479.78,-,-
Nandura APMC,1890.67,1840.55,1593.51,2.7%,18.6%
Nandurbar APMC,1997.86,2035.64,1591.08,-1.9%,25.6%
Newasa APMC,2100.0,2000.0,2057.14,5.0%,2.1%
Nilanga APMC,1600.0,1600.8749289307962,1379.4223555171138,-,-
Pachora APMC,1738.7,1696.45,1514.71,2.5%,14.8%
Paithan APMC,1817.09,1820.28,1557.67,-0.2%,16.6%
Palam APMC,2230.5,2111.0,1969.2287702549575,5.7%,-
Palghar APMC,2687.08,2599.85,2820.82,3.4%,-4.7%
Pandharpur APMC,1700.0,1590.0,1425.4633106333577,6.9%,-
Parali Vaijyanath APMC,1575.4659524339738,1570.33,1350.9363214396722,-,-
Paranda APMC,1656.67,1907.5,1567.4060075994194,-13.2%,-
Parbhani APMC,1544.76,1547.01,1696.7,-0.1%,-9.0%
Parola APMC,1682.1127270474078,1676.11,1460.789703324895,-,-
Partur APMC,1812.66,1822.75,1446.0,-0.6%,25.4%
Pathardi APMC,1856.0,1922.73,2050.0,-3.5%,-9.5%
Pathari APMC,1579.78,1608.84,1385.0,-1.8%,14.1%
Patur APMC,1639.16,1759.77,1481.8968134606916,-6.8%,-
Pavani APMC,1913.563437242904,1906.300356085638,1750.0,-,-
Phaltan APMC,1868.8,1891.82,1668.8970652791766,-1.2%,-
Pune APMC,4145.48,4133.9,4129.41,0.3%,0.4%
Rahata APMC,1790.11,1821.3,1539.17,-1.7%,16.3%
Rahuri APMC,1763.33,1775.0,1513.48,-0.7%,16.5%
Rahuri(Vambori) APMC,1711.1,1695.95,1485.6,0.9%,15.2%
Ramtek APMC,1705.04,1712.87,1465.11,-0.5%,16.4%
Raver APMC,1904.32,1895.7,1631.57,0.5%,16.7%
Sakri APMC,1767.6136588511501,1759.9647198433147,1500.0,-,-
Sangamner APMC,1890.63,1962.93,1453.38,-3.7%,30.1%
Sangli APMC,2727.98,2721.69,2432.33,0.2%,12.2%
Sangrampur(Varvatbakal) APMC,1710.4258518573458,1704.24,1488.89,-,-
Satana APMC,2010.58,1971.36,1693.37,2.0%,18.7%
Savner APMC,1750.79,1728.53,1384.74,1.3%,26.4%
Selu APMC,1730.0,1714.79,1366.67,0.9%,26.6%
Sengoan APMC,1672.74630289651,1664.8465562858046,1337.5,-,-
Shahada APMC,1973.43,1944.6,1631.2,1.5%,21.0%
Shegaon APMC,1729.17,1756.52,1377.34,-1.6%,25.5%
Shevgaon APMC,1835.15,1845.99,1472.33,-0.6%,24.6%
Shevgaon(Bodhegaon) APMC,1682.86,1600.0,1663.16,5.2%,1.2%
Shirpur APMC,1921.58,1866.78,1542.53,2.9%,24.6%
