,,,"Market-wise Wholesale Prices Monthly Analysis (All Districts) for Wheat in Maharashtra - September, 2022",,
Market,"Prices September, 2022 (Rs./Quintal)","Prices August, 2022 (Rs./Quintal)","Prices September, 2021 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Achalpur APMC,2273.86,2221.28,1755.97,2.4%,29.5%
Ahmednagar APMC,2304.08,2241.25,1756.15,2.8%,31.2%
Ahmedpur APMC,-,-,1700.0,-,-
Akhadabalapur APMC,1906.67,-,1870.0,-,2.0%
Akola APMC,2537.29,2456.3,2150.08,3.3%,18.0%
Akot APMC,-,-,1687.88,-,-
Amalner APMC,2389.37,2390.61,1889.4,-0.1%,26.5%
Amarawati APMC,2369.02,2320.88,1982.34,2.1%,19.5%
Ambad (Vadigodri) APMC,-,-,1811.39,-,-
Ambejaogai APMC,2200.0,2900.0,-,-24.1%,-
Anajngaon APMC,2281.82,2256.25,1739.13,1.1%,31.2%
Aurad Shahajani APMC,2110.0,-,1687.42,-,25.0%
Ausa APMC,2592.5,-,-,-,-
Balapur APMC,2162.5,2171.88,1742.53,-0.4%,24.1%
Baramati APMC,2405.83,2502.9,1829.18,-3.9%,31.5%
Barshi APMC,2533.33,2294.74,1641.67,10.4%,54.3%
Barshi(Vairag) APMC,2333.44,2202.1,1531.62,6.0%,52.4%
Beed APMC,2473.12,2445.7,1773.26,1.1%,39.5%
Bhandara APMC,2100.0,2188.33,1668.12,-4.0%,25.9%
Bhiwapur APMC,-,2100.0,-,-,-
Bhokar APMC,2128.67,2105.2,1647.2,1.1%,29.2%
Bhokardan APMC,2314.06,2214.29,1788.64,4.5%,29.4%
Bhokardan(Pimpalgaon Renu) APMC,2200.0,-,1830.0,-,20.2%
Bhusaval APMC,-,2100.0,-,-,-
Bori APMC,1900.0,1936.0,1539.73,-1.9%,23.4%
Chakur APMC,-,2112.0,1518.0,-,-
Chalisgaon APMC,2209.62,2309.59,1736.69,-4.3%,27.2%
Chandur Bazar APMC,2187.6,2188.27,1717.01,-0.0%,27.4%
Chandur Railway APMC,-,2200.0,-,-,-
Chattrapati Sambhajinagar APMC,2342.22,2383.28,1886.06,-1.7%,24.2%
Chikali APMC,2098.29,2046.77,1601.98,2.5%,31.0%
Chopada APMC,2262.38,2352.91,1831.23,-3.9%,23.5%
Deoulgaon Raja APMC,2276.47,2245.45,1706.4,1.4%,33.4%
Devala APMC,-,2313.0,1784.69,-,-
Dharangaon APMC,2351.86,2303.85,1874.88,2.1%,25.4%
Dhule APMC,2307.32,2301.64,1889.24,0.2%,22.1%
Digras APMC,2250.0,2354.83,1925.0,-4.5%,16.9%
Dondaicha APMC,2364.59,2297.34,1905.02,2.9%,24.1%
Dondaicha(Sindhkheda) APMC,2271.0,2335.15,-,-2.8%,-
Dound APMC,2257.36,2313.24,1768.2,-2.4%,27.7%
Dudhani APMC,-,-,1940.0,-,-
Gangakhed APMC,2200.0,2195.65,2100.0,0.2%,4.8%
Gangapur APMC,2362.4,2363.44,1825.95,-0.0%,29.4%
Gevrai APMC,2549.17,2519.07,1847.12,1.2%,38.0%
Ghansawangi APMC,2438.46,2397.92,1740.91,1.7%,40.1%
Himalyatnagar APMC,-,-,1565.12,-,-
Hinganghat APMC,2222.59,2212.71,1715.27,0.5%,29.6%
Hingoli APMC,2096.14,2181.61,1862.23,-3.9%,12.6%
Hingoli(Kanegoan Naka) APMC,2094.29,2121.67,1589.42,-1.3%,31.8%
Indapur APMC,1957.12,2003.36,-,-2.3%,-
Indapur(Bhigwan) APMC,2235.53,2300.0,-,-2.8%,-
Indapur(Nimgaon Ketki) APMC,2221.0,2238.0,-,-0.8%,-
Jafrabad APMC,2300.0,-,-,-,-
Jalana APMC,2399.06,2418.52,1881.6,-0.8%,27.5%
Jalgaon APMC,2266.67,2282.14,1791.67,-0.7%,26.5%
Jalgaon Jamod(Aasalgaon) APMC,-,-,1800.0,-,-
Jalgaon(Masawat) APMC,2411.0,2431.0,-,-0.8%,-
Jamkhed APMC,2093.52,2094.23,1674.34,-0.0%,25.0%
Kada APMC,-,2300.0,1795.39,-,-
Kaij APMC,2501.88,2647.88,1615.82,-5.5%,54.8%
Kalamb (Dharashiv) APMC,2888.35,2570.2,1748.93,12.4%,65.2%
Kalamnuri APMC,-,-,2000.0,-,-
Kalvan APMC,-,2033.33,-,-,-
Kandhar APMC,-,1755.56,-,-,-
Kannad APMC,2361.35,2350.05,1811.38,0.5%,30.4%
Karanja APMC,2395.64,2396.99,1840.23,-0.1%,30.2%
Karjat(Raigad) APMC,2130.88,2090.91,1720.87,1.9%,23.8%
Karmala APMC,2312.62,2420.25,1627.31,-4.5%,42.1%
Katol APMC,2352.0,2408.85,1780.36,-2.4%,32.1%
Khamgaon APMC,2274.61,2221.2,1782.2,2.4%,27.6%
Kille Dharur APMC,2564.0,2400.0,1669.41,6.8%,53.6%
Kopargaon APMC,2423.0,2388.88,1833.76,1.4%,32.1%
Kurdwadi(Modnimb) APMC,2250.0,2183.33,1713.64,3.0%,31.3%
Lasalgaon APMC,2353.27,2447.03,1889.64,-3.8%,24.5%
Lasalgaon(Niphad) APMC,2369.6,2366.59,1922.41,0.1%,23.3%
Lasalgaon(Vinchur) APMC,2349.44,2329.76,1924.17,0.8%,22.1%
Lasur Station APMC,2428.24,2412.69,1875.38,0.6%,29.5%
Latur APMC,2662.17,2795.95,1799.82,-4.8%,47.9%
Latur(Murud) APMC,-,-,1423.49,-,-
Loha APMC,2297.42,1970.75,1655.0,16.6%,38.8%
Lonar APMC,2413.3,2606.51,1765.66,-7.4%,36.7%
